Apr 18 2013;BV010082 INDEX;;CVIX INDEX;;DXY INDEX;;SPX INDEX;;VIX INDEX;;;VCRIX
;11/11/14;0.16;11/21/14;8.44;11/11/14;87.531;11/28/14;2067.56;11/28/14;13.33;;
;11/12/14;0.167;11/24/14;8.65;11/12/14;87.822;12/1/14;2053.44;12/1/14;14.29;;
;11/13/14;0.158;11/25/14;8.49;11/13/14;87.674;12/2/14;2066.55;12/2/14;12.85;;
;11/14/14;0.159;11/26/14;8.34;11/14/14;87.525;12/3/14;2074.33;12/3/14;12.47;;
;11/17/14;0.161;11/27/14;8.43;11/17/14;87.926;12/4/14;2071.92;12/4/14;12.38;;
;11/18/14;0.157;11/28/14;8.57;11/18/14;87.575;12/5/14;2075.37;12/5/14;11.82;;
;11/19/14;0.162;12/1/14;8.43;11/19/14;87.647;12/8/14;2060.31;12/8/14;14.21;;
;11/20/14;0.154;12/2/14;9.02;11/20/14;87.591;12/9/14;2059.82;12/9/14;14.89;;
;11/21/14;0.154;12/3/14;9.46;11/21/14;88.31;12/10/14;2026.14;12/10/14;18.53;;
;11/24/14;0.152;12/4/14;8.74;11/24/14;88.151;12/11/14;2035.33;12/11/14;20.08;;
;11/25/14;0.153;12/5/14;8.94;11/25/14;87.92;12/12/14;2002.33;12/12/14;21.08;;
;11/26/14;0.161;12/8/14;8.82;11/26/14;87.607;12/15/14;1989.63;12/15/14;20.42;;
;11/27/14;0.154;12/9/14;8.91;11/27/14;87.607;12/16/14;1972.74;12/16/14;23.57;;
;11/28/14;0.139;12/10/14;9.38;11/28/14;88.356;12/17/14;2012.89;12/17/14;19.44;;
;12/1/14;0.152;12/11/14;9.4;12/1/14;87.946;12/18/14;2061.23;12/18/14;16.81;;
;12/2/14;0.169;12/12/14;9.24;12/2/14;88.647;12/19/14;2070.65;12/19/14;16.49;;
;12/3/14;0.172;12/15/14;9.07;12/3/14;88.956;12/22/14;2078.54;12/22/14;15.25;;
;12/4/14;0.168;12/16/14;9.06;12/4/14;88.704;12/23/14;2082.17;12/23/14;14.8;;
;12/5/14;0.201;12/17/14;9.32;12/5/14;89.334;12/24/14;2081.88;12/24/14;14.37;;
;12/8/14;0.208;12/18/14;9.46;12/8/14;89.041;12/26/14;2088.77;12/26/14;14.5;;
;12/9/14;0.217;12/19/14;9.27;12/9/14;88.69;12/29/14;2090.57;12/29/14;15.06;;
;12/10/14;0.207;12/22/14;9.47;12/10/14;88.271;12/30/14;2080.35;12/30/14;15.92;;
;12/11/14;0.224;12/23/14;9.5;12/11/14;88.663;12/31/14;2058.9;12/31/14;19.2;;
;12/12/14;0.21;12/24/14;9.45;12/12/14;88.363;1/2/15;2058.2;1/2/15;17.79;;
;12/15/14;0.222;12/29/14;9.58;12/15/14;88.46;1/5/15;2020.58;1/5/15;19.92;;
;12/16/14;0.223;12/30/14;9.47;12/16/14;88.125;1/6/15;2002.61;1/6/15;21.12;;
;12/17/14;0.247;12/31/14;9.51;12/17/14;89.133;1/7/15;2025.9;1/7/15;19.31;;
;12/18/14;0.262;1/1/15;9.56;12/18/14;89.235;1/8/15;2062.14;1/8/15;17.01;;
