,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.137609539188799,0,0,0,0,0,0,0,0,0,0,-0.0977206052075008,0.434740302933645,0,0.688275101717869,0,0.0393169689354788,0,-0.127706633988288,0,0,-0.0822664832428561,0,0.10375185170199,0,0,0,0,-0.135512947632469,0,-0.339564710403025,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,-3.46944695195361e-18,0,0.113159715463555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307966576571845,0,0,0,0,0,0,0,0,0,0.114201108257151,0,0,0,0,0,0,0.472241469097796,0,0,0,0,0,0,0,0,0,0.0916500297893055,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.794840845840447,0.0150433581506227,0.0319220655565059,0.00944010516443215,0,0,0,0,0,0,0,0,0,0,0,0.0387092971748219,0,0,0,0,0,0,0,0,0,0,0,0,0.0864082637915107,0.0325520782939989,0,0,0,0,0,0,0,0,-0.00497105396793779,0,0,0.044130221017604,0,0,0.0402048583351725,0,0,0
X601288.CH.EQUITY,0,0,0.877942701223264,0,0,0,-0.0948355948827096,0,0,0,0,0,0,0.0113752347579315,0.0380355718651001,0,0,0.154832986363129,0,0,0,0,0,0,0,-0.0610895963993373,0.0154773675039917,0,0,0,0.00569333568331541,0.0106222054022548,0,0,0,0,0,-0.151902649423796,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0
X601988.CH.EQUITY,0.0538087922212615,0,0,0,0,0,0,0,0,0,0,0,1.25367545320313,0,0,0,0,0,0,-0.220660011070507,0,0,0,0,0,0,0.0642853796317744,0,-0.119842646743918,0,0,0,-0.130221597911332,0,0,-0.200130616726553,0,0,0,0,0,0.00904204463453027,0,0.0231969002948235,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.377509200421671,0,0,0,0,0,0.00173229977386684,-4.33680868994202e-19,0,0,0,0,0,0.14145686386915,0,0,0,0.0068831873302298,0,0,0,0,0,0,0.194232819515959,0,0.0164337255948236,0,0,0,0.188126925025752,0,0,0,0,0,0,0,0,0,0,0.0311821527892882,0,0,0,0,0,0,0.0135567895053342
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.126338772569371,0.818934237020186,0,0,0,0,0.0391461216029548,0,0,0,0,0,0.110534778993579,0,0,0,0,0,0,0,-0.0556269225019484,0,0,0,0,0.0410066900012044,0.188476399821185,0,0,-0.119369214263728,0,0,0,0,0.0531002817328575,0,0,0.0954097247552403,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.140874206356704,0,0,0.161548737811214,0,0,0,0,0,0,0,0,0.228185079313376,0,0,-0.198247905882357,0,0,0,0,0.0850180161656328,0,0.212160924093399,0,0,0.0221438525104631,0,0,0,0,0,0,0,0,0,0,0,0.384424400975752,0,0.0801243385107429,0,0.0403279308747842,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.299108283390049,0,0,0,0,0,0,0,0.291667028503807,0,0,0,0,0,0,0,0,0,0.471990201034144,0.0994024091996859,0.0518611021524158,0,0.13112669704015,0.0656899174280246,0,0.0451698407883396,0,0,0,0,0,0,0,0,0,0.0960370484327603,0.0212594699314868,0.0555818199677433,0,0,0,0,0,0,0.186512621929955
X388.HK.EQUITY,0,0,0,0,0,0,0.217123283714637,0,0,0,0,0,0,0,0,0,0,0,-0.215605179391073,0,0,0,0,0,0,0.356937144549902,0,0.0663882380829814,0,0.123712810599378,0.0238085374357927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166552402701073,0.0422999039128867,0,0.059533376910907,0,-0.266686453373962,0
