,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.704696423552165,0,0,0,0,0,0.00402647970841973,0,0.0629788698355276,0,0.0992569847001727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215582339112937,0,0.0626225796359972,0,0,0,0,0,-0.0233570170617733,0,0,0,0.00099962900388435
X601939.CH.EQUITY,0.27583565651578,0,0,0.356707864211308,0,0.0626906116643732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420203940379687,0,0,0,0,0,0.0313338842084768,0.210564852834444,0,0,-0.061160264330263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0465015113207572
X601318.CH.EQUITY,0,0.0175147572538635,0,0.0917758842216957,0,0,0,0,0,0,0,0,0,0,0,0.00884796346132371,0,0,0.192522149395803,0.00916996383960907,0,0,0,0,0.0104296405611583,0.0468507252718999,0,0,0,0,0,0,0,0.214086139649407,0.0165907399704181,0.0441250005774413,0,0,0,0.235099139237926,0,0,0,0,0,0.0861970698025421,0,0,0,0
X601288.CH.EQUITY,0.289376780528566,0,0,0,-0.0271056633624644,0,0,0,0,0.115195458510883,0,0,0,0,0,0,0,0,0.0633178748747892,0,0,0.0566447898450932,0,0,0.0304936500560871,0.259770015396694,0,0,0.0354792444595802,0.0700118869146495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733539636500816,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.484906987261914,0,0,0,0,-0.086860875303206,0,0,-0.0250434021602945,0,0.195620230061047,0.14364995728961,0,0,0,0,0,0,0.114327436703243,0,-0.0395076025034693,0,0,0.15053926628965,0,0,0.0439469499478825,0,0,0,0,0,0,0,0,0,0,0,-0.686321306867479,0.133620159987333,0,-0.113749109273998,0,0.167580673092542
X601988.CH.EQUITY,0,0.10623258199377,0,0,0.0990307986365538,0,0,0,0.106875841224746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506974069195161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436174624387515,0,0,0,0,0,0,0,0,0.10351234384663,0.0874360512927875
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.0967596849858031,0,-0.0544378975855528,0,0.0459547461220282,0,0,0,0,0.239328829806074,0,0,-0.0467569856958794,0.205915235457957,0,0,0,0.0921930646043456,0,0,0,0.0425675716679484,0,0,0,0,0,0,0,0,0.0491803899783966,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0
X600036.CH.EQUITY,0,0,0.00964237628267038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788177062673077,0,0.00558458684052284,0,0.0709540482925763,0,0,0,0,0,0,0,0,0,0,0,0,0.015094313811834,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.124955506412959,0.0917904633324527,0,0,0,0,0,0,0,0,0,0,0,0.0241899762710148,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.355018531636044,0,0,0.0424535233169339,0,0,0,0.0862545539890513,0,0,0.115904733992925,0,0,0.0327830525250641,0
X601328.CH.EQUITY,0.0114183033968226,0.0754009120474121,0,0,0,0,0,0.164266883540521,0,0,0,0,0,0.154840165758033,0,0,0,0,0,0,0,0.272390752635468,0,0,0,0,0,0.029722612883942,0,0,0,0,0,0,0,0,0,0,0.0711956573093011,0.215202055695005,0,0.0271805611629187,0,0,0,0,0.00884633539169407,0,0,0
