,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.147263346935922,0,0.0622187334278421,0,0,0,0,0,0,0.374050254155502,0.13613232932453,0,0,0,-0.158249080785132,0,0,0,0,0,0,0,0,0,0,0,0.0277772893835878,0,0,0,0.142655922199749,0,0,0,-0.00175310439763859,0,0,0,0,0,0,0.161415475673762,1.73472347597681e-18,0,0.0459119806163755,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.156262020095209,0.0975772096504323,0,0.0247804218301554,-0.168113928022933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176478012629079,0,0,0,0,0,-0.17911555635484,0,0.36311503305235,0.15946798426394,0.0518940510226626,0,0,0,0,0.172233729028211,0,0
X601939.CH.EQUITY,0.480878692760308,0,0,0,0,0.177275626146055,0,0,0,0,0,0,0,0.0587688968610486,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372927887051045,-0.118421694315118,0,0.0491254873736459,0,0,0,-0.0461011334433354,0,0,0,0
X601288.CH.EQUITY,0.531901784265336,0.023446672356591,0.189580951797481,0,0.0856291711305144,0.146552775085033,0,0,0.0334236119023734,0,0,0,0,-0.163890956097037,0,0,0,0,0,0,0,-0.0548883232899945,0,0,0,0,0.00750785993999341,0,0,0,0,0,0,0.131700213192917,0.00564788803755836,0,0,0,0.012456115787735,0,0,0,0,0,0,0,0,0,0.25235348794578,0
X5.HK.EQUITY,0,-0.0721303270256474,0.132405439555647,0.0583612766442069,0,0.105007122130624,0,-0.149498845106365,0,0,0,0.285759727999212,0,0,0,0,0,0,0.681585289094941,0,0,0,0,0.0413855076330265,0,0,-0.146462123335434,0,0,0,0,0,0,0,0.00481498550192674,0,0,0,0,0.0342862043275709,0,0,0,0,0,0.0885444198987516,0,0,0,0
X601988.CH.EQUITY,0.203919463134019,-3.46944695195361e-18,0.0198095164784042,0.0444513188050322,0,0,0,0,0.0477786094049665,0.053382598407268,0.114048466456599,0,-0.400514364058273,0,0,0,0,0,0,0,0.525186079688412,0.0338752089306916,0,0,0,0,0.0292921194174023,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0540693760558737,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.00707309275454127,0,0,0,0,0,0.111980981439177,0,2.16840434497101e-19,0,0,0,0.273353076231392,0,0.174122244673058,0,0,0.0869918003584633,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.123239273402552,-0.00200187834535142,0,0,0,0,0,0,0,0,0.0983880294630518,0,0,0,0.128117088184988,0,0,0.0196202969181157
X1299.HK.EQUITY,0,0,0,0,0,-0.0162535434172171,0.0159327096009591,0,0,0.207192480968172,0,0,0,-0.150419011768391,0,0,0.312520766503908,0,0.259217727830246,0,0,0.0507502650058097,0,0,0,0,0.118887485161543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031633246251094,0,0.126208166569349,0,0,-0.0236765934390419,0
X601628.CH.EQUITY,0.400160212926117,0.282067227261285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200459265858785,0,0,-0.0410602090585154,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.0122107462426274,0,0,-0.233883935780696,0,0.078556479729313,0,0,0,0,0,0,0,0,0,0,-0.128590976863582,0.166622820028939,0,-0.163731476472704,0,0.100533836455203
X601166.CH.EQUITY,0.000757352724260087,0,0,0,0,0,0.543937181733594,0,0,0,0,0,0,0,0,0.10181669792918,0,0,0,0.11802055265318,0,0,0.0404123726093434,0,0,0,0,0.0364756518414564,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.163514446034268,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,4.33680868994202e-19,0.0385925429345319,0,0,0,0,0,0.315428428004615,0,0,0,0,0,0,0,0,0.100696292508748,-0.0766210507982785,0.184483943606307,0.208756218926663,0.0409314787825096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13223291787353,0,0,0,0,0,0,0,0.000154902088918678
X600000.CH.EQUITY,0,0,0,0,0,0,0.251331988875568,-0.0675988516077237,0,0,0.252828694105402,0,0,0.106515371345688,0,-0.0884374877662423,0,0,0,0,0.0323611983285796,0,0,0,0,0,0,0.0867320252990531,0.0317696004444256,-0.0308319671507585,0,0,0,0,0,0.0208198724462902,0,0,0,0,0,0.227286968055062,0,0,0,0,0.0628961434966904,0.1530008665222,0,0
X000002.CH.EQUITY,0,0,0,0,0,-0.0923912560809604,0.0143419679128704,0,0,0,0,0,0,0,0,0.0199618069042344,0.295048564186804,0,0,0.0594705350683486,0,0,0,0,0,0.0230181742551399,0,0,0.401446305636408,0,0,0,0,0.18386730260378,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.109344542679532,0,0,0.0750981604583464,0,0
X000001.CH.EQUITY,0,0,0,-0.0994340233186104,0,0,0.206959925149736,0,0,0.079327785693405,0,0,0,0,0,0.111393476777364,-6.93889390390723e-18,0,0.215416066190792,0,0,0,0.0908574861910848,0,0,0.122898704976861,0,0,0,0,-0.0526687403858943,-0.203151716222278,0.0396151604858992,0,0,0,0,0,0.0617767622211043,-0.0786454597958274,0,0.0860986743868371,0,0,0,0,0.246960649409496,0,0,-0.00335969839872491
X16.HK.EQUITY,0,0,0,0.322147334070222,0,0,0,0.225769819688321,0,0,0,0,0,0,0,0,0.0733451164031035,0,0.0941464804304288,0,0,0,0,0.130575972077298,0,0,0.0464566300455171,0,0,0,0.225146163456628,0.0684473750060589,-0.117290128134729,0,0,0,0,0,0,0,0,0,0.135106357298051,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,-0.20044618535771,0,0,0,0.28028103545899,0.260392549756931,0,0,0,0.053508440144663,0,0,0.191164226451339,0,0,0,0,0.270289576005216,0,0,0,0,0.0531850867105078,0,0,0,0,0,0,0,0.0545281316243159,0,0.0828815304765688,0,0.197278838393501,0,0,0,0,0,0,-0.00992124688692593,0,-0.00369795984056773,0,0
X388.HK.EQUITY,0,0,0.0273336015152403,0,0,0,0.00971639743856967,0.061349007919636,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,-0.0737350181305329,0,-0.102247527030648,0,0,0,0,0.0168234099489832,0,-0.0702823105465629,0,0.136641613711973,0,0,0,0,0,0,-0.407563471865952,0,0,0,0,0.588040201010485,0,0,0,0,0,0.362305950379298,0
X688.HK.EQUITY,0,0,0,0.17328836175238,0,-0.23318237792314,0,0,0.011098288515122,0,0,0,0.179849359238416,0,0,0,0.214473104089645,0,0,0,0,0,0,0.313239719063276,0,0,0.393054897389466,0,0,0,0,-0.199596566742253,0,0,0,0,0,0,0,0.321351052550573,0.037322353811455,0,0,0,0,-0.207455511406354,-8.67361737988404e-19,-0.171527152693391,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.0186209098828552,0,0,0,0,0.00866614088844857,0,6.93889390390723e-18,0,0.0375512294830591,0.071435918033698,0,-0.0114710371980136,0,0,0,0.791407374036037,0,2.16840434497101e-19,0,0,0,6.93889390390723e-18,0,0,0,0,0.07910588484853,0,0,0,-0.090120607741218,-0.117937394729768,0,0,0,0,0,0,0,0.0211819868853039,0,-0.116964991506124
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.138253411824648,0,0,0,0.0507499286246802,0,-0.138814143090926,0,0,0,0,0,0,0,0,0.180056719561064,0,0,0,0,0,0,0,-0.0300110301422106,0,0,0.349892153688717,0,0,0,0,0.147082528891986,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.362728283321371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150760671122581,0,0.0171457693777605,0.0246351004178511,0,0,0.113892324753011,0,0.365803374141884,0,-3.46944695195361e-18,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.148037267635494,0.163385688133419,0,0,0,-0.0411181475524659,0,0,0,0,0.10704114622039,0.555687880467871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18042152388327,0,0,0.0236204203113088,0,0,-0.0403631991470413,0,0,0,-3.46944695195361e-18,0,0,0.0565659344245187,0,0,0,0.107503992710799
