,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0.266924975962077,0,0,0,0,0,-0.134543848928804,0,0,0,0,0,0,0,0,0,0,0.489836476878298,0,0.502369461289937,0,0,0.17316387029666,0,0,0,-0.00715798831936655,0,-0.147722205297593,0,0,-0.28889764523397,0,0,-0.830062267177467,-0.0673706002762333,-0.00254076141225336,0,0,0,0,0,0,0,0,0,0.0888735373266381
X601939.CH.EQUITY,0,0,0,0.279826015881416,3.46944695195361e-18,0,0,0,0.240188857501606,0,0,0.0119669051405299,0,0,0.114222652798233,0,0,0,0.015224897258894,0,-0.0641353076535338,0,0,0.0605933293591776,0,0,-0.00250423239480029,-0.13466360249541,0,0,0,0,0,0,0,0,0,0,0,-0.0396582966858486,0,0,0,0,0,0,0.129011601852932,0.461103045917242,-6.93889390390723e-18,0,-0.131515012403478
X601318.CH.EQUITY,0,0,0,0,0,0.388965203878977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15699737005648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330372910342054,0,0,0.0180019770683655,0,0,0,0.0323738395451904,0,0
X601288.CH.EQUITY,0,0.394220889653504,0,0,0.226106294883252,0,0.0561318526221914,0,0,0,0,0.204224016005123,0,0,0,-0.0553543336018364,0,0,0,0,0,0,0.211709971036903,0,0,0,0,0,0,0,0,-0.00950223169600698,0,0,0,0,0,0,0,0,0,0,0,-0.0537478598154103,0,0,-0.0918037792092342,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.350174487022481,0,0,0,0,0,0.183648965287131,0,0,0,0,0,0.29689488132983,0.249096395623481,0,0.049561864676999,0,0,0,0.00429952288150446,0,0,0.0211720619616828,0.0251869974162534,0,0,0,0,0,0,0,0,0,0,0,0,-0.637026467600966,0,0,0,0.0815253200420644,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0716491871673417,0,0,0,0,0.0810936833776969,0.0388717240457454,0,0,0,0,0.105516177729365,0,0,0,0,0,0,0.00101656207599401,0.141816452680725,0,0,0,0,0.0161491651293222,0,0,0,0,0,0,0,0.425254587878195,0,0,0.00590873972880054,0,0,0,0,0,0,0,0.0916010638535145,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.125815502016046,0,0,0,0.12263669273819,0,0,0,0.23659368744506,0,0,0,-0.0586997214582034,0,0.0219826178662554,0,0.0802941360566341,0,0,0.0368269012239373,0,0,0,0,0,0.134093083924195,0.0696237615732319,0,0,0.0431428991684888,0,0,0,0.247530721612949,0,0,0,0,0,0.015549623162763
X601628.CH.EQUITY,0,0,0,0,0,0.291248029815639,0,0,0,0,-0.129595380683439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153427868168496,0.104575765119698,0,0.105802341991008,0.00905431632741453,0.119849617903309,-0.00916065745124283,0,0.0112363771853372,0,1.73472347597681e-18,0,0.0993119385858881,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323109245666813,0,0,0.00809568739828537,0,0,0.0354978538952333,0.871630003888793,-0.62013950124301,0,0,0.644171653316354,0.12086120677592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122322790417109,0
X601658.CH.Equity,0,0,0,0.0554805722066958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268288436788416,0.191348918079986,-0.193216421080367,0,-0.0736682153785157,0.0294776320220933,0,0,0,-0.170506808642253,0,0,0,0,0,0,0,0,0,0,0,0,0.0136500666902734,0.534636091240175,0,0,0,0,0,-0.0482423271046211,0,0,0,0
X388.HK.EQUITY,0,0,0.167416334872272,0,0.0862305178064162,0,0,0,0,-0.314529551610517,0,0,0,0,0.170422259368781,0,0,0,-2.16840434497101e-19,0.0504304220979732,0,0.340261797674262,0,0,0,0,0,-0.105340134065416,0,0,0,0,0,0,0,0,0.0711555144621017,0,0,0.096193575113572,0,0,-2.16840434497101e-19,-0.0689271002968383,0,0,0,0,0,0,0.051796051674283
X601328.CH.EQUITY,0.220187461790009,0,0,0.263644346374587,0,0,0,0,0,0,0,0,0,0,0.08458960084007,0.0445625842599772,0.0591683325007312,0,0,0,-0.025619904304989,0,0,0.126167585132924,0,0,0,0,0,0,0.0937183067379232,0,0,-0.0213753122442052,0,0,0,0,0,0,0,0,0,0.0694382550829976,0,0,0,0.104590833244118,0,0.0867368515847183,0
