,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0444043566750543,0,0,0,-0.259072031610819,0.174030383208419,0.0614579653900345,0,0.0244837339023341,0,0,0,0,0,0.225689660123986,0,-0.0849004546668215,0,0,0,0,0,-0.0843483648684151,0,0,0,-0.31809254809178,0,0,0.862155066220517,0,0,-0.128110235142124,-0.0348532531245773,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0875883548567198,0,0.161869057786162,0,0,0,0,0.119884179372264,0,0,0,0,0,0.163616862083904,0.109632488938693,0.106882174057424,0,0,0,0,0,0,0,-0.0204487224038922,0,0,0,0.0534551354927596,0,0,0.143331756856449,0,0.192269094936089,0,0,0,0,0.0482894754067399,0,0,0,0,0,0
X601939.CH.EQUITY,0.317385673910457,-0.261396946207908,0,0,0,0,0,0,0,0,0.0222360195216434,0,0,0,0,0,0,0.0463219204690826,0,0,0,0,0,0,0,-0.0666877372041717,0,0,0,0.0339290064712121,0,0,0,-0.141851551713158,0,0,0.164346370250915,0,0.655600894584689,0.167649410683963,0,0,0,0,0,0.0417015029298171,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.512956121846703,0.264904345665391,0.355211277462742,0,0,0,0,0.398034464885259,-0.126586890348203,0.132800299713431,0,0,0,0,-0.154827870891268,0,0,0,0,0,0,0,0,0,0,-0.586025564408115,0,0,0,0,0,0,0,0,0,0,0,0.0407137114857381,0,0.189184244278401,0,0,-0.0725256180014875
X5.HK.EQUITY,-0.0237487667856528,-0.338042564530386,0,0,0,0.105992697886445,0,0,0,0,0,0,0,0,0,0.116721188493102,0,0.211243974682972,0,0.288874439871464,0,0,0,0,0,0.0776581860391182,0,0.0133183118461582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22471161057907,0,-4.33680868994202e-19
X601988.CH.EQUITY,-4.33680868994202e-19,0,0,0,0.384806950157785,0,0,0.0427401771881127,0,0,0,0,0,0,0.17767667386976,0,0,0,0.208500967683658,0,0,-0.0798894125142366,0,0,0,0,0,0,0,-0.315189319769575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135784809725203,0,0.0198948672431951,0,0,0,0
X600036.CH.EQUITY,0,0.43432093365177,-0.0388380207932131,0,0,0.00196321197268197,0,0,-0.0357937056904527,0,0.511893480190437,0.178314212345607,0,0,0,0.122507569477117,0,0,0,-0.165939949019584,-0.0663322394426527,0.287432482345745,0,0,0,0,0.110789634944714,0,0,0,0,0,0,-0.227719082238204,0,0,0,0,0,0,0,0,-0.148653559945109,0,0,-0.0716430196093178,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.284988891521259,0,0,0,0,-0.0204703175414942,0,-0.0871893162687258,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.156121110955664,0,0.0168077343735321,0.118119965703919,0,0,0.105738197446082,0,0,0,0,0,0,0,0.00631504059341704,0,0,0,-0.0920959606823465,0,0,0,-0.0265256311343654,0,0
X601628.CH.EQUITY,0,0.0868419800710226,0,0.023195029174353,0,0,0,0,0,0.0600215273115128,0,0,0,0.259600463090614,0,0,0,0,0.0245872936458288,-0.0892046776876985,0.079722220087146,0,0,0,0,0,0,0,0,0,-0.0699129253630952,0,0,0,0,0.298707663483593,0,0.125295238294625,0.0376014646142623,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0
X601166.CH.EQUITY,0.0659097281915797,0,0,0.214487560012268,0,0,0,0,0.261315349325711,0,0,0.19566536349183,-0.136019553462003,0,0.0247763308049324,0,0,0,0,0,0.0451896441135187,0,0,0,0,0,0,0,0,0,0.284518929920361,0,0,0,0,0,0,0,0,0,-0.239916764063255,0,0,0,0,0,0,0,0,0.101048167176111
