,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.0993092784670607,0,0,0,0,0,-0.0651070300867365,0,0,0,0,0,0,0,0,0,0,-0.0902101016375678,0,0,0.680132058005456,-0.218005854135011,0,-0.0559460634915579,0,0,0.409853394368847,0,0,0,-0.0786212447612242,0,0,0,0,0,0,0,0,0,0.0904857047417433,0,0,0,0,0,0,0.0677085377766722
X601318.CH.EQUITY,0,0,0,0,0,0,0.0412030853681031,0,0.0155172042893184,-0.0412194269442572,0,0,0,0,0,0.090221516508274,0,0,0,0.444032739070059,0,0,0,0,0,0,0,0,0,0,0.129804693391394,0,0,0,0.254577142244843,0,0.120328097240028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0609833870243602,0,0.773637348546639,0,0,1.35525271560688e-20,0,0,0.0292811464368826,0.0793507503694005,0,-0.0239220711778771,0,0,0.0764222601443534,0,0,0,0,0,0.00301975934708327,0,0,0,0,0,0.0517641531339856,0,0,0,0,0,0,0.0502030021260356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.879727688704315,0,-0.0408199148235114,0,0,-0.0547752406288227,0,0,0.00338020933943408,0,0,0,0,0,0.0161151779601359,0,0,0.0543797396935446,0,0,0,0.183612035512158,0,0.0682061316442429,0,0.0149817765383952,0,0,0,0,0,0,0,0,0,0,-0.109412027709927,0,0,-0.128724325615538,0,0,0,0.032887901533048,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,-0.0689429103171427,0,0,0,0,-0.0753751552712675,0.189714019016249,0,0.331623873465594,0,0,0,0,0,0,0.243567891372299,0,0,0,0,0,0,0,0,-0.0637798182595531,0,0,0,0,0,0,0.384136039550575,0.0362512313017454,0,0,0,0,0,0,0,0,0,0.0959775291550374,0,0,0,0,0.10755047327536
X600036.CH.EQUITY,0,0,0,0.348066971843053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175631123567466,0,0,0,0,0,0,0,0.198252970785322,0,0.0317152807918909,0,0,0,0,0,0,0,0,0.0622084528923638,0,0,0,0,0,0,0,0.0833789734166826,0,0,0,0,0.011362921440144,0
X601988.CH.EQUITY,0,0,0,0.0691376591064133,0,0,0,0,-0.0269662226080679,-0.0729446775420601,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.001213228960499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013136453663648,-0.062429540810082,0,0.989428233570439,0,0
X1299.HK.EQUITY,0,0.0198394935073128,0,0,0.108916745115819,0,0,0,0,0.159160656312532,0,0,0,0,0,0,0.00446199051446865,0,0,0,0,0,0.327628928312752,0,0,0,0,0,0.0723298952564249,0,0.0209285858798289,0,0,0,0,0,0.0699022415397636,4.33680868994202e-19,0,0,0,0,0.13804003331333,0,0,-0.0159045739684145,0,0.157807767396886,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167310438586408,0,0,0,0,0,0,0,0,0.0489949895014993,0.499465114383981,0,-0.0605203376274052,0,0,0,0,0,0.10289251771363,0,0,0,0.1191124426553,0,0,0.128875542376406,0.268775576497777,0.210629006022799,0,0,0,0.365927844444259,0.0791805445448428
X388.HK.EQUITY,-0.0376205478824735,0,0,0,0.218590662425588,0,0,0.0197030643699725,0,0,0,0,0,0,0,-0.0861511284668804,0.189917932586875,0,0,0,0.174346793085257,0,0.320301651065262,0,0.29159470846186,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,-0.0856516609492287,0,-0.15715793960835,0.14543082351254,-0.104027707301233,0,0,0,0,0,-0.179759088364848,0.181308497353768
