,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.161359607601699,0,0.0962076910839552,0,0,0,-0.079060734190718,0,0,0,0.446472480081095,0,0,0,-0.107968534180727,0,0,0,0,0,0,0,0,0,0,0,0,0.0719352446003551,0,0,0,0,0,0,0,0,0,0.118644883197819,0,0,0,0,0.18242739191253,0,-2.16840434497101e-19,0,0.0128150743854973,0,0,0,-0.0376230814747073
X601318.CH.EQUITY,0,0,0,0,0,0.135906882812954,0,0,0.11049434309816,0,0.17912115679454,0,0,-0.0751814077910977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125517181999792,0,0,0,0,-0.218526956701082,0.261600456257564,0,0.0739126394152303,0.129051527236037,0,0,0,0,0,0.208454998081984,0,0
X601939.CH.EQUITY,0.168890590975146,-0.0012358510694291,0,0.296574025844994,0,0.113146476472625,0,-0.073077303778716,0,0,0,0,0,0,0.0717341065642631,0,0,-0.0188203086715815,0,0,0,0.103164289645677,0,0,0,-0.0686709632845645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486975819245357,0,-0.031140955964678,3.46944695195361e-18,0,0,0,0,0,0,0.0205248403805956,-0.0342483121386645,0
X601288.CH.EQUITY,0.430405501028645,0,0.225919722391875,0,0.0909048375992095,0.110491509379142,0,0,0,0,0,0,0,0,0,-0.0393198807391981,0.00466549720120837,0,0,0,0,0,0,0,0,0,0.0121578778870865,0,0,0,0,0,0,0,-0.064675151793313,0,0,8.67361737988404e-19,0,0.177969104541477,0,0,0,0,0,0,0,0,0.105330847003508,0,0,0.0832266844916497
X5.HK.EQUITY,0,-0.0897850266528762,0.0137444270850167,0.283361738801378,0,0,0,-0.235401591428839,0,0,0,0,0.115174817817476,0,0,0,0,0,0,0,0.593244456543741,0,0,0,0,0.234124944832655,-0.0197400761421343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218199677116516,-0.0831087612962218,0,0,0
X601988.CH.EQUITY,0.144759969008924,0,0.125030128971408,0.152611011120518,0,0,0,0,0.109444333674821,0,0.103367191235805,0,0,-0.260253722752203,0,0,0,0,0,0,0,0,0.0692529502403595,0,0.248692967780094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116524591603755,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0874852078582322,0,0,0,0,0.0156221998364038,0,0.289936125653709,0.21240725751267,0,0,0,0.0351918570155965,0.0799368317859594,0,0.00332621384461878,0,0,0,0,0,0,0,0,0.0711685107055362,0,0,0.0422007740924222,0,0,0.0176658482541144,0,0,0,0,0,0,0,0,0.108326888386973,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0341779322937269,0.0696066236649728,0,0,0,0.140513872049581,0,0,0,-0.146558165429666,0,0,0,0.376511943781925,0,0.254056372987924,0,0.0430205873889884,0,0,0,0.105001848472067,0,0,0,-0.00407146844050399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.187708314016093,0.3251433635749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061326606004616,0,0,0,0.0574895188830261,-0.0246940345061572,0,0,0,0,0,0,-0.0278395688472986,0,0,0.0480887880000504,0.0745555319097134,0,0,0,0,0,0,-0.302914824693457,0,0,0,0,0.147486836610482,-0.115306772275597,0,0,0.193697499994646,0,0,0.064455936359457,0.0896372677422965
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504646710655145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
