,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.0886762216198305,0,0.415682404326641,0,0,0.0463222195160264,0,0.240209058642289,0,0,0.147211301754843,0,0,0,0,0,0.0264252727349684,0,0.00823227900764442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599478669495716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.369721259428579,0,0,0.155614225603398,0,0,0,-0.062061112338955,0,0.0276664066245088,1.38777878078145e-17,0,0.366830955661733,-0.0548289830706444,0,0,0,0,0,0,0,0,0,-0.0186908265897793,0,-0.115224769150289,0,0,0,0,0,0,0.149182156741218,0,0,0,0,0.0401338736932038,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.0100129567500686,-0.0158440037774167,0
X601318.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0572506967390598,0.368567672604103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780533490379365,0,0,0.134056248603541,0,0,0,0,0,0.215011164173467,0,0,0,0,0,0
X601288.CH.EQUITY,0.393412163178489,0,0,0,0.345978436970124,0,0,0,0,0,0.0998527646494188,0,0,0,0.0564551420938473,0,0,0.0651088178471747,0,0,0,0,0,0,0,0,0,0,0,0,0.0136929754091107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0364269353193232
X601988.CH.EQUITY,0,0,0,0.27924330102288,0,0,0,0,0,0.00145550911589084,0,0,0,0,0,0,0,0.136302708304735,0.135546230863177,0,0,0,0,0,0,0,0,0,0.00149230826297135,0.066790126430897,0,0,0,0.0118690443133775,0,0,0.0472287170714568,0,0,0,0,0,0,0.165956996692738,0,0,0.147607029075198,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.118910671355628,0,0,0,0.0461019293305775,0.146819194226105,0,0,0,0,0,0.520489794787433,0,0,0,0,0,0.408369475957389,-0.330606035775752,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.349762951902175,0,0,0,0,0,0,0,0,-0.161349060151343,0.0946995717548619,0
X600036.CH.EQUITY,0,0,0.0292321436587126,0,0,0.0196283039001268,0,0,0,0,0,0.446205437946768,0,0,0,0,0,0,0,0,0,0,0,0.0301826718669012,0,0.116527878805163,0,0,0,0,0,0,0,0,0.089694946416686,0,0,0,0.0145308892852691,0,0,0.0499148735487239,0,0,0,0,0,0,0,0.239578814613989,-0.0156447918040442,0.0141479176012012
X1299.HK.EQUITY,0.000864530087991304,0,0,0,0,0,0.104330158994863,0,-4.33680868994202e-19,0,0,0,0,0,0.107443665222687,0,0,0,0,0,0.228738496764142,0,0,0.0995998418804746,0,0,0,0.1036434219886,0,0,0,0,0,0,0,0,0.178985316868209,0,0,0,0.185068580289826,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0725227203441223,0,0,0,0,0,0.0927669883127819,0,0,0,0.198225028474538,0.373649783668839,0,0,0,0,0,0,0.0673625729064744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0410295385900365,0
X601658.CH.Equity,0,0,0,0,0.277826994354865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430483097622972,0,0,0,0,0,0.499921941293358,0,0,0,0,0,0,0,0,0,0.268819004216846,-0.267179179334654,0.0141981551916828,-0.42698110641776,0,0,0,0.652766790754025,0,0,0,-0.173642468872439,-0.234468871365379
