,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.121085469606657,0,0,0,0,0,0,0,0,0,0,-0.0395253958070171,0,0.377766297754029,0.805639771556551,0,0.082295102672159,0,-0.144265639624873,0,0,-0.064751698951105,0,0.0365185903950039,0,0,0,0,-0.180328828535678,0,-0.110475050512697,-0.336485854681777,0,0,0,0,0,0,0,0,0,0,-0.0387369122680335
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0.196906165524081,0,0,0,-0.0285226683225078,0,0,0,0,0.118784101312901,0,0,0,0,0.253241075485547,0,0,0,0,0,0,0,0,0,0.0869052689140573,0,0,0,0,0,0,0.402528481307079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.80638858259387,0.0267747690093115,0.057142321626375,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0296878934538957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431781879469315,0,0,0,0.0434879170159334,0,0,0,0,0,0,0.0467063536068991,0,0,0,0,0.00130285183517529,0,0,0
X601288.CH.EQUITY,0,0,0.921928054514602,0,0,0,-0.0679041479767022,0,0,0,0,0,0,0,0,0,0,0.116135554595284,0,0,0,0,0,0,0,-0.0148125868042983,0.059022550748523,0,0,0,0,0,0,0,0,0,0,-0.103029444119472,0,0,0,0,0,0,0,0,0,0,0,0,-0.0472291834533266,0
X601988.CH.EQUITY,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,1.12022318596984,0,0,0,-0.142848566999685,0,-0.160400796320423,0,0,0,0.1042244319553,0,0,0,0,0,-0.0625935786449163,0,0,-0.221308680486033,0,0,0,0,0.0612570509830509,0,0,0,0,0,0,0.0128524637142739,0,0.138147228493222,0,0,0,0.0995994655509569,0
X600036.CH.EQUITY,0,0.0454205506217004,0.364023768938768,-1.73472347597681e-18,0,0,0,0,0,-0.00294946876828461,0,0,0,0,0,0.147853625937431,0,0,0,0.0021793435260663,0,0,0,0,0,0,0.202840055014803,0,0.00435488820406071,0,0,0,0.200199137955407,0,0,0,0,0,0,0,0,0,0,0,0.0441664227911871,0,0,0,0,0,0,0.0523706318506124
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.913197720820263,0,0,0,0,0,0,0,0,0,0.101059443275863,0,0,0,0,0,0,0,0,-0.114306181344052,0,0,0,0,0,0.0798038254499178,0,0,0,-0.0830537199035038,0,-0.0587210850745105,2.71050543121376e-20,0,0.0164912786735846,0,0,0.0379507626574876,0,0.057646382412242,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0107163186918403,0,0,0,0,0,0,0,0.3409399446644,0,0,-0.241732973897207,0,0.0434573245040408,0,0,0.174157662251088,0,0.255752067107074,0,0,0.0588046280860913,0,0,0,0.0322336813278419,0,0,0,0,0,0,0,0.332767676956966,0,0,0.0121570288243098,0.0406923678720454,0.139340133564859,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.0279357952828072,0,0,0,0,0,0,0,0,0,0.0712180305441827,0,0,0,0,0,0.248734892169643,0,0.0933577689486293,0,0.200710649121954,0,0,0,0,0,0,0,0,0.0304170203769781,0,0,0,0,0,0,0.141154521166339,-0.0355428241981096,0,0,0,0,0,0,0.0945080538017857,0.312250753273391
X388.HK.EQUITY,0,0,0,0,0,0,0.177157830497674,0,0,0,0,0,0,0,0,0,0,0,-0.156571826499221,0,0,0,0,0,0,0.397742035287129,0,0.0904714170284664,0,0.108408751404703,0,0,0,0,0,0,0,0,0,0,-0.0806197234962552,0,0,0.185059470745408,0,0,0,0,0,-0.196244916591267,0,0
