,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.418627624783474,0,0,0.038499707135974,0,0,0,0,0,0,0,0,0.01910536352377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156258007128674,0,0,0,0,0,0.240029529656771,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.218788570100412,0,0,-0.00934408937795551,0
X601318.CH.EQUITY,0,0,0,0,0.184687296533957,0,0.014706903509156,0.0163112284436768,0.0943872573774504,0,0.0872490596963521,0,0,0.041713352041305,0,0,0,0,0.0721358475957709,0,0.389072067828913,0,0,0,0,0,0.144747747327992,0,0,0,0,0.00651022430763125,0,0,0,0,0.00900413127019335,0,0,0,0,0,0,0.069819311582641,0,0,0,0,0.0633140095749184,0,0,-0.131618162821415
X601939.CH.EQUITY,0,0.0130071883203946,0,0.275376336058368,0,0,0,0,0,-0.026181271323338,0,0,0,0,0,0,0,0,0,0.0227781367604633,0,-0.258605735546059,0.713720242780557,0,0.0934503032707185,0,0.0722139182830287,-0.170105520369475,0,0,0,0.0436189504075772,0,0,-0.0283820825497391,0,0,0,0,0,0,0,-0.0516812632257862,0,0,0,0,0,0,0,0,0.0604509351702278
X601288.CH.EQUITY,0.112197394485614,0,0.074726010518992,0,0,0.0874111126233676,0.404004600883417,0,0,0,0,0,0,0,0,0.0484539829711969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20499003043586,0,0,0,0,0,0,0.117910767148949,0
X600036.CH.EQUITY,0,0.179862236482344,0,0,0,0.0690714830522545,0.0917987266950107,0,0,0,0,0,0,0.206847379287266,0,0,0,0,0,0,0,0,0,0.0284834995818039,0,0,0,0,0.318999837349987,0,0,0.0890202750916849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.039605656313991,0,0,0,0,0,0,0,0,0.030533602337309,0,0,0,0,0,0,0,0.167434573491659,0,-0.0254380775630777,0,0.233339862899093,0,0,0,0,0,0,-0.0495001479456384,0,0,0,0.0389703475162913,0,0,0,0,0.641264937446342,0,-0.0733213863797277,0,0,0.106067855787538,0,0,0,0,0,0.0396644332664295,0,0,-0.0678820392745925
X601988.CH.EQUITY,0.261637814733024,0.257498006644519,0,0,0.283013907666535,0,0,0,0,0,0,0,0,0,0,0.0982396814348395,0,0,0,0.0682778371591651,0,0,0,0,0,0,0.109307859354118,0,0,0,0,0.0436287769043557,-0.0959752700305082,0,0,0,0.012846028004956,0,0,1.0842021724855e-19,0,-0.071933144341135,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-0.045210368976208,0,0,-0.00229572833728084,0,0,0.128678070598315,0,0,0,-0.183856720546411,0,0,0,0,0,0,0,0,0,0,0,0.226981498701031,0,0.0279767979750582,0,0,0,0,0,0,0,0,0,0,0,0.140051878672437,0.114842138450753,0.0573747418447288,0,0.067129852519807,0,0.0247564673072604,0.1806272228446,0,0.136630191332202,0,0,0
X5.HK.EQUITY,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0229165971664349,0,0.147572759282731,0,0,0,0,0.190380815591675,0,0.151980614952783,0,0,0,0.0699718684468488,-0.0560433507122091,0.453462222859796,0,0.0967835063348264,0,0,0,0,0,0,0,0,0,-0.11335717612103,0,0.203249496956142,0,0,0,0,0.118086559020903,0,0.276468040073145,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.10478663733471,0,0,0,0,0,0.00659251487519035,0,0,-0.0397452344947504,0,0,-0.133611297646034,0,0.475811975937656,0,0.225785902951782,0,0,0,0.197572155528823,2.16840434497101e-19,0,0,0.155988735661143,0.188274445131318,0,0,0,0.136807832481527,0,0,0,0,0,0.060270258388086,0,-0.342325282704445,0,0,0,0,0,0,0
