,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.525946211221323,0,0,0,0,-0.0254423512364443,0,0.0419889869131785,0.177550695118295,0,0.187614966278908,0,-0.0234932179916407,-0.0164913086683344,0.0474629387998167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697339745413069,0,0,0,0,0,0,0,0,0,0,0.0673356923842159,-0.0273320565619376,0.0394369816269195,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0346433515434479,0.0945445840210649,0.277248370637709,0,0,0,0,0,0,0.0579182988992768,0.343648635499048,0.0896270218671563,0,0,0.0649152263144058,0,0,0,0,0.018273906169947,0,0,0,-0.0415729025961222,0,0,0,0.00118415628160615,0,0,0,0,0,0.0623225822696578,0,0,0.00108603778837392,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.145570257819126,0,0,0.509698987509095,0,0.0756784274484872,0,0,0,0,0.0293901182388504,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.0565095422636599,0,-0.021944939653338,0,0,0,0.088256044519176,0,0,0,0,0,0,0,0,0,0,0,0,0.0244884021473977,0,0,-0.0187143425296961,0
X601288.CH.EQUITY,0,0,0.203934537962265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185896581698453,0,0,0.175061344177863,0,-0.00877867372234632,0,0,0,0,0,0,0,0,0,0,0.0112715372095414,0.234151143238427,0,0,0,0,0,0,0,0,-0.0170381363690208
X5.HK.EQUITY,0,0,0.0811565366151412,0,0,0.232753258458469,0,0.169437818082177,0,0,0,0.311240554183986,0,0,0,0,0,0.112781732028314,0.00317127368213316,0,-0.221115833116002,0,0,0,0,0.27398720969006,0,0,-0.1221726496716,0,0.0209011358443489,-0.0610485852277382,0,0,0.142725964425436,0,0,0,0,0,0,0,0,0,0,0,0.119740233568132,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.247709539957067,0,0,0.0942811437153445,0.0224151482655268,0.228665732608978,0,0,0.0456821760514045,0,0,0,0,0,0.0981505093093229,0,0,0,0,0,0.212400065521754,0.0622646855764177,0,0,0,-0.0851271880824791,0,0,0,0,0,0,0,0,-0.0756537555781153,0,0,0,0.202763407954749,0,0,0,-0.0161035876144467,0,0,-0.0578518308401191,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.00622947882497065,0,0,0,0,0,0,0,0,-0.0447403788353147,0,0,0,0,0,0,0.732564355681834,-0.0175144698863657,0,0.0694807597876325,0,0,0.102019555183628,0,0,0,0.0166767228648256,0,0,0,0,0,0,0.105284163974008,0,0.0657440983942339,0,0,0,-0.0147005032890261,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.232823901363458,0,0,0,0,0,0,0,0.0485883126782555,0,0,0,0,0,0.0719092116626067,0,0,0,0,0,0,0.0259106529295589,0.028650850860515,0,0.11041192982659,0,0,0.240947975919766,0,0,0.177245250635462,0,0,0,0,0,0,0,0,-0.0365801292396474,0,0.0812171953580721,0,0,0,0,0.0945538107578315
X601628.CH.EQUITY,0,0.156185063513296,0,0.0394612177284657,0,0,0,0,0,0,0,0,0,0,0,0,0.0672580476261659,0,0,0,0,0,0,0,0.146672328199558,0,0,0,0,0,0,0,0,0,0,0,0,0.377294316328517,0,0,0.126307405846673,0.0634492795539157,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.232240413333836,0,0.0704152388413219,0,0,0,0,0,0,0,0,0.34033540419103,0,0,0,0,0,0,0.00746218021362604,0,0,0,0.346940564471121,0,0,0,0,0,0,0,-0.0234144612525236,0,0,0.0571177094914541,0,0,0,0,0,0,0,0.0481834144439439,0,0,0,-0.0338671275489798,0.103133423617249,0,0,-0.0409708615140102,0
