,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.292286266940881,0.0283773705135935,0,0,0,0.46151435364082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100390684347533,0.0411538147638668,0,0,0,0,0,0,0,0,0,0,0.0789966055950398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.221169846493955,0,0,0,0,0,0.189169766283666,0,0,0,0,0,0.107575079843785,0,0,0.0851183227793438,0,0,0.123997159948346,0,0,0,0,0,0,0,0,0,0.0135435436664518,0,0,0,0,0,0,0.0621115371233813,0,0,0,0,0,0,0,0.00309978239088827,0,0,0,0,0,-0.15558908179434
X601939.CH.EQUITY,0.507620756920018,0.168847559118947,0,0,0,0,0.0168681063286992,0,0,0,0,0.0229019932295705,0,0,0,0,0.0837273870599301,0,0,0,0,-0.132364225126896,0,0,0,0,0,0,0.203032054409755,0,0,0,0.155076696165045,0,0,0,0,0,0,-0.120996609832995,0,0,0,0,0,0,0,0,0,0.148489070824675,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.209014508749863,0,0.09918520139273,0,0,0,-0.0827485501717275,0.207979100862585,0,0,0.121359069367214,0,0,0,0,0,0,0,0,0,0.107722187657659,0.0349243362309502,0,0,0.024961386665162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376785157300809,0.0288593363870817,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.00459272993893849,0.555720651878652,0,0,-0.0844414131908368,0.0452554291841053,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0731935773952429,0.0792406081618497,0,0,0.089026316360612,0,0,0.110003115687563,0,0,0,0.0535373747351096,0,0,0,0,0,0,0,0,0,0,0,0,0.0592854399639528,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.2272369424017,0.0219117725252449,0,0,0,0,0,0,0.122817675067128,0,0,0,0,0,0,0,0,0,0,0,0.107094199830326,0,0,0,0,0,0,0,0,0,0.197482254856406,0,0,0,0,0,0.0574780616377408,0.173866624337052,0.0964435729402125,0,0.305772824270035,0,0,0,0.280591740613843,0,0,0,0,0
X601628.CH.EQUITY,0.079362314620212,0,0,0,0,0,0,0,0,0,0.0249518924192226,0,-0.0896175404230651,0,0,-0.234315508182472,0,0,0,0,-0.0129051872785517,0.174289500239494,0,0,0.115741616901883,0,-0.0804820695273937,0,0,0,0,0,0,0.577914070484674,0.0618610753358132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428296241487905,0
X601988.CH.EQUITY,0.0754252567051807,0,0.0944853620461385,0,0.355707274161572,0,0,0,0,0,0,0,0.211365140599566,0,0,0,0.144149565875502,0,0.00643495982338631,0,0,0,0.00637749502868447,0,0,0.0196690018777014,0,0,0,-1.73472347597681e-18,0.126988293694556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.123629934121274,0,0,0,0,0,0,0,0,0,0,0.00283402256131826,-0.094775468725981,0,0,0,0,0,0,0.234313873978272,0,0.189709009825975,0.140602817501573,0,0,0,0,0,0,0,0,0.0603635876894907,0,0,0,0,0,0.198157907520313,0.0625333147365492,0,-0.0628521967582852,0.259305996601821,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.067039187852834,0,0,0,0,0,0,0,0,0.0881844723314272,0.138238535156081,0,0,0.0236150273054149,0,0,0,0,0,0,0,0,0,0,0.143339012087506,0,0.435910714590102,0,0,0,0,0.0429398873556952,0,0,0.0140618848504927,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0411951959664125
X388.HK.EQUITY,0,0,0,-0.12803640587729,0,0.198573917503721,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412572756237658,0,0.524748308638372,0,0,0,0,0,0.00488747387414305,0,-0.0224979059849669,0,0,-0.107426154190735,0,0,0,0,0,0,0.126027801387155,0,0.14915068928145,0,0,-0.289230888418333,0,0.069286221973182,0,0,0,-0.0796643689994606,0
X601658.CH.Equity,0,0,0,0,0.219247926539817,-0.039078475892558,0,0.206501270242976,0,0.298627863121187,0,0,0.0764060691547788,0,0,0.0506852342214459,0.488069280779214,0,0,0,0,0.304807133814968,0,0,0,0,0,0,0,0,0,-0.328581270968757,0,0,0,0,0,0,0,0,-0.0274085621979672,0,0,0,0.0285735789844104,0,0,0,0,-0.407032154004584,0,-0.00544528020601326
X000001.CH.EQUITY,0,0.0116387860192645,0,0.130696956227328,0,0,0,0.189044802761888,0,0.467516419476772,0.032535508493441,0,0,0,0,0,0,0,0,0,0.0694465444369047,0,0.137395471128274,0,0,0,0.359498114254669,0,0,0,0,0,-0.284132740929522,0,0,0,0,-0.0644250400135995,0,0,0,0,0,0,0,-0.0437459221828492,0,0,0,0,0,-0.0491034865573185
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0308658807299448,-0.0158834169241393,0,0,0,0,0,0,0.302009826336525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00409926406619092,0.0521404022502102,0.201810965907433,0.225640548512683,0,0,0,0,0,0,0.226337591649698,0.0180712594961908,0,0,0.0560226443564358,0,0,0,0
X601601.CH.EQUITY,0,1.73472347597681e-18,0,0,0,0,0,0,0.156585805871405,0,-0.0826880567046511,0,0.383510594950784,0,0,0,0,0.0796708844752192,0,0,0.214715822598922,0,0,0,0,0,0.00505604388708068,0,0,0,-0.0266763140580498,0,0,0,0,0,0,0,0,0,0.0434376147572469,0,0,0,0.0506071522410434,0,0,0.1084956917025,0,0,0,-0.0193015712440169
X000002.CH.EQUITY,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,-0.101758036918993,0.0799092544577068,0,0,0,0,0,0,0,0,0,0,0.00689827263523029,0,-0.0599989849558121,0.309275981870683,0,0.519269032302629,0,0,0.0394429473304141,0,0,0,0,0,0,0,0,0,0,0,0,0.0359167632988028,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.140707121253192,0,0,0,0,0,0.291429706825966,0,0,0,0,0,0,0.12740035301382,0,0,0,0,0,0,0,0,0,0,0,0,0.149632166024733,0,0.0199155169365457,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0246978810420996,0,0.186019551738357,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.448199194276101,0,0,0,0,0,0,0,0,0.0868077718875062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.0878906652364487,0,0,0,0.0271908818008598,0,0,0,0,0.0283579705555263,-0.0593644050707998,0.569169261924031,-0.0946587678971261,0,0,0,0,0,0,0,-0.080437378532809,-0.106788983137255,0,0.0707043378168712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204651441198478,0,0,0.0933795755434082,0,0,-0.0776925767595774,0,0,-0.165448909892429,0
X16.HK.EQUITY,0,0,0,0,0,0.0840884746018984,0,0,0,0,0,-0.0471339963332528,0,0,0,0,0,0,0,0,0,0,0,0.0625964041365226,0.142317082456418,0,0,0,0,0.248403579105406,0,0,0,0,0,0,0,0,0,0,0.289488979021711,0,0.164732282931675,0,0.0288786122572744,-0.0375664005732012,-0.476226501704486,0.0558070656247294,-0.228330088911978,0,0,0
X601319.CH.EQUITY,0,0,0.0758458416374983,0,0,0,0,0,0,0,0,0,0.274020650089535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778626627414749,0.203054108625262,0,0,0,0,0,-0.0275088189476904,0,0,0,0.102659827919904,0.262795833807608,0,0,0,0.162559001756907,2.16840434497101e-19,0,0
X300059.CH.EQUITY,0,0.144107462689647,0,0,0,0,0.0356591686209948,0,0,0,0.0871733744219859,0.0645583067368605,0.0254886780625286,0,0,-0.0392145244521726,0,0,0.224034385369401,0,0,0,-0.102381681993223,0,-0.144733737225215,0,0,0,0,0.0282714477419518,0,0,0,0,0,0,0,0,0.0386666658284418,0,0,0,0,0.367285334675053,0,0,0.302079270533338,0,0.0445631811726572,0,0,0
