,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.155378159185966,0,0.0949410882039603,0,0.0376293833742299,0,-0.0910372301162503,0,0,0,0.41973948608343,0,0,0,-0.119616977446402,0,0,0,0,0,0,0,0,0,0,0,0,0.106406606370415,0,0,0,0,0,0,0,0,0.135118033573602,0,0,0,0,0,0.170002318122627,0,0,0.0390209441790993,0,0,0,0.0368723664443917,-0.0487201129121371
X601318.CH.EQUITY,0,0,0,0,0,0,0.00255091284019427,0,0.103702075595264,0,0.0152227318226145,0,0,-0.155903891648827,0,0.0794144948410486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218927086980223,0,0,0,0,-0.251825054344469,0,0.433661412180735,0.109207742401945,0.0340028445327985,0,0,0,0,0,0.180761825438723,0,0
X601939.CH.EQUITY,0.138274067484175,8.67361737988404e-19,0,0.363775114048369,0,0.0718509729458251,0,-0.0783909115531897,0,0,0,0,0,0,0.0889831737166775,0,0,0,0,-0.0197956838423657,0,0.102215976840653,0,0,0,-0.0883262160007068,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154252676793554,0.491690284272929,0,0,0,0,0,0,0,0,0,0.00175158279743739,0,0
X601288.CH.EQUITY,0.45876478291935,0,0.177234211963553,0,0.0771277470212788,0.123702626891931,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0603828265812186,-0.0413026826678476,0.0251373082964896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105542072849574,0,0,0,0,0,0.181909157339342,0,0,0,0,0,0,0,0,0.105215789390536,0,-0.0119804063781224,0.109897476782239
X5.HK.EQUITY,0,-0.0682813152128228,0.0198331481515201,0.292307136524725,0,0,0,-0.182127537883761,0,0,0,0,0.138074546806482,0,0,0,0,0,0,0,0.604663087277019,0,0,0,0,0.180093456587525,0,-0.0423817530900683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209678377204988,0,-0.10275238730853,0,0,-0.021742111084236
X601988.CH.EQUITY,0.17772196143576,0,0.122298519656757,0.120983737455167,0,0,0,0,0.0953202589388844,0,0.0971428203319446,0,0,-0.27185200079906,0,0,0,0,0,0,0,0,0.0767288234017369,0.270254581469031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132127683423382,0,0,0,0,0,0,0,0.0249286075158867,0
X600036.CH.EQUITY,0,0.033522534067089,0,0,0,0,0,0.0967817463486451,0,0,0,0,0.046597684529387,0,0.306635783580551,0.23478655423379,0,0,0,0,0.106461695528778,0,1.0842021724855e-19,0,0,0,1.73472347597681e-18,0,0,0,0,0.0461061299219127,0,0,0,0,0.00993477503781235,0,0,0,0,0,0,0.0306986180021313,0,0,0,0.0737354395913091,0,0,-0.0433909443736396,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0335433110290337,0.0695941879281381,0,0,0,0.138512988134292,0,0,0,-0.145106644012997,-6.93889390390723e-18,0,0,0.370198552136774,0,0.251919292571739,0,0.0424685689044193,0,0,0,0,0.103123976210408,0,0,-0.00418411412194496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0131758187557626,0.404004175062241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052751853882387,0.0594810676887707,0.0436979819787038,0,-0.0436230712417689,0,0,0,0,0,0,0,0,0,0.0505270366699579,0,0,0,0,0,0,-0.178294143155347,0,0,0,0,0,0.160513797745126,0,0,0.216414120055526,0,0,0,0.055912312143592,0.155503159732146
X601658.CH.Equity,0,0,0,0,0,0,0,0,0.0249539288950032,0,0,0,0,-0.0135956134595525,0,-0.0323910767487074,0,0.0745552073526095,0,0,0,0,0,1.9966127427674e-05,0,-0.13551950529743,0,-0.0266641281401203,0,0,-0.137636605492595,0,0,0,1.0842021724855e-19,0,0,0,0,0.0250169315433366,0,0,0,0.0462772570713082,0.0483070510786234,0,0,0,0,0,0,-0.0125560559289911
