,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.374155628145638,0,0.164224177671554,0,0.136733899587323,0,0,0.194870702657773,-0.0547048702540816,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0923464929453688,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554286627714918,0,0,0,0,0,0,0,0,0,0,0.0604315301334268,0,0,0
X601939.CH.EQUITY,0.402491448102594,0,0,0.315884012333706,0,0,-0.120317424930928,0,0,0,0.0279912794246217,0,0.136423893314379,0,-0.0912967726929104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00756231284908894,-0.0249557505146747,0,0,0,0,0,0,0,0.176344989996407,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.216560219164112,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0260379833465732,0,0,0,0,0,0,0.181026728844359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258984482202177,0,0,0,0,0.218496813950043,-1.73472347597681e-18,0,0,0,0,0,0.111099338710473,0,0
X601288.CH.EQUITY,0.50024218220206,6.93889390390723e-18,0,0,0.198583610883534,0,0,0,0,0,0,0,0.0747672882690976,0,0,0,0,0,0,0.0129666316040547,0.118435680594794,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050763479411641,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.381100631753386,0,0,0,0,0,0.264990125223924,0,0,0,0,0,0.356549948158334,0.0873434034068208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.368390424874603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278494604681567,0,0,0,0,0.0920710277727375,0,0,0,0,0,0,0.010191827754605,0,0,0,0,0,0.043362424825382,0.185151313125279,0,0,0.0916187640837307,0,0,0,0.0159817134354425,0,0,0,0.172707131539466,0,0,0,0,0,0.105441957379379,0.0157016292457397,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0848619429049177,0,0,0.0588448399083743,0.122707859673476,0,0,0,0,0,0,0,0,0,0.0246767518676914,0,0,0,0.14711739290525,0,0,0,0,0,0,0,0,0.219903680390061,0,0,0,0,0,0,0.0922903441281869,0,0,0,0,0.117246018514111,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0664270961567337,0,-0.123158745252463,0,0,0,0,0,-0.287527875460904,0.645370680492796,0,0,-1.38777878078145e-17,0,0.777605707219484,0,0,0,0,0,0,0,0,0,0.408959438704312,0,0,0,0,-0.303668035616793,0,0,0,0,0,0,0,0.155110786632068
X601628.CH.EQUITY,0.00511962057732115,0,0.0722076906137997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684381981106048,0,0,0,0.0512883533958289,0.0316916334945199,0,0,0.118819225051502,0,0.229605598440207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786961998887349,0,0,0,0.246236947520724,0,0.0912882874854492,0,0,0
X601658.CH.Equity,0,0,0,0.0418662168540803,0.19732568028221,0,0,0,0,0,0,0,0.262608295029193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087649656781818,0.173432155009989,0,0,0,0,0,0,0,0,0,0,0.0447347560263755,0,0,0,0,0,0,0,0.352152446979386,0,0,0,0,0
