,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0723075729104463,0,0.636838129694541,0,0,0.000119976055597186,0,0,0,0,0,0,0,0,0,0,0.116597081725955,0,0,0,0,0,0,0,0,0,0,0.0379061891994057,0,0,0,0,0,0,0,0,0,0,0,0,-0.00869221147102916,0,0,0,0,0,0.0597920552331401,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0605930209470732,0,-2.16840434497101e-19,0,0,0,0,0.15947716059639,0,0,0,0,0,0.474111504863348,0,0,0,-0.039247737622456,0,0,0,0,0,0.056289821959608,0,-4.33680868994202e-19,0,0,0.0783546840174214,0,0,0.0641768382072842,0,0,0,0,0,0,0,0,0,0,0,0.0140117225762138,0.128755982892476,-0.0164267872652183
X601939.CH.EQUITY,0,0,0,0,0.51998825670001,0,0,0,0,0,0.204730410818393,0,-0.0710309223175441,0,0,0,0,0,0,0,0.0244998403047415,0,0,0,0.449667795433901,0,0,0,0,0,0.019708492301731,0,0,0,0,0,0,0,0,-0.177569568243298,0,0,0,-0.0529144219044067,0,0,0,0,0,0,0,0.0595993521575957
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0385798237185808,0,0,0.231412841226051,0,0,0,0,0.153664004626802,0,0,0,0.206548184750348,0,0,0,0,0,0,0,0,0,0.0220612668687507,0,0,0,0.204659121403521,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.0890773968756635,0,0.105784870885638,0,0,0
X601288.CH.EQUITY,0.0850394056131444,0,0,0,0,0,0.0719859224677625,-0.0296721210667942,0,0,0,0,0,0.0388647654000966,0,0,0.278786715754766,0,0,0,0,0,0,0,0.405486146720083,0,0,0,0.0357922450603921,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197260138313829,0,0,0,0.00409855684580393,0,0,-0.0294890899644288,-0.111766970037679,0.0155252795438957
X600036.CH.EQUITY,0.0111567602604773,0.243255473993252,0,0,0.0804286653258228,0,0,0.128911930923939,0,0,0,0,0,0.280415233398189,0,0,0,0,0.116918261939724,0,0,0,0,0,0,0.254451778168043,0,0.0659477882345942,0,0.0166320704225572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023662426096671,0,0,-0.0231787737883475,0,0
X601988.CH.EQUITY,0,0,0,0,0.260357969535787,0.306962076876911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205825266493064,0,0,-0.0303257428990763,0,0.115486677192214,0,0,0,0,0,0.208844110766799,-0.0547077223327038,0,0,0,0,0,0,0,0,0,-0.0287377940869467,0,0.11278751209644,0,0,0,0,0,0,0.0783331186255844
X1299.HK.EQUITY,0,0,-0.221081601951064,0,0,0,0,0,0,0.237664369087762,0,0,0,0,0,0,0,0,0,0,-0.13722358532874,0,0,0.204280565612899,0,0,0.311024946612816,0,0,0,0,0,0,0,0,0,0.0784099070166214,0,0,0.0963099026700849,0,0.0609976783876783,0.0903597813825958,0.135481863202944,-0.0059586864304179,0,0,0.0208775197989502,0,1.38777878078145e-17,-0.0823696529763995,-0.0679882363935039
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.178802728901334,0,0,0,0,0,-0.159642566126749,0,0,0,0,0.205588733661927,0,0,0,0.0692721633760292,0,0,0.399890920826932,0.059984206815302,-0.0492623925834331,0,0,0,-0.0386820499128632,0,0,0,0,0,0,0.215331572359944,0.18115666006934,0,0,0,0,0,0.125342797243014,0,0
X388.HK.EQUITY,0,0.0422466800032921,0,0,0,0,0,0.0293370890595793,0,0,0,0,0,0.0207125947588567,0,0,0,0,0,0,0.0815083182627452,0.212616726408123,0,0.0829109451436483,0,0,0,0,0,0,0.198487317755603,0,0,0,0,0,0.194770014094025,0.148577592139735,0,0,-0.165663494972459,0,0,0,0,0,0.222867246818129,0,0,0,0.0766248662549586,0
