,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.368824580799328,1.0842021724855e-19,0,0.358736297684415,0,0,0,0,0,0,0,0,0,0,0,0,-0.00319037903052539,0,0,0.106763951797294,0,0,-0.235958995349261,0,0,0,-0.0406353760636659,0,0,0,0,0,0,0.198884786101468,0,0,0,0,0.0915553823612232,0,0,0,0,-0.138412879403163,0,0,0,-0.0269103235101739,0
X601318.CH.EQUITY,-0.0148177662112173,0,0,0,0,0,0,0,0,0.245578697273141,0,0.213424536890966,0,0,0,0,0.161892868972241,-0.0449333373185664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145943181316074,0.344329311658819,-0.00760439963767791,0.0460384783527975,0.129035938649587,0,0,0,-0.0149407696342594,0,0,0,0
X601939.CH.EQUITY,0.31428195663517,0,0,0,0.0928794325628199,0,0,0,0,0,0,0,0,0.117548517429695,0,0,0,0,0,0,0.0514828801653369,0,0,0,0,0.262987523260279,0,0,-0.0142467277452611,0,0,0,0,0,0.135788114864424,0,0,0,0.00249494939214231,0,0,0,0,0.0573029710661908,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.353940022374952,0,0,0,0.0710377076623756,0,0,0,0.215897704180872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604212076816426,0.0322096560088987,0,0,0,0.15327299118421,0.00589121629074582,0,0,0.166745574641662,0,0,0,0.0180128373894391,0,0.140221547411169,0,0
X5.HK.EQUITY,0,-0.170658069813904,0,0.393456037382603,0,0,0,-0.21580404119179,0,0,0.0177752194688585,0,0,0,0,0,0,0.0317232393812593,0,0.149978481498306,0,0,0.469493053032825,-0.0774063696928969,0,0,0,-0.0103231216969364,0,0,0,0,-0.102936926999687,-0.0721062918155955,0,0,0,0,0,0,0,0.141811333402482,0,0,0,0,0,0,-0.153893575446006,0,-0.142966987800791
X601988.CH.EQUITY,0.102283013831416,0,0,0,0,0,0,0,0,0.219679450840471,0.0560625542455168,0,0,0,0,-0.0329168154289866,0,0,0,0,0,0.37495693024936,0,0,0,0,0.053069962844665,0,0,-0.0225898159747613,0,0,0,0,0,0,0,0,0,0.0579798375279025,0,0,0.0841089125241113,0,0,0,0.089957879956478,0,0,0.0402433546314997,0
X600036.CH.EQUITY,0,0.321911107506212,0,0,0,0,0,0,-0.118199210731666,0,0,6.93889390390723e-18,0,0.18285663673947,0,0,0,0,0.112105364954019,0,0,0,0.0841689436154165,0,0,0,-0.0582772076110999,0.0376771771106716,0,-0.109662428164906,0,0,0.221969686419337,0,-0.0300375599066833,0,0,0,0,0.22498597732176,0.0308915992200247,0,0,0,0,0,0.102165614876646,0.0794331581885063,0,0.0401868846958201,0
X1299.HK.EQUITY,0,0.0677847811278404,0,0,0,0,0,0,0,0,0,0,0,0,0.0486748860504451,0,0,0.244593020348467,0.219403748565178,0,0.21732223501986,0,0.0973069961871003,0,0,0,0,0.110727239637311,0,0,0,0,0,0,0,0,0,0,-0.233454682930855,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0493623256521932,0,0,0,0,0,0.0163602738070597,0,0,0.0188773278146928,0,0,0,0.163762907587563,0,0,0,0.00400140659359298,0,0.0193620657830429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307020340823837,0,0,0,0,0,0,0,0,0,0.149857108628353,0
X601166.CH.EQUITY,0,0,0,0,0.00974213112604517,0.187846433241458,0,0,0.128122276569265,0,0,0,0,0,0,0,0.216089332832652,0,0,0,0,0,0,0,0,0,0.104005708074474,0,0,0.0530647804770835,0,0,0.491595253742315,0,0.135945343216987,0,0,0,0,0,0,0,-0.096271002585576,-0.0857907322112283,0,-0.0897610187607676,0,0,0,0,0
X601328.CH.EQUITY,0.086532485135193,0,0.0415770491408262,0,0.0939510436993685,0.399571028654428,0,0,0,0,0,0.159965670934009,0.125301439142796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00196759513161428,0.0303604209984051,0,0.0467474351152466,0,0,0.110036160336809,0,0,0
X600000.CH.EQUITY,0,0.18395413670899,0,0,0.0117769548516524,0.159630536222006,0.242904180547787,0,-0.0429521004204299,0,0.0981508871222302,0,0,0.0724175341492168,0,0,0,0.00645691759124045,0,0.0226879630740497,0,0.270861021853556,0,0,0,0,0,0,0,0,0,0,0,0.0279524775858903,0,0,0,0,0,0,0,0,0.00874821084351124,0,0,0,0,0,-0.117861229855238,0,0.0952920772779957
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.168182711929947,0,0,0,0,0,0,0,0,0,0,0,0.0495480572523476,0,0.128402220664087,0,0,0.185394369272011,0,0,0.0729961368588797,0,0,0,0,0,0,0.0483716445639022,0,0,0,0,0,0,0,0,0,0.285965405089888,0.166858323674268,0,0,0.0185920342808234,0,0
