,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.104849413149098,0,0,8.67361737988404e-19,0,0,0,-0.0272511411211598,0,0,0,0,0,0,0,0,0,0,-0.17831722505163,0,0.0362859484750928,0.709912964415635,0.543315033782084,-0.259388390546089,0,0,-0.160997987395069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579417430260892
X601318.CH.EQUITY,0,0,0,0.00470266419637649,0,0,0,0,0,-0.0260640557376407,0,0,0.0271502875807491,0,0.0555482392654132,0,0.0160529333055313,0,0.498080314907203,0.0193270911039083,0,0,0,0,0,0,0,0,0.118181992972968,0,0,0,0,0,0,0.0652381735292902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.107519066251297,0,0.755443921896909,0,0,0,0,0,0.0246951658041512,0.0874616835638999,0,0,0,0.0270313079288944,0,0.0181571069396726,0,0,0,0,0,0,0,0,0,0,0.0579996386305579,0,0.00743566685886838,0,0,0,0,0,0,0.0159197693249957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.95435811145934,0,-0.044972700110038,0.0534656294423473,-0.0890778483303971,0,0,0.0281609788448864,0,0,0,0,0,0.0210802118180255,0,0,0,0,0,0,0,0,0,0,0,0.0503477137047987,0,0,0,0,0,0,0,0,0,0,0.0295266266230207,0,-0.0830636406685021,0,0,0,0,0.0171957510188364,0,0,0,0,-0.110265188015476,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.082565571661517,0.235758899561906,-0.0229205605234027,0.336832356528906,0,0,0,0,0,0,0.322858212292335,0,0,0,0,0,0,0,0,-0.0999467661305651,0,0,0,0,0,0,0,8.67361737988404e-19,0.234464195740476,0,0,0,0,0,0,0,0,0.147353455388797,0,0,0,0,0,0.0365963638661173
X600036.CH.EQUITY,0,0,0,0.333933809883509,0,0,0,0,0.0775057553631868,0,0,0,0,0,0.0209518389591173,0,0.0309647336049982,0.13808325466661,0,0,0,0,0,0,0,0,0,0,0.1167601122776,0.159357256764483,0.0399704806426824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345814331546578,0,0,0.0551784862757992,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.161831057695557,0,0,0,0,0,0.0153187028048736,0,0,0,0,0,0,0.264631163199156,0,0,0,0.0551403946527229,0,0,0,0,0,0,0.154393553774298,0,0,0,0.07040538554869,0,0,0,0.0768477030319746,0,0,0,0,0,0,0,0.201250322951505,0,-0.0663949101655895
X601988.CH.EQUITY,0,0,0,0.0686298748747101,0,0,0,0,-0.0494240212151056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694321031838265,0,0,0,0,0,0,-0.0208709038358558,0,0,0,0,0,0,0,0,0,0,0.00062822449193179,-0.134265270820279,0,1.00128802505088,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.0287236079625808,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0413616390998481,0,0,0,0.00490595237627355,0,0.1865126114637,0,0.374601672082763,0,-0.193160449962674,0,0,0,0,0,0,0,0,0,0.0394160793346377,0,0,0,0,0.220231078863408,0.0725977583879696,0,0,0,0,-0.274091449989864,0.197825613097834,0.0705101966407024
X388.HK.EQUITY,-0.0301934972429129,0,0,0,0.228170408924334,0,0.133404032817859,0,0,0,0,0,0,0,0,0.00116784937142229,0,0,0,0,0.150523779117377,0,0.257572033812245,0,0,0.136721674227132,0,0,0,0,0,0,0,0.0675204182936236,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239546306842356,0,0,0,0.155792662599043
