,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600999.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.169809761087838,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.144785243528967,0,0,0,0,0,0,0,0.0557312657196287,0,0,0,0,0.221595738486853,0,0,-0.0367299453822403,0,0,0,0,0,0,0,0,0,0,0.130432552936076,0,-0.200554046249314,0.132146846601688,0,0.0028950826979221,-0.143957861737167
X601939.CH.EQUITY,0.120552439627686,0,0,0.277872477372928,0,0,0,0,0,0,0,0.00449880351943968,0,0.304072552536282,-0.0623177294629618,0,0,-0.0679824661748145,0,0,0,0,-0.0620910787036895,0,0,0.0796489163094688,0,0,-0.121815418143975,0,0,0,0,0,0,0,0,0,0,0,0,0.120770480670296,0,0,0,0,0.150297311943288,0,0.166738108345981,0,0,0.129808334243628
X601318.CH.EQUITY,0,0,0,0,0.123418334080734,0.255997665079321,0,0,0,0,0,0,0,0,0,0,0.114293722288578,0,0,0,0,0,0.131233690414377,0,0,0,0,0.0109660719567594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267366523136172,0,0,0,0.122223807606793,0,0,0,0
X601288.CH.EQUITY,0,0.453659586253307,0,0,0.0332074449257465,0,0,0,0,0,0,0,0.014449631890375,0.152114399946924,0,0,0,0,0,0,0,0.229235147512245,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.147425512781197,0,0,0,0,0,0,-0.0847553455950199,0,0,0,0,-0.098745035852768,0,0,-0.00549346520043174,0
X601988.CH.EQUITY,0,0,0,0.432227518030782,0,0,0,0,0,0.211520303140903,0,0,0,0,0.0511191471533379,0.294416451278942,0,0,0.164709882870111,0,0,0,0,0,-0.0227002391759725,0,0,0,0,0,0,0,0,0,0,0,0,-0.472649315764398,0,0,0,0,0.201574039470285,0,0,0,0,0,0,0,0,0.391100098618641
X600036.CH.EQUITY,0,0.161361566795258,0,0,0,0,0,0.122187086109597,0,0,0,0,0.210900054643486,0,0,0,0,0,0,0,0,0,0.106466688605752,0,0,0,0,0,0,0,0,0.30882493696971,0.0477211144690685,-0.0369814349060574,0,0,0,0,0,0,0.0592898842908955,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0.0205160058714023,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.176816739994215,0,0,0,0.0507472906355893,0,-8.67361737988404e-19,0,0,0.117589072740113,0,0.031849379097066,0,0,0,0,0,0.0868931618898164,0,0,0,0.144373857806219,0,0.0438499778827323,0,0,0,0,0,0,0,0,0,0.313534066211072,0.07105533917536,0,0,0,0,0,0,-2.71050543121376e-20,0,0.0121046269045441,0
X601628.CH.EQUITY,0,0,0,0,0,0.370531793044763,0.0579493684749668,0,0,0,-0.115905071209984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787504055591586,-0.0233275134939955,0,0,0,0,0,0,0.0827027518295591,0,0,0,0,0,0,0,0.0672877449819033,0.142771643125601,-0.0040649339016537,0.0603037379002268,0,0,0,0,1.73472347597681e-18,0,0,0.0192434510431593
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0600937964524509,0,-0.148037541423547,0.0317915620517836,0,0,0,0,0,-0.40688646047777,0.777670184788915,0.149323313511483,0,0.619339609393723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088944887438209,0,0,0,0
X601658.CH.Equity,0,0.0984812753223263,0,0.16558889913029,0,0,0,0,0,0,-0.0535704058613665,0,0,0,0,0,0,0,0.0216289467685182,0.326011637907543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958067287567777,0.193506498604564,0,0,0,-0.03249533546944,0,0,0,0,0.0281845838915867,0,0,0,0
