,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.248126220266869,0,0.14693746148707,0.0422859620972249,0.00579022274887051,0,-0.0610293865663663,0,0,0,0,0,0,0,0.0396985530702057,0,0,-0.0305864953882915,-1.73472347597681e-18,0,0,0,0,0,0.0175753859820806,0,0,0,0.0691904727048664,0,0,0,0,0,0,0,0,0,0,0,0,0.309890803951859,-0.024393202107015,0,0,0,0,-0.0499435607026934,-0.0267945850670299
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169726371167682,0,0,0,0.344649157411873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202751608225433,0,0.0121934235413677,0,0,0,0,0,0,0,0,0,0,0.0031026111971636,0,0,0.152021126680963
X601939.CH.EQUITY,0,0,0,0.764315931511565,0,0,0,0,0,1.73472347597681e-18,0.0784875200459241,0,0,-0.0248613744939974,0,0.137604800880693,0,0,0,0.0714517175144552,0,0,0.00783791276706796,0,0,0,0,0,0.0533644144836888,0,0,0,0,0,0,0.0108454402901972,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,-0.000408006611578304
X601288.CH.EQUITY,0.188186395673183,0,0.862997083518618,0,0,0,0,-0.0587485094749531,0,0,0,0,0,0,0,0,0.0143500749119548,0,0,0,0.0227963147809214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028983861767074,0,0,0,0,0.0141212099367103,0.00565823680684603,0,-0.131580377684505,0,0,0.0161321273236001,0,0,0,0,-0.043157263032651,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.219955746934734,0,0,0,0,0,0,0,0,0.277606816543959,0,0,0,0,0,0,0,0,0,-0.012093876190904,0,0,0,0,0,0.124168767033224,0,0,0,0,0,0,0,0,0,0,0.150875472000379,0,0.345158769536615,0,0,0,0
X600036.CH.EQUITY,0.258191657407505,0,0.14876508239242,0.0999314915161858,0,0,0,0,0,-0.0291652308514772,0,0,0,0,0,0.229494801124421,0,0.0215236503106597,0.0178470051323199,0,0,0,0,0,0,0,0,0.220308242373715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594191749239334,0,0,0.0258151639336742,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0877339537699132,0,0,0.162397094135261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00839567850011263,0,0,0,0,0,0,0,0,0,-0.00810399481733513,0,0,0,-0.13753834528968,-0.00637995101551567,0,0.897343882874095,0,0
X1299.HK.EQUITY,0,0,0,0,0.0882835280733089,0,0,0,0,0.271752003267336,0,0,0,0.0898819484419579,0,0,0,0,0,0,0,0.267451123149269,0,0,0,0,0,0.0516211314403551,0,-0.072661798894943,0.0846803094568701,0,0,0,0,0,0,0,0,0,0,0,0,0.146639456666089,0,0,0,0.0223853748222292,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.233793479196592,0,0,0,0,0,-0.049327695010945,0,0.0234526070299977,0,0,0,0,0.298495178630936,0,0,0.030379867760665,0.0800725950907539,0,0,0,0,-0.176960846621239,0,0,0.0667023928192812,0,0,0.11248803714487,0,0,0.306023220096446,0.161424841857074,0.0054793374900878,0,0,0.062671527330643,0,0,0
X388.HK.EQUITY,0,0.115687877403303,0,0,0.282745476823449,0,0,0.0763565084754017,0,0,0,0.0112498372802925,0,0,0,0,0,0,0,0,0.0411962556656302,0.224522747274424,0,0,0.0778004722665291,0,0,0,0,0,0,0,0,0,0,0,0,0.130267021083869,0,0,0,0,-0.237825351479807,0,0,0.159773432494472,0,0.0164291461428426,0,0,0,0.0150438006835268
