,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.55100973553754,0,0.0285098177642706,0,0.069145170669914,0,0,0,0,0.094261862866987,0,0,0,0,0,0.126089976793216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00200916918181737,0,0,0,0,0.0788633257638062,0,0,0.0751609911013193,-0.0496597264828609,-0.0169926677665167,1.73472347597681e-18,0,-0.0279221342859285,0,-0.00193431937387511,1.73472347597681e-18
X601318.CH.EQUITY,0,0,0,0.104708101168595,0,0,0,0,0.0433807821090412,0,0,0,0,0,0,0,0,0.234653438107085,0,0,0,0,0,0,0,0.0473918045206146,0,0,0.0648288862789846,0,0,0,0.103355579937038,0,0,0,0,0,0,0.194289507939526,0.0573030338933207,0,0,0,0,5.42101086242752e-20,0,0,0.0813963459900228,0,0
X601939.CH.EQUITY,0.0645205276610746,0,0,0.537767594435264,0,0.0375293864302092,0,0,0,0.0263509203358669,0.0647740249902818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147119313458829,0,0,0,0.0041453690060702,0,0,0,0,0,0,0,0,0,0,0,0.0136380384688677,0,0.0323614522643244
X601288.CH.EQUITY,0.251022521896721,0,0,0,0,0.0376750037324827,0,0,0,0.124841009078837,0,0,0,0,0,0,0,0.0483049497077925,0,0,0,0,0,0,0.0556969287210076,0.171991822718705,0,0.00841696994734148,0,0.133130722785354,0,0,0,0,0,0,0,0,0,0,0,0.108897796844933,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.321251327851897,0,0,0.102727188471127,0,0,0,0,0.106082121073327,0.0973173302215477,0,0,0,0,0,0,0,0,0,0,0,0,0.263060185965542,0,0,0,0,0,0,0,0,0,0,0,0.129576918662652,0,0,-0.488155845836258,0,-0.0296746214100066,-0.0436115207795943,0,-0.242891398223314,0
X601988.CH.EQUITY,0.0731209159373141,0,0.0666639064998142,0,0.0144670366583156,0,0,0,0,-8.67361737988404e-19,0,0.0534100920362497,0,0,0,0,0,0,0,0,0,0,0.601992154919855,0,0,0,0,0,0,0.114709583944424,0,0,0,0,0,0,0,0,0,0.0832406823131896,0,0,0,0,0,0,0,0,0.0117292077715581,-0.0977410437488367,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0392530669960945,0,0,0,-0.0192269099532917,0,0,0,0,0.05958940334798,0,0,3.46944695195361e-18,0,0,0,-0.00588338823358089,0.665886566275786,0,0,0.0442764328753025,0.100872041315839,0,0,0,0,0,0,1.73472347597681e-18,0,-1.0842021724855e-19,0,0,0,0.0676248830600809,0,0,0.044495691101917,0,0,0,0,0
X1299.HK.EQUITY,0,0.214842240967387,0,0,0,0,0,0,0,0,0,0.16857181571271,0,0,0,0.0316408539444092,0.174020687771533,0,0,0,-0.085778246358673,0,0,0,0,0,0,0.217545601810814,0,0,0,0,0,0,0.0718703268724716,0,0,0,0,0,0,0,0,0,0.0388318868148088,0,0,0,0,0,0.0938458914691464
X601628.CH.EQUITY,0,0.162865204634462,0,0,0.0196244968913519,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418654395239499,0,-0.0189728704144326,0,0,0,0,0.15549295931171,0,0,0,0,0,0,0,0,0,0,0.371225430908551,0,0,0,0.224900676004097,0,0.0653135178198985,0,0,0.00552378399089257,0,0,0,0.0154421455448818,0
X601328.CH.EQUITY,0,0.00821090924084118,0.129761257504718,0,0,0,0.126717230384572,0,0,0,0,0.0217922721775583,0,0.241925115631734,0,0,0,0,0,0,0,0.232943064388442,0,0,0,0,0,0,0.0543399934584649,0,0,0.0136549553199257,0,-0.00896935327205248,0,0,0.0071651378032836,0,0,0.217075794130325,0,0,0,0,0,0.0186701600299364,0,0,0,0,0
X601166.CH.EQUITY,0.129185376772524,0,0.190294006197788,0,0,0,0.148627553274913,0,0,0.0417243681012677,0,0.0178658722267785,0,0.153544070414409,0,0,0,0,0,0,0,0,0,0,0,0.053333770861652,0,0,0,0,0,0,0.0257090150636902,0,0,0,0,0,0,0,0,0.11410712114284,0,0,0,0,0,0,0,-0.0420408994168627,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.272603768973223,0,0,0,0,0,0,0,-0.039211608756904,0.178593175069811,0.216959750527884,0.255387780953856,0,0.0601140716085989,0,0,0,0,0,0.131840271667947,0,-0.195277343683185,0,0.0061105892862834,0,0,0.179019328498189,0,0,0,0,0,0,0,-0.00806663866028533,0,0,0,0.101990005063645,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,-0.162092214839668,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.200340115238017,0,0,0,0,0.134241226052245,0,0,0.148195721641294,0.134404102925482,0.295227695051723,0,0.245858694754494,-0.032195640293322,0,0,0,0.044589163011795,0,0,0.0832852222530323,0,0,0.179223857991327,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.0532957269581819,0.181927398604112,0.0669864935355202,0,0,0.255048237583704,0.0965149431732541,0,0,0,0,0.0675555935268256,0,0,0,0,0,0.0227695237944478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266319780209401,0,0.0116955698284892,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.295671503584519,0,0,0,0,0.123382964017879,0.0978626871290623,0,0,0,0,0.0234624593165376,0,0,0,0,0.292319748568096,0,0,-0.279261022982356,0,0,0.198370187209986,0,0,0,0.16412669376618,0.567461926639529,0,0,0,0.006497378665972,0,0,0,0,0,0,0,0,0,0,0,0.0347328046191059
