,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.138341289258571,0,0,0,0,0,0,0,0,0,0,-0.0966311437401884,0,0.431998336255628,0.688345465153001,0,0.0393785379963937,0,-0.127766752884755,0,0,-0.0832277690830656,0,0.107790324208372,0,0,0,0,-0.13394212806871,0,-6.93889390390723e-18,-0.338796942101633,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0.0849264165440795,0.108624104976176,0,0,0,0,0,0,0,0,0.0430828540369169,0,0,0,0,0.303681352162449,0,0,0,0,0,0,0,0,0,0.131541237080518,0,0,0,0,0,0,0.176735455521847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133073882390636
X601939.CH.EQUITY,0,0,0,0.806387447254721,0.0267750876115065,0.0571424456186728,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0296881295415741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431780011736098,0,0,0,0.0434887061636778,0,0,0,0,0,0,0.0467061229770268,0,0,0,0,0.0013030823962146,0,0,0
X601288.CH.EQUITY,0,0,0.877611262347034,0,0.0805916208543597,0,-0.090339456963939,0,0,0,0,0,0.0153960380420524,0,0,0,0.0531698394974789,0.118295212547887,0,0,0,0,0,0,0,-0.0920494284314007,0.0109068045608433,0,0,0,0.00809615081785914,0,0,0,0,0,0,-0.141075936440697,0,0,-0.00544959835487989,0,0,0,0,0,0,0,0,-0.0036415235192863,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881980283852064,0,0,0,-0.293537672497226,0,0,0,0,0,0.394919609305754,0,0,0,0,0,1.38777878078145e-17,0,0,-0.247168621204117,0,0,-0.0251754801779923,0,0.0415333360834921,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0880298688558829,0,0,0.0213733761475395,0,0.00199113882133921
X600036.CH.EQUITY,0,0,0.389902434457611,-1.73472347597681e-18,0,0,0,0,0.0100730980823484,-4.33680868994202e-19,0,0,0,0,0,0.128980519815436,0,0,0,0,0,0,0,0,0,0,0.191849883884767,0,0.00939998592376348,0,0,0,0.169169941710762,0,0,0,0,0,0,0,0,0,0,0,0.0207733587359192,0,0,0,0.006339670140209,0.00526731271936511,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0271112495761616,0,0,0.783176835244134,0,0,0.0338391477266356,-0.0175216415645826,0,0,0,0,0,0.14130097436592,0,0,0,0,0,0,0,0,-0.0744343209574,0,1.73472347597681e-18,0,0,0,0.0628231576860633,-0.0290565341798327,0,0,-0.035849837550671,0,0,0.0918388638544184,0,0.0552936089366497,0,0,0.00970400738093929,0,0,0.136181424834898
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00254635403492206,0,0,0,0,0,0,0,0.253187840040848,0,0,-0.227180170859624,0,0.0853040363768635,0,0,0.153475682835169,0,0.310817393628989,0,0,0,0,-1.73472347597681e-18,0,0,0.0218303031133399,0,0,0.0325684916021207,0,0,0,0.381266347982059,0,0,0,0.0776354756130338,-0.107252744910964,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121232753613225,0,0,0.217194955961672,0,-0.0788254969208491,0,0,0,0.168470896037247,0,0.344882376012322,0,0.13530584791496,0,0,0,0,0,0,0,0,0.133903901364148,0,0,0,0,0,0,0,-0.23896410562849,0.10553958154511,0,0,0,0,0,0,-0.149936652283623
X388.HK.EQUITY,0,0,0,0,0,0,0.21469660772691,0,0,0,0,0,0,0,0,0,0,0,-0.213623160504205,0,0,0,0,0,0,0.352404821951384,0,0.0655180058764571,0,0.123059159747148,0.023717336572877,0,0,0,0,0,0,0,0,0,0,0,0,0.164372636574365,0,0.0417508583904715,0,0,0.0609379837386508,-0.262624571400347,0,0
X601658.CH.Equity,0,0,0,0.225261194417231,0,0,0,0,0,0,0,0,0,0.00187529889444949,0,0,0,0.287434951751411,0,0,-0.106902565429836,0,0,0,0,-0.0745182985161032,0,0,0,0,0.0597490545460143,0,0,0,0,0,0,0,0,0,0,0.344031047322158,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0.0335125784838485,0.135217705371024,0,0,0.0268962025207524,0,0,0.0425650699194557,0,0.0846287089060972,0,0,0,0,0,0,0,0,0,0,0,0,0.0125840547251125,0.0643703070324745,0,0,0,0,0.672816576723515,0,0,0,0,0,0,-0.0499397688444382,0,0,0.018459652250674,0,-0.0173856433583782,0,0,0,0,0.0297168902222982,0
X601328.CH.EQUITY,0,0,0,0.212750698881619,0.0103985914952064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327708260192168,0,0,0,0,0.00468485974157888,0,0,0,0,0,0,0,0,0,0,0.0256866242182216,0,0,0,0,0,0,0.248328207238018,0,0.0473284660597866,0,0,0,0,0
X601166.CH.EQUITY,0,0,3.46944695195361e-18,0,0.533141513703338,0.0108113480137305,0,0,0,0.0188199635583168,0.0694177074322567,0,0,0,0,0.0725247592713993,0.0215812341013651,0,0.070364056571672,0,0,0.0492431121155277,0,0.0504589875915917,0,0.0785782414512529,0,0,0,0,0,0.0473350416308618,0.0137794077865613,0,0,0,0,0,0,0,0,0,0,-0.0328977263855927,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.339446677685388,0,0,0,0,-0.0333938760030392,0,0,0,0,0,0,0,0,0,0,0.147007653105949,0,0,0,0,0,0.0578833466613008,0,0,0,0,0.336049623238701,0.0538582178418485,0,0,0.0719983731216998,0.0352971020305383,0,0,0,0.0449876933408532,0,0,0,0
X600000.CH.EQUITY,0,0,0.156226156377052,0.1933904604049,0,0.120908117395964,0,0,0,-0.0302403539799542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113698178974805,0,0,0,0,0,0,0,0,0,0,0,0.692974877362234,0,0,0.258441495917689,0,0,0,0,0,0,0,0,0.0817093944261739,0,0
X000002.CH.EQUITY,0,0,0.12822405988201,0.0733850621774349,0,0,0.0176135422604699,0,0,0,0,0,0,0.00087609487923887,0,0,0,0.145656463728499,0,0,0,0,0.0612878385019701,0,-0.0219178718505083,0,0,0.0233782522271782,0,0,0.0279820434918948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151158955447058,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.252361247781137,0,0,0,0,-0.0284778151813303,-0.0630977279018881,0,0,0,0,0,0,0,0,0,0.148417911858679,0,0,0,0.0627906914251982,0,0,0,0,0,0,0,0,-0.0696495093989704,0.0357105792390228,0,0,0,0,0,0.120312593753769,0,0,0,0,0,0,0,0.354528986730942,0,0,-0.0334000076315956,-0.0605039895001739
X000001.CH.EQUITY,0,0.0698197788405256,0,0,0,0.121437698946726,0,0,0,0,0,0,0,0.129720287101995,0,0.118400329205267,0,0,0,0.0958926946240328,0,0,0,0,0.100893378966376,0,0,0,0,0,0,0,0.113796655703031,0,0,0,0.0749677225975029,0.0284472784945169,0,0,0,0,0.0101822792291667,0,0,0,0,0,3.46944695195361e-18,0,0,0
X601601.CH.EQUITY,0,0.784196331843101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107659517540361,0,0.150465364644981,0,0,0,0,0,0,0,0,0,0,0,0.0333625457774194,0,0,0,0,0,0.108022416130321,-0.077945279035057,0,0,0,0,0,0,0.0650436311420182,-0.0250863290698579
