,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601818.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.349577656298146,0,0.159188037650621,0.0247899466471677,0,0,-0.0475968288065313,0,0,0,0,0,0,0,0.029346740781104,0,0,-0.0524697139538628,0,0,0,0,0,0,0,0.0294321748289506,0,0,0,0,0.0555564221968206,0,0,0,0,0,0,0,0,0.0102662572724587,0,0.32202593920142,-0.0258915167562199,0,0,0,0,-0.0289800767227185,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.00700550329025076,0,0,0.0669319342913308,0,0,0,0.106524864324256,0,0.000429431116235163,0.223230081043745,0,0,0,0,0,0,0,0,0,0,0.0418872905472922,0,0,0,0.317975130202385,0,0,0.0535768274245316,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.118334850407508
X601939.CH.EQUITY,0,0,0,0.767329585055635,0,0,0,0,0,0,0.11907200802772,0,0,0,0,0,0.101053233827195,0,0,0,0,0,0,0.0092902914018072,0,0.00600528016432225,0,0,0.0690425055066752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00757852629334895
X601288.CH.EQUITY,0.092569737561834,0,0.944738281728713,0,0,0.0146206534423038,0,-0.0487024840668514,0,0.0219337513267542,0,0,-0.0249645393004409,0,0,0.00762544139226653,0,0,0,0,0.0335615576400835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0840986030414035,0,0,0,0.0287358599291056,0,0,0,0,-0.130704548722194,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.166720111034288,0,0.211608246733983,0,0,0,0,0,0,0.218986020453809,0,0,0.00394700437506305,0,0,0,0,0,0,-0.137584197380842,0,0,0,0,0,0.285848420755363,0.0322732349760516,0,0,0,0,0,0,0,0,0,0.15841018841329,0.120758140106097,0,0,0,0,0.152989786748173,0
X600036.CH.EQUITY,0.217214504862856,0,0,0.273550802250866,0,0,0,0,0,-0.0435554728219948,0,0,0,0,0,0,0.270066191347351,0,0.0380942911641699,0,0,0,0,0,0,0.0248894612803168,0,0,0,0,0.0552332479168585,0,0,0,0,0,0,0.031138619738847,0,0,0,0,0,0.102934755131435,0.0282924142824441,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00825448130248639,0,0,0.0232647530899132,0,0,0.159030124613766,0,0,0,0,0,0,0,0,0,0,0.000833639521543671,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228491852067037,0,0,0,0.0340173763468447,-0.0384856895917282,-0.0748183036910842,0,0.930051631883719,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.292462670685184,0,0,0.0903619350884557,0,0,0,0,0,0,0,0,0,0,0,0.267510030809044,0,0,0,0,0,0.0896428461870063,0,0,0,0,0,0.0236372096343194,0.0602513522665345,0,0,0,0,0.112966222290741,0.0312380880203581,0,0,0.0878490625123032,0,0,0,0,0,-0.0115013085206322
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127421301346336,0,0,0,0,-0.153797215230577,0,0,0,0,0,0,0,0,0.336652365998417,0.0608810454484935,0.0703773120823483,-0.000658034314302471,0,0,0,0,-0.053575948819129,0,0.187670076788791,0,0,0.0567818602766046,0,0.127807888993143,0,0.18292879859809,0.085547825150059,0,0,0.318285900392529,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.337926684551986,0,0,0,0,0,0,0,0,0,0,0,0,-0.062409500218993,0,0,0.0329086480495446,0,0,0.125091542660851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3127391167663,0,-0.155784621696737,0,-0.0836292940857554,0,0,0,0.292383082733506,0,0,0,0,0,0.0343182926449935,0
