,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.342407766304718,0.0614724013088808,0.110129253492205,0,0,0,0,0,0,0.209448447725094,0,0,0,0.0170843499126983,0,0,0,0,0,0,0,0,0,0.0134503415000982,-0.0258329522653787,0,0,0,0.036076853558916,0.00874892569514526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450275172914262,0,0,0,0.14506799970291,0,0
X601939.CH.EQUITY,0.440876188503168,0,0,0,0,0,0,0,-0.0215289347018352,0,0.210122164832343,0,0,0.0415954690401346,-0.0104175997327149,0,0,0,0,0,0,0,0,0,0.158149478855241,0,0,0,0,0,0,0,0,0,0,0,-0.00636891953071339,0,0,0,0,0,0,0,0,0,0,0,0.0831610722532048,0,-0.0507047957655523,0,0
X601318.CH.EQUITY,0,0,0,0,0.166802212760597,0,0,0,0,0,0,0.182171358857895,0,0,0.0183187129094365,0,0,0,0,0,0,0.0954827873487464,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0580491677357605,0,0,0,0,0.19703620807802,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.176622351963294,0,0,0,0.365806211007063,0,0,0,0,0,0.0401781429004235,0,0,0.0943530894287823,0,0,0,0,0,0.0652315375456534,0,0,0,0,0.0957774909327279,0,0,0,0,0,0,0,0,0,0.146834906529366,0,0,0,0,0,0,0,0.0114111397406848,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.380948852232374,0,0,0,0,0,0.228556048127896,0,0,0,0,0,0.0624546345261501,0.157936614618309,0,0,0,0.0191568553199673,0,0,0,0,0,0.100159146196348,0,0,0,0,0,0,0,0,0,-0.500072301271819,0,0,0,0,0,0,0.0835262894402606,0,0,0,0,0,0,0,0.289805159920772,0
X600036.CH.EQUITY,0,0.0771795779236864,0,0,0,0,0,0,0.000914258143769549,0,0,0.190942722934218,0,0,0,0,0,0,0,0,0,0.273532360105833,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.28285726562923,0,0,0,0,0,0,0,0,0.0647857164058385,0.0539469971512002,0,0,0,0,0.0244117542336877,0.0891037911696231,-3.46944695195361e-18,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23624129308088,0,0,0,0.47973181303681,0,0,0,0,0,-3.46944695195361e-18,0,0.107385191636437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116677843313428,0,0,0,0,0.0458611139348823,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164114245269178,0,-0.259694708640594,0,0,0,0,0,0,-0.409458192241788,0,0.731627656312746,0,0.612032111390062,0,0,0.0447665663399015,0,0,0,0,0,0,0.357535684438792,0,0,0,0,3.46944695195361e-18,0,-0.0747319046537827,0,0,0.00178297314269172,0,0,0,0,-1.38777878078145e-17
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.107925249296578,0,0,0,0,0.00253512755567825,0,0,0,0.381285160989767,0,0,0,0.034734627633451,0,0,0,0,0,0.00144149798565599,0,0.0512681449664327,0,0.0877700998619996,0,0,0,0,0.212289199490129,0,0,0,0,0,0,0,0,0,0.166184182679552,0.0370598263293391,0
X601658.CH.Equity,0,0,0,0.158288858889884,0.182112780579301,0,0,0,0,0,0,0,0,0.118444418061584,0,0,0,0,0,0,0,-0.0828958429678098,0,0,0,0,0.0367348367535775,0,0.0940703356809078,0,0,0,0,0,0,0,0,0.276519975998146,0,0,0,0,0,0,0,0,0,0,0.437064958590746,0,0,0,0
X601328.CH.EQUITY,0.171565144657771,0,0,0.461231811549751,0,0,0,0,0,0,0,0,0.0218532970959314,0,0.0409292302433048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156463978931708,1.73472347597681e-18,0,0,0,0.0893750182732468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672079625497371,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.409173019531905,0,0,0,0,0.0676391228419412,0,0,0,0,0,0.0474471263317462,0,0,0,0,0,0,0,0,0,0,0,0,0.219148208544665,0,0,0,0,0,0,0,0,0,0,0,0,0.0545086100167494,0,0,0,0.0297958097928976,0.0608167979935865,0.115509499683338,0,0,0,0
X388.HK.EQUITY,0,0,0.27035845170345,0,0,0,0,0,0,0,0,0,0,0.034409118704665,0,0,0,0.0377195768918744,0.11651028010068,-6.93889390390723e-18,0,0,0,0.0447466654178106,0,0,0,0,0,0,0,0,0,0.0437987394071329,0,0,0,0,0,0,0,0,0,0,0.0508817958365833,0,0,0.0201561071074086,0,0,0,0,0
X600000.CH.EQUITY,0.30135555823399,0.0501778581740511,0,-6.93889390390723e-18,0.123609439226318,0,0,0,0.109410531919563,0,0,0,0,0,0,0,0.0300393027735671,0,0,0.0531664921123027,0.0718148492565771,0,0,0,0,0,0,0,0.0272925060009222,0,0,0,0.0246340233867198,0,0,0,0,0,0,0,0,0,0.0545596134903634,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.021657289686277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112315003623556,0,0,0,0.465253455848113,0.0779559301799155,0,0.117671707109737,0,0.227481869578128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263929875145481,0.0172727049791772,0,0,0,0,0,0,0,0,0.187894752226274,0,0.218553998302196,0,0,0,0.166366203402665,0.075071357084148,0,0,0,0.115091867569386,-3.46944695195361e-18,0,0,0,0,0,0.00474040901770942,0,0
X000001.CH.EQUITY,0,0,0.182820993910984,0,0,0,0,0,0,0.007216406142964,0,0.295774443317306,0,0,0.116319196249076,0,0,0,0,0,0,0,0.130779489463004,0,0,0,0,0,-1.73472347597681e-18,0,0,0.03956848106531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164678897656623,0,0,0
X16.HK.EQUITY,0,0,0,0,0.0301301213263537,0,0.315040390981061,0,0,0,0,0,0,0,0,0,0,0,0,0.225364306486751,0,0,0.0613908688629693,0,0,0,0,0,0.0514146616443905,0,0,0,0,0.0423387891663057,0,0.314366993811388,-0.0860084428283532,0,0,0.123978711554247,-0.119646854691422,0,0,0,0,0,0,0,0,0,0,0,0
