,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.0969723099692335,0.404141331657755,0.0602416085863801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13914517121256,0,0,0,0,-0.0418658437594384,0.00554064461605707,0,0.0410478395554739,0.0649729194928478,0,0,0,-0.0828672954959774,0,0
X601318.CH.EQUITY,0,0,0.0642271314866256,0,0,0,0,0,0.115816113799477,3.46944695195361e-18,0.0337620410592354,0,0.0547363062705766,0,0,0,0,0.0751922671213667,0,0.143149345679497,0,0.0655805179960447,0,0,0,0,0,0.0832598570434848,0,0,0.0522394956220384,0,0,0,0,0,0,0.145553011488262,0,0,0,0,0,0,0,0,0,0.062142379397105,0,0,0,0.0956840780083575,0
X601939.CH.EQUITY,0,0,0,0,0.0944277929787084,0,-0.0301562340523387,0,0,0,0.0974130302707514,0,0,0,0,0,0,0,0,0,0.00806339807936537,0,0.619541662294724,0,0,0.151635634108536,0,0.0992789231305543,0.0183050965765643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0920535966619184,0,0,0,0,0.206923392781926,0.0983927115237617,0,0,0,0,0.158453770269985,0,0.04897031541787,0,0,0,0,0,0,0,0.259597562020093,0.217450092292824,0,0,0.0307281538428874,0,0,0.0455327036676313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0549719451931374,0.0618840515918605,0.0618503672777166,0,0,0.0665443913892583,0,0.380980596606794,0,0,0,-8.67361737988404e-19,0,0,0,0.0247333167285608,0.0451655095212418,0,0,0,0,0,0,0,0,0,0,0,0.136178619431243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556809596613229,0,0,0,-0.0655732871409026,0
X601628.CH.EQUITY,0,0,0,0,0.0953150232050662,0,0,0,0,0,0,0,0,0,-0.182294775363083,0,0,0,0.0152507407442326,0,0,0.0564152942069704,0,-0.0120690538734893,0,0,0,0,0,0,0,0,0,0.641366062421154,0.0360422049046952,0,0,0,0,0,0,0,0,0,0,0,0,0.0749994277755147,0,0,0,0.209740275197162,0
X1299.HK.EQUITY,0,0,-0.129858963052342,0,0,0,0,0,0,0,0,0.12736023679532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085216905600342,0,0,0,0.128447706251667,0,0.039272061542175,0,0,0,0,0,0,0.168369737852519,0,0.0462257175594344,0.278499521076924,0.0912399111531428,0.157478904960661,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,-8.67361737988404e-19,0.231534595662599,0.711228751178384,0,0,0,0,0,0,0,0.006879883752484,0,0,0,0.0445453406857299,0,0,0,0.0723973823823006,0,0,0.103652318991671,0,0,0,0,0,0,0.0904052489858345,-0.119131842571162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343896871677255,0
X5.HK.EQUITY,0,0,0,0,0,0.00939384294471982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131349978003284,0,0,0,0,0.084665099437974,0,0.176227808461909,0.0153680494889478,0,0,0,0,0,0,0,0,0,0,0,0.337377465640203,0,0,0.16220140067431,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0283445508378971,0.058845241414307,0,0,0,0,0,0,0.0638492558486726,0,0.15119832011803,0,0.112336468776531,0,0,0,0,0,0,0,0,0.177556797156037,0,0,0,1.73472347597681e-18,0.38170328694789,0,0,0,0,0.0301658759061226,0,0,0,0,0,0,0,0,0,0,0,-0.0101517593952183,0,0,0,0,0,-0.0062978602955407,4.33680868994202e-19
