,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.399323587730884,0.0329531110732393,0.0129549572368427,0,0,0,0,0,0,0.201816595977757,0,0,0,0,0,0,0,0,0,0,-0.0114126041336544,0.104892549208011,0,0,0.0795532410525642,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553969499386217,-0.121760834971961,0,0
X601939.CH.EQUITY,0.427424541242389,0,0,0.191054625100461,0,0,0,0,0,0,0,0,0,0.170469508551754,-0.219237252677852,0,0,0,0,0,0,0,0,0,0,0.229425423511082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114225875406408,0.0184705978735,0,0.0079208510689587,0.0100934272240993,0
X601318.CH.EQUITY,0,0,0,0,0.196097716818266,0.241084146899272,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146829793517214,0,0,0,0,0.0687578452425491,0,0.0254609687085,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.29613870162245,0.0954146117229248,0,0,0.174336320762065,0,0,0,0,0,0,0,0,0.189634251576958,0,0,0,0,0,0.0454021248821259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120921057121497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.379393964448071,0,0,0,0,0,0.336477430734556,0,0,0,0,8.67361737988404e-19,0.208397336065011,0,0.139154365142751,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0684214180759759,0,0,0,0,0,0,0,0,-0.48003500013175,0,0,0,0,0,0,0,0.0114510860495533,0,0,0,0,0,0,0.310600379371812,0
X600036.CH.EQUITY,0,0.0258669332024226,0,0,0,0,0,0,0.0531119670813094,0,0,0,0.146329151658654,0,0,0,0,0.0512761383167444,0,0.0276855196426753,0,0,0.153310988631847,0,0,0,0,0,0,0,0,0.357250627882065,0,0,0,0,0,0,0,0,0.0580384017681061,0,0.0407693603674716,0.187035087870495,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.194639743699945,0,0.11136842225354,0,0,0.121082176113811,0,0,0.203180098367734,0,0,0,0,0.224131117081031,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.180245289185386,0,0,0,0,0,0,0,0,0,0,0,-0.0403056457877902,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445256237212894,0,0,-0.0396931486828932,0,0,0,-0.382211601030398,0,0.612718687002676,0,0.0469919455718354,0.691209813806716,0,0,0.018226310898759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148817513032191,0,0.288577026191082,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,-0.117470919895689,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.336474977599773,0.0854748333191664,0,0,0,0,0,0,0,0.0338330744995796,0,0,0,0,0,0,0,0,0.25396225043115,0,0,0,0,0,0,0.100981264838459,0,0,-0.152329897229306,0.039459117491299,0
X601658.CH.Equity,0,0,0,0.0229272381234128,0.125245726774826,0,0,0,0,0,0,-0.126022247531277,0,0.207558621658239,0,0,0,0.225908092608618,0,0,0.0878226909882307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271070443086205,0.122909702408275,0,0,0,0,-0.036760203007276,0,0,0,0,0,0,0,0,0,0,0
