,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X823.HK.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.00538536220783407,0,0.231901454172474,0,0,0,0,0,-0.216384893233628,0,0,0,0,0,0,0,0,0,0,0,0.47006883059971,0.475024134456055,0,0,0.104620461371355,0,0,0,0,0,-0.0825223882681601,0,0,-0.180868749739838,0,0,0,-0.618046836788711,0,0,-0.0944270026713474,0.0352167864117565,0.0321850511827517,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0323418765888603,0,0,0.213846094752241,0,0,0,0,0,0,0,0.254496393219697,0.223345293624312,0,0,0,0,0,0,0,0,0,0,0.0326237391160625,0,0,0,0,0,0,0,0,0,0,0,0,-0.00864345104388279,0,0,0,0,0,0,0,0,0,0.0065835203841946,0,0.236122326716118,0,0,0,-0.131014254479085
X601318.CH.EQUITY,0,0,0,0,0.0243562361848062,0.263515410908052,0.138410551894354,0,0,0,0,0,0,0,0,0,0,0,0,0.223195202833636,0,0.153491329435086,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.279287710097331,0,0,0.328604056225824,0,0,0.0593591372440151,0,0,0.0186472752598599,0,0.104914929502587,0,0.0643253270363905,0,0,0,0,0,0.0686743848760036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609435512421123,0,0,0,0,0,0,0.00589720603761874,0,0.0269023097878124
X601988.CH.EQUITY,0,4.33680868994202e-19,0,0.206868361166921,0,0,0,0,0,0.437244513011715,0,0.14951806504435,0,0,0,0,0.206542517347681,0,0,0,0,0,0,0.0366518936635464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.250422399132815,0.0556318085640679,0,0,0,0,0,0,0,0,0,0.0500911965445844,-0.13209173670234
X600036.CH.EQUITY,0,0.0870611414881948,0,0,0,0,0.0349356412785435,0.0623460768123699,0,0,0,0.114604680777023,0,0,0,0,0,0,0,0.126737761651915,0,0,0,0,0.0166425207446146,0,0.00161248080761776,0,0,0,0,0,0,0.387441443562461,0,0,0,0,0,0,0,0,0,0,0,0.072768875648995,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.287049068572072,0,0.042519322720924,0,0,-0.0888815773602228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241483130497149,0,0,0,0,0,0,0,0,0,0,0.107337906246415,0.200576021963508,0.0793839254054673,0,0,0,0,0,0,0.0312924660748868,0,0,0,0,0,0.0123350166822798,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0931180889399087,0,0,0,0,0,0,0,0,0.0571155921225998,0,0,0,0,0,0.231933821906304,0,-0.0517809024980296,0,0.0108972573028262,0,0,0,0,0.135374022610193,0,0,0,0,0,0,0,0,0,0,0,0.0503927759323777,0.183674473923395,0,0.483173640376641,0,0,0,0,-0.0590401562303095,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340226339635024,0,-0.0535649753819249,0,0,-0.578116695622634,0.838833266729505,0,0,0.141972997378433,0.641371402193443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185591348332643,0,0,0
X601658.CH.Equity,0,0,0,0.0410444543084905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294572579479307,0.0540622613614845,0,0,0,-0.00683093998501826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217605937740302,0,0,-0.0123354177240017,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.334084737032215,0,0,0,0,0,0,0,0,0,0,0,0.131102236860407,0,0,0,-0.259957626037058,0,0,0,0.275616865832599,0,0.0591105315624503,0,0,-0.0415414302398759,0,0,0,-0.0913342749014275,0,0.0259555789024868,0,0,0.40545696487723,0,0,0,0,-0.000904227657660216,-0.206529920530187,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.132950768143417,0.0833894891790117,0.133636386158133,0.0869908648705008,0,0,0,0,0.0263989659229479,0,0,0,0,0.32961307318041,0.109064828434095,0,0,0.0439205431559066,0,0,0,0,0.0212786881255164,0,0,0,0,0,0,0,0,0.0139003669554514,0,0,0,0,0,0,0,0,0,0,-0.00454007863253213,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.0980076947576541,0.286930401069854,0,0,0,0,0,0,0,0,0,0,0,0,0.138893647728987,0.0652896064025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12990376492448,0,0,0,0,0,0,0,0.0157761192805823,0,0,0,0,0,0.00764240383424243,0,0,0,0,0.0499291780413919,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.000679712092131605,0,0,0,0,0,0,0,-2.71050543121376e-20,0.24835425951777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388246531335155,0.0470312685185869,0,0.0155109400067242,0,0,0.0175444878583414,0.0365939520675631,0,0.0207705204073773,0,0,0,0,0.0340381059489934,0.0115701633151497,0,0,0,-0.0514308951773835,0,0
X600000.CH.EQUITY,0,0,0,0.21676081562911,0,0.0614671651819963,0,0.02760773446535,0.0443750635973097,0,0,0.331121122469707,2.16840434497101e-19,0,0,0,0,0,0,0,0.124020979166094,0,0,0,0,0,0,1.73472347597681e-18,0,1.73472347597681e-18,0,0,0,0,0,0.00285380406578861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195471323240441,0,0,0,0.0679137299761119,0,0,0,0.0937281000715394,0,0.151928018472254,0,0,0,0,0,0,0,0,0.236151295949512,0,0,0,0,0.0574371850332529,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,-0.185884033215953,0,0,0,0,0,0,0.476139128693768,0,0,0,0,0,0,0,0,0,0,0,0.131538662920793,0,0,0,0,0,0,0.169986979916237,-0.0638453593712803,0.13349398973073,0,8.67361737988404e-19,0.110760247164249,0,0,-0.0239386790404812,0,0,0,0,0,0,0,0,0,0,0.0125489256987333,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217986358289166,-0.00736449995318997,0,0,0.158196648584652,0,0,0,0,0,0,0,0.398851106438904,0,-0.0309712474265594,0,0,0,0,0,0.112610218649727,0,0.249803397946753,0,0,0.0557017783150691,0,-0.0620531716849573,0.0309018555084306,0,0,-0.0179591059504915,0,0
X000001.CH.EQUITY,0,0,0.136547392282651,0,0,0.289802641185345,0,0,0.0618640886854035,0,0,0,0,0,0,0,0,0,0,0.093248609417175,0,0,0,0.0232577369120894,0,0,0.0716266083043543,0,0,0,0.0316554262352483,0,0,0.067049506279149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0610810430618393,0,0
X601601.CH.EQUITY,0,0,0.95594593542434,0,0,0,0,0,0,0,0.0111125340614025,0,0,0,0,0,0,0,0,0,0,0.00621298943213153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0532239566280085,0.181874298866743,0,0,0,0,0,0.0563165229684037,-0.0767453140464507,0
X600016.CH.EQUITY,0,0,0,0,0.147522590126314,0,0,0,0,0.0101860248585004,0,0,0.263179815036847,0,0.0486891181297432,0,0,0,0,0,0,0.21559471316589,0,0,0,0,0,0,0,0.00234463104482001,0.0215335752263889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331020799150723,0,0.00497715032210345,0,0
X16.HK.EQUITY,0,0,0,0,0.0154749040037287,0,0,0.181336967641004,0,0,0,0,0,0,0,0,0.0278258477114827,0,0,0,0.0975529870280602,0,0,0,0,0,0,0,0,0.0705051940274753,0.128749124506535,0.0249628292128505,0,0,0,0,0.116061514248655,0.0283157656382636,-0.239795480133445,0,0,0,0.426853639131748,0,0,0.164396950209022,0,0,0,0,0.119314617476837,0,0
X688.HK.EQUITY,0.121864257973749,0,0,0,0,0,0.0318785915003528,0.0152675380026784,0,0,0,0,0,0,0.0106570689545204,0,0,0,0,0,0,0,0,0,0,0,0.135928941050783,0.0954332795216901,0,0.486441128735135,0,0,0,0,0,0,0,0,0,0,0,0,0.0300211963337347,0,0.0555669258206913,0,0,0,0,0,-0.0858664668770451,0,0
X601998.CH.EQUITY,0.304331063650045,0,0,0,0,0,0,0,0.00867371359613577,-0.0224535220149986,0,0,0.189344127910924,0,0,0,0,0.176968008963274,0,0,-0.0830046827983929,0,0,0,0,0,0,0,0,0,0.0400612850076193,0,0,0,0,0.0271100645775543,0,0,0,0,0,0,0,0,0,0,-0.166883395853368,0.220899000205095,0.385861836859491,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0.0115675598482047,0.199836919664429,0,0,0.0161258485654781,0,0,0,0,0,0,0.067105371838034,0,0,0,0,0,0,0,0.181450477781415,0,0,-0.0478556259460806,0,0,0,0,0.0424126185821376,0,0,0.0817657062553915,0,0,0,0,0,0,0,0,0.340578412648116,0,0,0,0,-0.0196629980286527,0,-0.0140501696271858
X11.HK.EQUITY,0,0,0,0,0,0,0,0.0519330743478602,0.381333420123582,0,-0.1107016690219,0,0,0,-0.149905140314506,0,0,0,0,0,0,0.116716646036985,0,-0.0123176759232135,0.173829625608701,0,0,0,0,0,0,0,0,0.0457824943339412,0,0,0.103761847376098,0,0.173616630245469,0,0,0,0,0,0,0,0,0,0,0,0,0.00870259986276607,0
X1109.HK.EQUITY,0,0,0,0,0,0.261989975998765,-3.46944695195361e-18,0,0.0280813832216935,0,0,0,0,0,0,0,0,0.0486451522967882,0,0,0,0,0,0,0,0,0,0,0,0.0982399764860657,0,0,0,0.195758731345737,0,0,0.357539432953782,0,0,0,0,0.0209650721301239,0,0.0878796040270035,0,0,0,0,0,0,0,-0.117955679265809,0
X2007.HK.EQUITY,0.0570374647702697,0,0,0,0,0.0130675076608941,0,0.214313157786632,0.0776738779416356,0,0,0,0,0,0,-0.0468196908456585,0,0,0,0,0,0,0,0,0,0,0.177122145652873,0,0,0.093131082377519,0,0,0.0802166234418067,0,0,0,0.0545769477910314,0,0.085112831683098,0,0,0,0,0,0,0.0882937340052971,0,0,0,0,0.00379671065008974,0.081959352126945,0
X601818.CH.EQUITY,0,0.304107839438479,0,0,0,0,0,0,0,0.00937760423325018,0,0,0.0530236946593619,0,0,0,0.192368943636223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180773450006829,0,0,-0.0057346374051412,0,0,0,0,0,0,0,0,0.0793697241819994,0,0,0,0,0,0.0863797447044737,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0.0314600298130776,0,0.264850270085189,0,0.153550332400325,0,0,0,0,0,0.0713057048631127,0,0,0,0.088268960141481,0,0.108548106605256,0,0,0,0,0,0,0,0,0,0,0.0245360287187209,0,0,0,0,0,0,0,0.0179769122600657,0,0.04255849848511,0,0,0,0,0,0,-0.0380807905124316,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.128336217583624,0,0,0.426662212632252,0,0,0,0,0.0717312597713366,0,0,0,0,0.0246824428383863,-0.0210553370759229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10414030160589,0,0,0,-0.0393293430800513,0,0,0,0,0,0.0185558993693611,0,0
X601688.CH.EQUITY,0.0164943067267888,0,0,0,0,0,0.0422264663466447,0,0,0,0,0,0,0.0207856038836111,0,0,0,0.106194504331401,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.475954561963573,0,0,0,0,0,0,0,0,0,0.359239439158468,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993447828967052,0,0,0.107568468415005,0,0,0,0,0,0,0,0,0,0,0.215556990795951,0,0,0,0,0,0,0,0.00723999377431831,-0.271146117126259,0,0,0,0,0,0.356630212812054,1.73472347597681e-18,0,0,0,0.225990181687942,0.0143367760043204,0,0.126321367341302,0,-0.128706093903315
X002142.CH.EQUITY,0,0,0,0,0,0.456914208772746,0,0,0.102840932921411,0,0,0,-0.0495136522276566,0,0,0.323148176826892,0,0,0.0279822913454127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392325973735491,0,0,0,0,0.0478319763320694,0,0,0,0,0,0,0,0,0.00796850584959684,-0.0235874679500091,0.107133459120833,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864909261385922,0.15167155981265,0,0,0,0,0.079615507096267,0.106625238173357,0,0,0,0,0,0,0,0,0.39235233534465,0,0,0,0,0.0148284277593537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00798076647347086,0,0.0460363927734565,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0461888415546885,0.127715623664882,0,0,0,0,0,0,0,0.0893295710853173,0,0,0.0140942211585065,0,0,0,0,0,0,-0.273480128546245,0,0,0,0,0,0,0.267277756227727,0,0,0,0,0
X1113.HK.EQUITY,-0.0436014598081684,0,0,0,0,0,0,0,0,-0.00570096946202648,-0.0545302178419027,0,0,0,0,0,0,0,0,0,0,0.416551292002308,0,0,0.148426504162401,0,0,0.323430565657006,0,0,0,0,0,-0.0108059560963612,0,0,0,0,0,0,0,0,0,0.0570836125293063,0,0.0776238386469499,0,0,0,0,0,-0.0917666070756947,0
X600837.CH.EQUITY,0,0,0,0,0,0,0.00670022152560395,0,0,0,-0.0731347506812995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114851291696654,0,0,0,0,0,0.421208609046722,0,0,0.106679840676902,0,0,0,0,0,0,0,0,0,0,0,0.198129602838324,0.233809994627037,0,0,0,0,0
X601336.CH.EQUITY,0,0,0.0551663066122841,0,0,0.204501730588968,0.269694453907304,0,0,0,0,0.163985398542691,0,0,0,0,0,0,0,0.0859934078142723,0,0,0,0,0,0,0.102513623286572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783472559621781,0,0,0,0,0,0.0373603833709996
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,-0.00618976828091271,0,0,0,0,0,0,0,0.109716765159007,0.0893434911265886,0,0,0,0,0,0,0.0811258381891298,0,0,0,0,0,0,0.101852311403264,0,0,0,0,0,0.161699647618369,0.0341805109685901,0,0,0,0,0,0,0.0286552833640197,0,-1.38777878078145e-17,0,0,0.0400299556583663,-0.0516163551887236,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183664845141495,0,0.0644449426001606,0.0579920939216509,0,0,0,0,0.0365587298174286,0.0277553625534597,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.0563532680801868,0,0,0,0,0,-0.121969146681893,0,0,0,0,0,-0.169587513861889,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948699961406808,0,0.26872747888033,0,0,0,0.0586491590365862,0,0.0539000442342912,0,0,0,0,0,-0.107163662652132,0,0,0,0.0982425652190724,0,0,0,0,0,0,0,0,0,0,-0.0211845391756945,0,0,0,0,0,-0.030524145325801,0,0
X12.HK.EQUITY,-0.122061349761737,0,0,0,0,0,0,0.191039369054407,0,0.430864785949492,-0.0926687586922086,0,0,0,0,0,0,0,0,0,0,0.531323113355595,0.0786585862516529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0726040440956105,0,-0.0799558500374105,0,0,-0.0310130760167473,0,0,0,-0.0336984520195531,0,-0.100478955230374,0,0
X600918.CH.Equity,0,0,0,0,0,0,0.0862043207582969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.366547216481916,0,0,0,0,0.101851339939174,0,0,0.0725262002087439,0,0,0,-0.131609808506004,0,0.154679305784183,0,0,0.072840963022095,0,0,0,0,0,0,0,0,0,0,0,-0.0297258533798178
X2882.TT.EQUITY,0,0.318768995973574,0,0,0,0,0,0.174810567544337,0.596119584868925,0,0,0,0.243001701278186,0,0,0,0,0,-0.0461276997050399,0,0,0,0,0,0,0,0,0,-0.35159457814261,0,0,0,0,0,0,0,0,0,0,0,-0.260348525282626,0,0,0,0,0.0314340030922475,0,0,0,0,0,-0.253457340345405,0
X823.HK.EQUITY,0,0,0.244695070360324,-0.00762024371846186,0,0,0,0.267554630274886,0,0,0,0,0,0,0,0,0,0,0.141070870019103,0,0,0.208781070186306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214633394171827,0,0,0.0599289869993703,0,-0.206626272737329,0,0.0839897251592436,0.162389807877852,0,0,0,0,0,0,0,0.155717964739213
X601881.CH.EQUITY,0,0,0,0,0.00850268890243962,0,0,0,0,0,0,0,0,0,0,0.0605526786683853,0.156342321855734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-3.46944695195361e-18,0.0799223479539766,0.0137651214252801,0.204791604242506,0,0,0,-0.0155500241624619,0,0,0,0,0,0.182978340238358,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0286669545236677,0,0,0,0,0,0,0.233562983500375,0,0,0,-8.67361737988404e-19,0,0.0261716068124375,3.46944695195361e-18,0,0,0,0,0,0,0.449569081919072,0.0139014404916596,0,0.0187309298448801,0.0454239519082157,0,0.0501788696270722,0,0.120170305014861,0,0,0.0599599492065851,0,0,0,0,0,0,0,0,0,0
