,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.0840892306327892,0,0,0,0,0,-0.078077643256039,0,0,0,0,0,0,0,0,0,0,-0.0832821657953318,0,0.50256679222662,0.0506620524913652,0.528082543019072,0,0,-0.163874571443001,0,0.190632942213437,0,-0.133906857325223,0,0,-0.142715786249152,0,0,0,0,0,0,0,0,0.0235596897895862,0,0,0,0,0,0,0,0,-0.0413123019221524
X601318.CH.EQUITY,0,0,0,0,0,0.270201848574182,0,0,0,-0.0847808987118747,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193725814520979,0,0.00979953991197512,0.0390629363588117,0,0,0,0.227438750949757,0,0.158723418861193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.833405580285373,0,0,0,0,0,0.0132654913904254,0.000564933231264887,0,-0.0492537568638943,0,0,0.0457330335089173,0,0.140731244637251,0,0,0,0.0089270849694539,0,0,0,0,0,0,0.0239566569386834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671667305998753,0,0.00895138136798629,0,0,0,0
X601288.CH.EQUITY,0,0,0.938818017948737,0,-0.0695097260010969,0,0,0,0,0,0,0,0,0,0,0,0.0235385803591212,0,0.0518393653015736,0,0.0540863132825416,0,0,-0.124372761881188,0,0.0639957047045343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0508530803012083,0,0,0,0,0,-0.0197131291759649,0,0,0.0583931334301286,0,0,-0.0392793400467098
X601628.CH.EQUITY,0.0116413509134187,0,0,-3.46944695195361e-18,0,0,0,0,0,0.300609372210194,0,0.213511606827669,0,0,0,0,0,0,0,0.0406161278708854,0,0,0,0,0,-0.0120984305528296,0,0,0,0,0,0,0,0,0,0,0,0.504353353997211,0,0,0,0,0,0,0,0,0.208980872154744,0,0,0,0,0.128574324229801,0
X600036.CH.EQUITY,0,0,0.080407708207897,0.250552062470564,0,0,0,0,0.0629530850822821,-0.00588304756072345,0,0,0,0,0,0.151443565097952,0,0.119185203424703,0,0.00871924067461456,0,0,0,0,0,0,0,0,0.153823053808368,0.137866210966417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601636295568664,0,-0.0238343837417457,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.00284896335072949,-0.136552400554075,0.0796521334799096,0,0.0512762173271093,0,0,0,-0.0218310023379485,0,0,0,0,-0.000941713104435082,0,0,0,-0.0439013714546835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108663038745084,0,0,0,0,0,0,0,1.05183503370546,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.100681204199031,0.161064547352524,0,0,0.0663319780481703,0.0765384847575687,0,0,0.0654177249634201,0,0,0,0,0,-0.0994664075449203,0,0,0,0,0.0655376914524859,-0.12160755267708,0,0,0,0,0,0.268760960835752,0.238543344993988,0,0,0,0,0,0,0,0,0,0.125092194806156,0,0.0215747436405026,-0.0926383332564516,0,0.108650598179951,0,0,0,-0.0924384580472256,0.0443185475682644,-0.0990903020060267
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288240747426587,0,0,0,0,0,0,0.191719084332508,0.531884000123332,-0.0324987837681631,0,0,0,0,0,0,0,-0.00454664067985848,0,0,0.0491175095705578,0,-0.0841755955189109,0,0,0.0755946478690454,0.122091423589678,0,-0.10803036551424,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.312243156794104,0,0,0,0.104803047014949,0,0,0,0,0,0,0,0.0497959255879897,-0.227577056758888,0,0,6.93889390390723e-18,0,0,0.412276121832303,0,0,0,0.118864617045848,0,0,0,0,0,0,0,0,0,0,0,0.0364799189928893,0,0,0,-0.282810842904995,0,0.101408122931152,0.211356512068079,0,0,-0.191126203252951,0,-1.73472347597681e-18,3.46944695195361e-18
X601658.CH.Equity,0,0,0.000196927429634767,0.354879094055773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215281437777378,0,-0.0706656564615589,0,0,-0.171276777638192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092233981418829,0,0,0.489712917568264,0,-0.0635333670740498,0,0,0,0,0,0.0258192914665129,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0400682003129827,0,0,-0.0664845061233877,0,0.0954125998023634,0,0,0.235726083371448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240769395808266,0,0.232153968847932,0,0,0,0.285452017587483,0,-0.0243056361985939,0.0868137490191309,0.0899781967133003,0,0,0.0708669455881566,0,0,3.46944695195361e-18,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.708562280860918,0,0,0,0,0.0626579560706985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361183876402839,0.0405047500779709,0,0.0613105175968452,0,0.0720842287215605,0,0,0.00391751783664685,0,0,0,0,0,-0.00158910526910348
X601166.CH.EQUITY,0,0,0,0.00670784967822706,0,0.12961452565941,0.36476887036794,0,0,0,0.0564860228865244,0,0,0,0,0.0512541371486655,0,0,0,0,0,0.0747284003700152,0,0,0,0,0,0,0,0,0,0,0,0,0.0184001833597556,0,0,0,0.0205415434929021,0,0,0,0,0,0,0,-0.0204816045708461,0,0.248358103642281,0.0491851734159718,0,0,0
X601328.CH.EQUITY,0,0,0,0.0463482912140448,0,0.11217810376847,0.0205501616345795,0,0,0,0,0,0,0,0,0.0289626235675506,0,0,0,0,0,0.373207646972253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250153701912326,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0.435140311681409,-6.93889390390723e-18,0,0,0,0,0,-0.0963361866450414,0,0,0,0,0,0,0,0,0,0,0.0857920017969834,0,0,-0.0728612115743037,0,0.0799469016620978,0,0,-0.0313286393568441,0,0,0,0,0,0.340792495992716,0,0,0,0,0,0.649338636804875,0,0,0.0379784287247109,0,0,0,0,0,0,0,0.148799175508929,0
X000002.CH.EQUITY,0,0,0.274801256323809,0,-0.063322596227837,0,0,0,0.075882975381698,0,0,0,0.138365962560973,0.047026017043073,0,0,0,0,0,0,0.116773211896687,0,0,0,0,0,-0.15527222882932,0,0,0,0,0,0,0,-0.0213123803464662,0.14144303237283,0,0,0,0,0,0,0,0,0,0,0,0,0.0134151303520492,0,0,0,0
