,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X000776.CH.EQUITY,X600926.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.00253498170511338,0,0.337311920138524,0.110500643436347,0,0.207662266068933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165030025563467,0,0,0,0,0,0.0158907084574489,0,0,0,0.0739993135296146,0,0,0,0,0,0.0457138837877246,0,0.0247956122021864,0,0,0,0,-0.0392299382581552,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.062880799318852,0,0,0,0.046850475132495,0.167888220553143,0,0,0,0.0759883036705819,0.0165383466316824,0.0130430180769327,0,0,0.128135757292343,0,0,0,0.151244321023439,0.0760175322283582,0,0,0,0,0,0,0.143469955514545,0,0,0.154771145506393,0,0,0.0245998526364568,0,0.0278818099786329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.120726948257842,0,0,0,0,0,0,0.115886742771562,0,0.0105757988736887,0,0,0,0,0,0,0,0,0.0580374764557864,0,0.312080632602147,0.0701701192286331,0,0,0,0,0.0107636753281082,0,0,0,0,0,-0.11590538877121,0,0,0.0974085501566463,0,-0.0430508407932,0,0,0,0,0,0,0.179438120537279,0,0,0
X601939.CH.EQUITY,0.578127395851475,0,0,0,0,0,0,0,0.248153941870203,0.0830054480351188,0,0,0,0,0.0209626445896301,0,0,0,0,0,0,0,0,0,0,0,0.11223985620558,0,0,0,0,0,0,0,0,0,0.0885593249616223,0,0,0,-0.0986049317418814,0,0,0.0173363591590473,0,0,0,0,0.158298925141895,0.0622243409716925,0,0,0
X601288.CH.EQUITY,0,0,0,0.158768638683532,0,0,0.432080616808738,0,0,0.0669891875775433,0,0,0,0,0,0,0.115831002724708,0,0,0,0,0,0,0.0390235521773344,0,0,0.0140535614045249,0,0,0,0,0.0695338059002837,0,0,0,0,-0.0142149305743349,0,0.110643207325852,0,0,0,0,0,0,0,0,0,0,0,0,-0.0665816802120887,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0724970688906883,0,0.308946857600026,0,0,0.144411457772814,0,0,0,0,0,0,0.19831016526587,-0.14979217667834,0,0,0,0,0,0,0,-0.0250827340861707,0,0.0618094076127892,0,0,0,0,0,0,0,0,0.167697660339616,0.064384933970703,0,0,0,0,0.0788388842203212,0,0,0,-0.000359165290176964,0,0.0340202569019303
X601988.CH.EQUITY,0.17609768182625,0,0,0,0.29200293940514,0,0,0.0756689517695442,0,0,0,0.0359258883650522,0,0,0,0,0,0,0.199126014964881,0,0,0,0,0.19150124740697,0,0,0,0,0,0,0,-0.24013941789635,0,0,0,0,0,0,0,0,0,0,-0.01500446050683,0,0,0,0,0,0,0,0,-0.0533655611463665,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.114949459150713,0,0,0,0,0,0,0.231970311290219,0,0,0,0,0.0561987172926285,0,0,0,0,0,0.116662182136218,0,0,0,0,4.33680868994202e-19,0,0.016831696525532,0,0,0.241082791460944,0,0,0,0,0,0.26838693103238,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.172509303257757,0,0.142180923749586,0,0,0,0,0,0,-0.142112107193752,0.0694177247202078,0,0,0,0,0,0,0,0,0,0,0,0,0.102778621099487,0,0,0.155147400596388,0,0,0,0,0,0,0,0,0,0.281331075097292,0,0,0,0,0,0,0.027763999155997,0,0,0,0,0,-0.0681869665206625,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.00101972415716494,0,0,3.46944695195361e-18,0.464119861055859,0,0,0,0,0,0,0,-0.0980649682582109,0,0,0,0,0,0.117092526166524,0,0,-0.0809538601964128,0.118805574771085,0,0.156896346473398,0,0,0,0.00699803716097583,0,0,0,0,0,0,0,0.0497551117330976,0,0,0,0.105336460044149,0,0,-0.109593840202113,0
