,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.266320812066801,0,0.338935555655194,0,0,0.0751959417468587,0,0.146473348285176,0,0,0,0,0,0,0,0,0.0272819128500569,0,0,0,-0.0835835869502904,0,0,0,0,0.0331097216913507,0,0,0,0,0,0,0,0,0,0.111402667625258,0,0,0,0,0,0,0,0,0,0,0,0.0606581258543797,0,0,0,0
X601939.CH.EQUITY,0.383068951951112,0,0,0,0,0,0,0,0,0,0,0.0212838404712582,0.503464942008492,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504151367565041,0,0,0,0,0,0,0,0,0.0523676237898567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0220890394294496,0,0,0,0,0.334656368937522,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0896277667418718,0,0.0233699629246877,0,0,0,0,0.391642922354514,0,0,0,0,0.0185710056880348,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.385889159085432,0.0305829895559677,0,0,0.358026663950801,0,0,0,0,0,0.0987853980060066,0,0,0,0,0,0.0533894577921224,0,0,0,0,0,0,0,0,0,0,0,0.0193584274697783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345067404020603,0,0,0
X601988.CH.EQUITY,0,0,0,0.281366331350826,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.139233049046072,0,0.184164168291361,0,0,0,0,0,0,0,0,0,0.0261232356257778,0,0,0.0632905189757327,0,0,0,0,0,0,0,0,0,0,0,0.124684476171859,0,0.157177273288982,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301911378216859,0,0,0.0829031186643664,0,0,0,-1.73472347597681e-18,0.346548843269178,0,0,0.643224247521231,0,0.110802679518696,-0.530916894614547,0,0.0223963333410612,0,0.0649430366094083,0,0,0,0,0,0,0,0,0,0.108075867286942,0,0,0,0,0,0,0,0,0,-0.179304434231762,-0.0272222524273204
X600036.CH.EQUITY,0,0,0.0260764179684735,0,0,0.0511871377433464,0,0,0,0,0,0.368481268175082,0,0,0,0,0,0,0,0,0.0254399131639075,0,0,0,0,0,0.107222767392713,0,0,0,-1.73472347597681e-18,0,0,0,5.42101086242752e-20,0.147711739142606,0,0,0,0,0.0742016667835455,0,0,0,0,0,0,0,0,0.230631682375575,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.177275267375617,0.157917556817571,0,0,0,0,0,0,0,0,0.0307747750936551,0.147977792160059,0,0,0,0.173048307710604,0.252670469797676,0,0,0,0.114175099276387,0,0,0,0,0.0116883124458937,0,-3.46944695195361e-18,0,0,0,0,0,0.110142242966785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.154691111338705,0.0386894298864199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655281641886859,0,0,0,0,0.382728967509811,0.0172604536034851,0,0,0,0,0,0,0.149065115790887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205127062931298,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248996110795448,0,-0.0601068262127752,-0.0482866483874903,0,0,0,0,0,0,0,0,0,0,0,0,0.0737779090908212,0,0,0,0,0,0,0,0,-0.528815339058311,0.368013461704408,0,-0.0412934750862344,-0.0582147425450535,0,1.16142854247309,0,0,0,0,0,0,0,-0.0381500720550544
X601328.CH.EQUITY,0,0,0,0.349246272936973,0,0,0,0,0,0,0,0,0.302430437035845,0,0,0.025586682608859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941415564622923,0,0,0.0958273933405067,0,0,0,0,0.061927552608879,0,0.124218871205944,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0797558323909952,0,0,0.129809575107507,0,0,0,0,0,0,0,0,0,0,0.132721715745176,0,-1.38777878078145e-17,0.0031799921890559,0,0,0,0,0,0,0,0.322716095767886,0,0,0,0,0,0.0421611211168434,0,0,0,0,0,0,0,0,0.264312731221751,0,0,0,0,0,0.0210818854373969,0,0,0
X600000.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0497716122022401,0,0,0,0,0,0,0,0,0,0,0.483674572265326,0,0,0,0,0.0387550234548746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280196200186312,0.244428054358312,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.118318682990726,0,0,0,-0.00958965322633109,0.0154548945355893,0,0,0,0,0,0,0,0,0,0,-0.152339643741403,0.0028331434666528,0,0,0,0,0.00279099377025238,0.0532981816753232,3.46944695195361e-18,0.496685017000451,0,0,0,0,0,0,0.116936466500001,0,0.291628999734024,0,0,0,0,0,0,0,-0.114180000017254,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0.0321080363007525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102878036493915,0,0.238937851034277,0,0,0,0,0,0.0155336607904934,0.017799115042904,0,0.0669307573795789,0,0,0.246621813153348,0,0.122180101425331,0.0640349626253929,0,0,0,0
X16.HK.EQUITY,0,0.0540005827720717,0,0,0.118562338103173,0,0,0,0.0441644717089032,-0.0622714542230619,0,0,0,0,0,0,0.0611070948011036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24594199632544,-0.0122295788655556,0,0,0.544856231225571,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189313984457065,0
X388.HK.EQUITY,0,0,0.135911680053364,0,0,0,0,0.258445332926953,0,0,0,0,0,0.0376630309556748,0,0,0,0.0778476093492503,0,0,0,0,0,0,0,0,0.0578461912314605,0,0,0,0,0,0,0,0,0.00671109300447535,0,0,0.154337861454082,0,0,0,0,0,0,0,0,0,0,0.141763219292,0,0,0
X000001.CH.EQUITY,0,0,0.0762893729538074,0,0.012722519500237,0,0,0,0.0509449667924072,0,0,0.231055394268322,0,0,0,0,0,0,0.0663176346800939,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0.0309782723765705,0,0,0,0,0.137615184142588,0,0,0.158827716504119,0.0863351489079316,0,0.112865020927168,0,0,0,0,0.0192249308611907,0,0,0,0,0,0
