,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X300059.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.238420082191412,0,0,0,0.342684824911281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263300616697764,0,0,0.0170095066555306,0,3.46944695195361e-18,0,0.0119175856244755,0.0790233360636571,0,0.0778353214641974,0,0,0,0,0,0,0,0,0,0,0,0,0.0107865329191949,-0.0922741146415095,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.192272730394043,0,0,0,0,0.0733373417712495,0,0,0,0.0872682247265625,0,0.0282994992845371,0,0,0,0.0594301435739096,0.165160871712461,0,0.0993855242285225,0,0,0,0,0,0.185297406437352,0,0,0,0.0650097502249981,0,0,0,0,0,0,0,0,0,0,0,0.0038418943898534,0,-0.0582172773444326,0,0.0277182456751495,0,0,0,0,0,-0.0656473200620953
X600036.CH.EQUITY,0,0.0338917761104606,0,0,0,0.173575398135443,0,0,0,0,0,0,0.0817837565828739,0,0,0,0.148019896431575,0,0.000931194284412471,0,0,0,0,0,0,0.440228175479662,0,0,0.0954216146908062,0,0,0,0,0,0,0,0,0,-0.153810123591174,0,0,0,-0.0220989020483014,0,0,0,0,0,0,0,-0.0204554339512919,0,0,-0.0949465589388869
X601939.CH.EQUITY,0.525701844679898,0.10952614829358,0,0,0,0,0,0,0.129887257871892,0,0.199396010019238,0,0,0,0,0,0,0.147279329202269,0,0,0,0,0,0,0,0,0,0,0.161628190453138,0,0,0,0.0152834527548584,0,0,0,0.00285177397451353,0,0.080546876346406,0,0,-0.109341542559695,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0181986405515187,0,0.139706784409953,0,0,0,0.564844786130733,0,-0.0377032087370702,0,0,0,0,0,0,0,0,0,0,0,0,0.0776059235427345,0,0,0,0,0,0.0634445194622791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373379881181933,0,0,-0.0104048713637291,0,0.0598826074747525
X1299.HK.EQUITY,0,0,0,0,-0.050500941458272,0,0,-0.0715086588711554,0,0.141618559182328,0,0,0,0,0,0.0342725816273959,0,0,0,0,0,0,0.135925069718225,0,0,0,0,0,0,0,0,0,0.0749042651347434,0,0.0122152156022516,0,0,0,0,0.183873706843152,0,0.145515962475259,0.0932362807035882,0,0,0,0,0.0165601754579278,0.298128424415627,0,-0.111771135750707,0,0,0
X601628.CH.EQUITY,0,0,-0.0640474007367342,0,0,0,0,0,0,0.196346397638626,0,0,0,0,0.0123350405485511,0.0982371235376833,-0.0112951705698499,0,0,0,-0.0627786508793665,0,0.147908117436322,-0.0583568253926445,0,0,0,0,0,-0.0264350479815607,0,0,0,0,0,0,0,0.36964463933687,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0350131060742208,0,0
X601988.CH.EQUITY,0.104527475675196,0,0,0,0.410388888497185,0,0,0,0,0,0,0.0769593523710259,-0.0165793098314248,0,0,0,0,0.150794914618113,0,0,0,0,0,0,0.0386364221317402,0,0,0,0,0,0,0,-0.131030533288041,0,0,0,0,0,0,0,0,0.120238968750175,0,0.151580498803526,0,-0.0295380084112045,0,0,0,0,0,0,-0.062498080130575,0
X5.HK.EQUITY,0,0.156535973924464,0,0.041630495873721,0,0,0,0,0,-0.0949648753369461,0.0596968950576766,0.0691820013572178,0,0,0,0,0,0,0,0,0,0,0.108986626872779,0,0,0,0.175429410594231,0,0,0.0853319617570599,0,0,0.0209196953182222,0,0,0,0,0,0.301416451734121,0,0,0,0,0,0,0,0.0401778973112395,0,0,0,0,0,-0.120018862571287,0
X388.HK.EQUITY,0,0,-0.0803834872392943,0,0,0,-0.0953099065361055,0,-0.0720082099985629,0,0,0,0,0,0,0,0,0,0,0,-0.0133781201200962,0,0,0,0,0,0,0,0,0,0,0,-0.200150637670841,0,0,0,0,0.0936278522318547,0,0,0,0,0,0.464605029037401,0.0508682569521873,0,0,0,0.123306163541712,0,0.134248502309879,0,0,0
X601166.CH.EQUITY,0,0,0,0.143824933939319,0,0,0,0,0,-0.172562729601591,0,0,0.536787864674802,0,0,0,0,0,0,0,-0.0650636140322971,0,0,0,0,0,0,-0.0156243496966529,0.0946521226183956,0,0.0852325192961585,0.0702369485973054,0,0,0,0,0,0.00658385772708353,0,0,0,0,0,0,0,0,0.0784692305540023,0,0,0,-0.0204852770097179,0,0,0
