,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.140266894062249,0,0,0,0,0,0,-0.00191250087333581,0,0,0,0,0,0,0,0,0,0,-0.0198153575026665,0,0.0178687436840237,0.348669734355685,-0.180735979283512,0.42807669322755,0.248172359272294,0,0,-0.091854145067289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024902961618458
X601318.CH.EQUITY,0,0,0,0,0,0.267179097374606,0,0,0,-0.0809108554255997,0,0,0,0.0160974119143161,0,0,0,0.0342231898612796,0,0,0,0,0,0,0,0,0,0,0,0.0504986244475858,0.174616251030328,0,0,0,0,0.235566864219595,0,0.0792396033749199,0,0,0,0,0,0,0,0,0,0,0,0,0.0434470699375408
X601939.CH.EQUITY,0,0.0400848581378416,0,0.809374022727704,0,0,0.00504886238646786,0,0,0.0357952641646777,0,0.011883646181165,-0.0572281450004989,2.16840434497101e-19,0,0,0,0.0999549832160442,0,0,0,0.007776792614875,0,0,0,0,0,0.0263692178824116,0,0,0.0245197618534227,0,0,0,0,0,0,0.0821342274315218,0,0.021914077984806,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.942820824081829,0,-0.0962067356307457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0699254765796998,0,0.0360815958505709,0,0,0,0,0,0,0.0522051451733624,0,0,-0.0341178289300311,0.0123955103450704,0,0,0,0.0282527938767154,0,0,0,-1.73472347597681e-18,0,-0.0964257725750037,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.00940959122257619,0,0,0,0,0,0,0,0,0.295202666692896,0.203994964209234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0880368785214269,0,0,0,0,0,0,0,0,0,0.537468270128618,0,0,0,0,0,0,0,0,0.136603235788324,0.193101147783334,0,0,0.0866124677178219
X600036.CH.EQUITY,0,0,0,0.328967187456513,0,0,0.00603452707380222,0,0.0377551212837378,0,0,0,0,0,0,0,0.171871108400464,0.0118839122043954,0,0.0251220932979806,0,0,3.46944695195361e-18,0,0,0,0.170212927881943,0.0374836124219708,0,0,0.113104833885136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405843936522914,0,0,0,0,0.0416418582680148,0
X601988.CH.EQUITY,0,0,0,0.033496609678586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00346993054489221,0,0,0,0,0,0,0.034028786451523,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387213898821292,0,0,0,-0.0833127013669764,0.0249005571452697,0,1.01004337243341,0,0
X1299.HK.EQUITY,0,0,0,0,0.0672923057106557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372292122480926,0,0,0,0,0,0,0,0,0,0.0980572252418153,0.263468051685774,0,0,0.00258534649294605,0,0,0,0,0,0.0489517044683846,0,0,0,0,0.0943605267431873,0,0,0.0781805024217088
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0170602901356944,0,0,0,0,0,2.16840434497101e-19,0,0,-0.325023504492382,0,0,0,0,0,0,0,0,0.0806663996809731,0.517085016143761,0,0.0149698454136586,0,0,0,0,0,0,-0.0355861376700393,0.115512259741218,0,0,-0.158000624657259,0,0.0486771140117284,0.171604703186944,0,0,-0.185066800934043,0,0.109158405402908,0
X388.HK.EQUITY,0,0,0,0,0.143275724369271,0,0,0.148159647921495,0,0,0,0,0,0,0,0,-0.0528599007092151,0,0,0,-6.93889390390723e-18,0,0.347301111476863,0,0.224618557086379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334844324969555,0,0,-0.244795314612106,0.2727605709374
X600030.CH.EQUITY,0,0,0,0,0.0404979529664651,0,0,-0.111424317067765,0,0.087938043791086,0,0,0.200652065358185,0,0,0,0,0,0,0,0,0,0,0,0.057007032611527,0,0,0,0,0,0,0,0.183596485301249,-0.0247602377058557,0,0.176138387507312,0,0,0,0.193203359610942,0.0428286375132248,0,0,0.115071062306678,0,0,0,0.0616664692732408,0,0,0.00926624436141303
X601658.CH.Equity,0,0.156461014253152,0.237580455502122,0.0119598057668958,0,0,0,0,0,-0.0191392331899429,0,0,0,0,0,0,0,0,0.107124874128446,0,-0.228628435122395,0,-0.0857517381019314,0,0,0,0,0,-0.0133173857283601,0.00568775795240265,0,0,0,0,0,0,0,0,-0.0475808334383249,0,0,0,0.81420666909645,0,0,0,-0.222382216999032,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,-0.103820592968434,0,0,0.0754618467962449,0,0,0.809442223482014,0,0,0,0,0.0187229837370233,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0326319511127124,0,-0.0104142721751058,0,0,0.0248512379732406,0,0,0,0,0.0829726034446863,0,0,0.0568233033803252,0,0,0,0,0,0,-0.00266409718439421,0
X601166.CH.EQUITY,0,0,0,0,0,0.100738487220103,0.221423853853512,0.0355452608061303,0,0,0,0.0441253993880097,0,0,0,0,0.0400519990904885,0,0,0,0,0.0716559501162798,0,0,0,0,0,0,0,0,0,0.126185498847863,0,0,0.00878466645355684,0,0,0.042818377909982,0.00772708794395882,0,0,0,0,0,0,0,0,-0.0295765785984938,0.401596173814447,0,0
