,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,8.67361737988404e-19,0.420431704397803,0,0,0,0.110656531588324,0,0,0.129813514199251,0.0364791445508328,0,0.185411160601561,0,-0.0340542415572413,0,0.0837677191033277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296571768529126,0,0,0,-0.0291288063887273,0,0,0,0,0,0,0,0.026057713685016,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0400031714719994,0.318047885985751,0,0,0,0,0,0,0,0.288867664599425,0,0.0787994864726766,0,0.0654922530116646,0,0,0,0,0.119113050806561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462898031331089,0,0.00990444468368278,0,0,0,0.0348535796794826,0,0,-2.71050543121376e-20,0
X601939.CH.EQUITY,0.166685257612371,0,0,0.492388027555138,0,0.0808476998345337,0,0,0,0,0.0165088351916758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685249507883044,0,-0.0233561188833256,0,0,0.0792703478268582,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.0245300215155311,0,0.0156764648583671
X601288.CH.EQUITY,0,0,0.223006559845247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214280371105076,0,0,0.149348813896979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237568480372709,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0638247786831889,0,0,0.225715304495944,0,0.238343164508695,0,0,0,0,0,0.157543201901043,0,0,-0.0207894387720551,0,0.204080442927699,0,-0.278415025233282,0,0,0,0,0.0352762057445177,0,0,-0.0548656167165101,0,0,-0.0218139667771235,0,0.180876591159591,0,0,0,0,0,0.168140825997956,0,0,0,0,0,0,0,0.177772040138538,0,0
X601988.CH.EQUITY,0,0,0,0,0.213607325536396,0,0,0.211236385081123,0.00689771002746627,0.281180465530131,0,0.118774749138649,0,0,0,0,0,0,0,0,0,0,0,0,0.0656826222092317,3.46944695195361e-18,0,0,0,-0.179053937399018,0,0,0,0,0,0,0,0,0,0,0,0.0842417954503506,0,0,0,0,0,-0.0710076543750177,0.0778225746127711,0.0784215990194715
X600036.CH.EQUITY,0,0.101937761317491,0,0,0,0,0,0,0,0,0,0,-0.0847900920409451,0,0,0,0,0.00105458761908487,-0.0263064033825745,0,0,0,0,0,0.787311299399571,0,0,0.0131096623568339,0,0,0.115851224586382,0,0,0,0,0,0,0,0,0,0,0,0.0772686493605764,-0.0329352894639135,0.0918236571699321,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.275981401109295,0,0,0,0,0,0,0,0.0514503861641064,0,0,0,0,0.0839049527532451,0,0,0,0,0,0,0,0,0.0727555193362539,0,0.225969890247765,0,0,0.266974657098912,0,0.00993701319801493,0,0,0,0,0,0,0,0,0,0,-0.0729940077929775,0.0220990719506877,0,0,0,0
X601628.CH.EQUITY,0,0.0902272788990242,0,0.0946991634789548,0,0,0,0,0,0,0,0,0,0,0,0,0.0803442746988919,0,0,0,0,0,0,0,0.153330465337822,0,0,0,0,0,0,0,0,0,0,0,0.10496449994234,0.33853459370205,0,0,0.0760103763559629,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.163979075017691,0,0.24593074504294,0.0548580469657048,0,0,0,0,0,0,0,0,0,0.390105282233043,0,0,0,0,0,0,0,0.0627400604550346,0.01627301892999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106501089903692,4.33680868994202e-19,0,0.200362802131753,0,0,0,0,0.047826925532536,0,0
X601166.CH.EQUITY,0,0,0.345010068112309,0,0,0,0.130456244249729,0,0,0,0,0,0,0.227141215845325,0,0.0445316181358427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756810198109265,0.0167248935320951,0,0,0,0,0,0,0,0,0.00932081892964164,0,0,0,0,0,0,0,0.0182984086087608
X601319.CH.EQUITY,0,0,0,0.216760814278414,0,0.0061909077895181,0.230383397174513,-0.569484690826892,0,0,0,0,0,0.0777010299579155,0,0,0,0,0,0.110890351660636,0,0,0,0.0998399838915555,0,0.166595278475003,0,0,0,0,0.0385139916319531,0,0,0,0.34343701801042,0,0.497351188637922,0,0,0,0,0,-0.436864675781452,0,-0.0638575145315346,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.141140801349746,0.164053738979908,0,-0.101717414523414,0,0,0,0,0,0,0,0,0.0939902956595389,0,0.0102596055382971,0.121459193817028,0,0,0,0,0.131310447145998,0.115287761178114,0,-0.196123078041225,0,0.459636025515635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181725581295801,0,0.249890220741472,0,0.112771447407064,0,0
X600000.CH.EQUITY,0,0,0.108653369204591,0,0.22760463775692,0,0,0,0,0,0.320374822722919,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0193096530477018,0,0,0,0,0,0,0,0.26437727303042,0,0,0,0,0,-0.103415130616537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.344634979994742,0,0,0,0,0,0,0,0,-0.146145106840546,0,0.0381895655116297,0,0.26892668674354,0.206824189691856,0,0.200221273196618,0.580552618886977,0,0,0.0282829466465732,0,0,0,0,0,0,0,0,0.107929392538916,0,-0.0285821694461656,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.0236495857611015,0,0,0,0,0,-0.0124106911515906,0,0,0,0,0,0,0,0,0,0.0601439339573427,0,0,0,0,0.0700165999659819,0,0,0,0.65830622068644,0.0996746729085747,0,0,0.0830536580998871,0,0,-0.0446674052237494,0,0,0,0,0.0650893766408392,0,0.0131185095759195,0,3.46944695195361e-18,0.0801053563614179
X601601.CH.EQUITY,0.0617022248779814,0.10198224264577,0,0,0,0,0.0490543676015124,0,0.145595459959196,0,0.0789473184588071,0,0.0516685304849336,0,0,0,0,0,0,0,0,0,0,0,0.0143546269170689,0,0,0,0,0,0,0,0,0,0,0,0,0.307231754478835,0,0,0,0,0,0,0,0,0,0,0,0.0143488424158539
X388.HK.EQUITY,0,0,0,0,0,0,0,0.366394366828218,0.240947699376676,0,0,-1.0842021724855e-19,0,0.293214224069172,0,0,0,0,0.168732970347012,0,0,0,0,0,0,0,0.0733738539342672,0,0,0.0775028148359677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,-0.348234229901428,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.0955612921188416,0,0,0.680467779867675,0,0.0145309157117365,0,0,0,0,0,0.396416198782148,0,0,-0.165520455086259,-0.200238211448975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102775209484732,0.152811655381515,0,0,0.0310418440021252,0
X267.HK.EQUITY,0,0,0,0,0.0445372943363234,0,0,0,0,0,0,0,0,0,0,0,-0.505773009062609,0,0,0,0,0,0,0,0,0,-0.0191886831499175,0,0,0.176681371896166,0,0,0,0.158793852815716,0.260199005176807,0,0,0,0,0.311472056778645,0.221627682445066,-1.38777878078145e-17,0,0,-0.318006117866402,0.331573054214827,-0.0154894099706358,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805008593230571,0,0,0,0,0,0,0.337827813057354,0,0.103636815874981,0,-0.195353955108104,0,0.104192349743761,0,0,0,0,0,0,0,0,0.184157470927337,0,0,-0.199739558407402,0.0941922188434326,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.094874915998848,0,0,0,0,0,0.173939372328542,0.124182893546982,0,0,0.0220910829436671,0,0,0.0808491927539566,0,0,0,0,0,0,0,0,0,0,0.121712031642323,0,0,0,0,0,0,0,0,0,0,0,0.198179447545711,0,0.0402474877114327,0.143742855946984,0,0,0,0,0,0,-0.0289507518424654
