,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,-0.112998668365373,0,0,0,0,0,0,0,0.141840774795184,-0.0321922173352445,0,0,0,0,0,0,0,0,0,-0.258145441061988,0,0,0,0,0,0,0,-0.161351928417797,0,0,0,-0.281049838172878,0,0,0,0,0.755996880848037,-0.0220977947212272,0.39616104845099,0,0,0,0,0,0,-0.0160054657457527,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.00772012237766198,0,0.0829533183612983,0.0237110834496117,0,0.0259139723169433,0,0.0586600866973915,0,0,0,0,0,0,0,0,0,0,0.231784088440671,0,0,0,0,0,0,0,0,0,0,0,0,0.287330599250497,0,0,0,0,0.222540285321146,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.410332552715012,-0.0839789141077602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295238873989356,0,0,0,0,0,0,0,0,0,0,0,0,0.0861399422992091,0,0,0,-0.236925271599178,-0.139014253068725,0,0,0.52660730547977,0,0,0,-0.0261261863738694,0.128554208954694,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.0234921077068209,0,-0.126154987427733,0.14523376409021,0,0.562790851446002,0,0,0,0,0.0731393575818503,-0.168454178693053,0,0,0,-0.0635743560052607,0,0,0,0,0,-0.00411012621645159,0,0,-0.782400390344108,0,0,0,0,0,0,0,0,0,0,0,0.362209964716539,0,0,0,0.175649919272013,0,0,0,0
X5.HK.EQUITY,-0.152860201788715,-0.161520364686183,0,0,0,0,0,0,0,0,0,0,0,0,0.34735195884195,0,0,0,0,0.282341320964268,0.0595332189994244,0,0.390001900547096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114571335754472,0,0.198895959631036,0,0,-0.0180165346819515,0,0,0,0
X601988.CH.EQUITY,0.093863384331156,0,0.0080101988783091,0.34976713356834,0.0788072413523615,0,0,0,0,0,0.189377111159803,0,0,0,0,0,0.136092400713068,0.129348449502514,0,0,0,0.0250586890610931,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,-0.105866165923477,0,0,0,0.160489341026894,0,0,0,0,0.156460581998201,0.136845692141469,0,0,0,0,0
X600036.CH.EQUITY,0,0.115211379624631,0,0,0,0,0,0,-0.24343683791882,0.527196743090679,0,0,0.274691429226975,0,0,0,0,0,0,0,0.084213592465699,0,0,0,0,0.0813557289142807,0,0.0532107040282134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158449959498139,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.111136536709424,0.00375027359184927,0,0.0501891027358381,0,0,0,0.124625063866671,0,-0.0367711012936575,0,0,0.0714600797143237,0,0.236276925742119,0,0,0,0,0,0,0,0,0,0.0318557456487892,-0.00941913751983424,0,0,0,0,0,0.27869328114063,0,0,0,0,0,0,-0.0833002394364625,0,0,0,0,0,0.0373144450336054,0,0,0,0
X601628.CH.EQUITY,0,0.012086862293559,0.0128729622086936,0.0466385175030643,0,0,0,0,0,0,0,0,0,0.333069379142758,0,0,0,0,0,0,0,0,0,0.0859260409994132,0,0,0,0,0,0,0,-0.0457655070588926,0,0,0,0,0.0452949103809152,0.267238596419665,0,0,0,0,0,0,0,0,0.119436307234571,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.627436563763389,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.288722732473428,0,0,0,0,0.0466228036361632,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0556488561085653,0,0,0,0,0.0299024241095122,0,-0.0468223946357452,0,0,0
