,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.313503420665132,0.209235772352715,0,0.110928085562875,0,-0.142442392281626,0,0,0.0748489977171729,0,0.0420686375363957,0,0,-0.05977105947848,0,0.0480044178085315,0,0,0,0.133972612078019,0,0,0,0,0.05206682468148,0,-0.138134946195298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00296678470080682,0,-0.043931377023456,0,0.0703224371256741
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.192188609513086,0,0,0,0.28838611967492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677386186128083,0,0,0,0,0,0,-0.248908135803082,0.276883208256957,0,0.179452239719245,0,0,0,0,0,0.0595782863669592,0,0
X601939.CH.EQUITY,0.427795644070292,0,0,0.0876599370244599,0.104321704100856,0,0,0,0,0,0,0,0.143052322224416,0,0,0,0,0,0,0,0.136043296105879,0,0,0.0278384530761806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315634055226947,0,0,0,0.0299590687228923,0,0,-0.154471367412132,0,0,0,0
X601288.CH.EQUITY,0.450497703342717,0.0389687219241565,0.183438566208148,0,0.047502317812036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15509765387967,-0.039097882335293,0,0,0.190477538071127,0.0865100767895928,0,0,0.120685806145135,0.0114595186920572,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.282705613252824,0,0.0809116931220968,0,0,0,0,-0.280960101107116,0,0.25544437212756,0,0,0,0,0,0,0.0941823832191237,0,0.0428074217987615,0,0,0,0.522167740139507,0,-0.00115013751847137,0,-0.0392124813392732,0,0,0,0,0,0,0,0,0,0,0,0,0.0792023022502144,0,0,0,0,0,0,0,0,-0.320580701638105
X601988.CH.EQUITY,0.0917238938658678,0,0.0753518983025408,0.254339375224721,0,0,0,0.130680339994642,0,0.105249678354325,0.264265215735022,0,0,0,-0.360240702920155,0,0,0,0,0,0,0,0,0.0576909070583494,0,0,0,0.0159932406638974,0,0,0,-0.00839896905450015,0,0,0,0,0,0,0,0,0.025784870382966,0,0,0,0.0700972977359442,0.00204677211493388,0,0,0,0
X600036.CH.EQUITY,-0.0205238809029919,0.330468322260305,0,0,0,0,0,-0.0258090600761942,0,0,0,0,0.186785396694063,0,0,0,0,0,0.0918607131235648,0,1.73472347597681e-18,0,0,0.271810163250622,0,0,0,-0.0100501221994602,0,-0.0239198769436259,0,0.262969386093624,0,0,0,0,0.0162090630590817,0,0,0,0.0690630206654197,0,0,0,0,0,0,0,0,-0.0123835594975892
X601628.CH.EQUITY,0,-1.73472347597681e-18,0,0.332541964559357,0,0,0,0,0,0,0,0,0,0.215886066556435,0,3.46944695195361e-18,0,0,0,0,-8.67361737988404e-19,0,0.0570039387730776,0,0,0,0,0.0860041068545798,0,0,0,0,0,0,0,0,0,0,0,0,0.164878585255488,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341871279323397,0,0,0,0,0,0.169949924985739,0,0.137383329239992,0,0.166279430482459,0,0,0,0,0.0206706411021231,0.385159807520831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530110514488275,0,0,0,0
X601166.CH.EQUITY,0,0.00616376423289728,0,0,0,0.147877147497789,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.254072731724598,0,0,0,0,0,0,0,0,0,-0.0165634083698443,0,0.0421517786849621,0,0,0,0.509536421101194,0,0.176672893568949,-0.0684451813189957,0,0,0,0,0.19547369510413,0,-0.100548900021965,0,0,0,0,-0.00931834445300997,0,0,0
X601328.CH.EQUITY,0,0,0.0102880132638126,0,0.0661198412528412,0.129325371790776,0,0,0,0,0,0.249819365784426,0,0.104947898591961,0,0,0,0,0,0.170636193495906,-0.171751548741287,0.139979342891269,0.0792250425871356,0,0,0,0,0,0,0,0,0.00943893707546463,0,0,0,0,0,0,0,0,0,0.193119143152985,0,0,0,-0.00809087775895559,0,0,0,0
X600000.CH.EQUITY,0,0.0742888513467779,0,0,0,0.0168217216909831,0.274531651587097,0,0,0,0.246357801824594,0,0.153618052624265,0,0,-0.106237498972849,0,0,-0.0906335073410798,0,0,0.0937854867769582,0,0,0,0,0.0940308810762075,0,-8.67361737988404e-19,0.029555216621525,0,0,0,0,0,0,0,0,0,0,0,0.117343506250352,0,0,0,0.0300088233008269,0,0.0503559927373564,0,0
X000001.CH.EQUITY,0,0,0.0323550923439759,0,0,0,0,0,0,0,0,0,0,0,-0.00356050166760691,0,0,0,0,0,0,0,0,0,0,0.12765752961726,0,0,0,0,0,0.151043860367966,-0.287363275944101,0,0.269134787501734,-0.00384423181624178,0,0,0.0433352062695656,0,-0.095824476026122,0,0,0,0,0,0,0.334014573496475,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.0708122533653592,0,0,0.104340655758984,0,0,0,0,0,0,0,0,0,-0.0196148307419132,0,0,0,0.253191334245302,0.0121798240562757,0.0109791970633147,0,0,0,0.15721550947804,0,0,0.234707106885498,0.113137789272585,0,0,-4.33680868994202e-19,0,0,-0.00354593265823978,0,0,0,0,0,0,0,0,-0.102532196726254
X000002.CH.EQUITY,0,-0.0723879285482464,0,0,0,-0.0884633966650032,0,0,-0.110297991735515,0,0,0,0,-0.0204204588545966,0,0,0,0,0,0.337462937156762,0,0,-0.0303805006282187,0,0,0,0,0,0,0.156208100209612,0,0,-0.217839419825841,0.226253069348818,0,0,0,0,0,0.12291144446147,0,0,0,0,3.46944695195361e-18,0,0,0.277690540347547,0,-0.0879140184975827
X601601.CH.EQUITY,0,0,0,-0.0936990264252677,0,0,0,0.11810894944427,0,0.120389105941228,0,0,0.184183114158319,0.13212100296639,0,0,0,0,0.359955858554178,0,0.0413397863799663,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225703691581334,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0.0233733733477521,0,0,0.106391759260031,0,0,0,0,0.0724504533783086,-0.0505534657913048,0,0,0,0,0,0,0,0.0997113274371984,0.15335555544959,0,0,0,0.06742158705955,0.210721327672341,0,0,0,0,0.00865793528287555,0,0.163044842774918,-0.0454857721763705,0,0,0,0,0,0,0,0,0,0,0,0.259996219656163,0,0,0,0,0,0
X11.HK.EQUITY,0.330600589196374,0,0,0,0,0,0,0,0.200747166246864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265804759246319,0,0,-0.177851094508002,0,0,-0.103857493328409,0,-6.93889390390723e-18,0,-0.0802096732261069,0,0,0,0,-0.0514016270338581,0,0,0,0,0,0,-0.0145754144460167,0,0,0,0
X388.HK.EQUITY,0,1.38777878078145e-17,0,0,0,0,0.00194251309082,0,0.320656066506927,0,0,0,0,-0.0917800277938623,0,0,0.0125548656162319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169134024684332,0,0,-0.0558272520003215,0,0,0,-0.283276757430228,0,0,0,0.101335827842365,0,0.382969693803497,0,-0.0973037341154031,0,0,0,0.0265238505421168
X601998.CH.EQUITY,0.151053278054525,0,0,0,0.0175541725738797,0,0,-0.0963698649707403,0,0,0.118370399305348,0,0,0,0.062667785068498,0,0,0,0,0,0,0,0.0122170975425535,0,0,0,0.0863895250982171,0,0,0.0491394607071981,0.114907848694322,0,0,0,0.059600397334608,0,0,0,0,3.46944695195361e-18,0.0971087781507402,0.179524484393935,0.0368003589838887,0,0,0,-0.102832148457685,0,0,0.0152869066057538
X267.HK.EQUITY,0,-0.0161104169847105,0.0139214964647782,0,0,0,0.0858639278233637,0.0154052048695429,0.174421545425016,0,0,0,0,0,-0.181800990343358,-1.0842021724855e-19,0.181459170679217,0.25090110174595,0,0.282437623333015,0,0,0,0.163688262282038,0,0,0,0,0,0,0,0.0186761119058662,0.0617662084357139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.0479656427645289,0,0,0,0,0,0,0,0,0.250790888812769,0.122160867973885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509828233885367,0,0,0,0.0814831015374335,0,0.0554855297253842,0,0,0.270537828961152,0,0.0731956561098644,0,0,0,0,0
