,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.27881059366318,0.0248039497113888,0.0472248223295843,0,-0.0190442567476259,0.263503419324864,0,0,0.00226055035978965,0.0807689408190132,0,0,0,0,0,0,0,0,0,0,0,-0.0427312974904417,0.183778239568244,0,0,0,0.0536909044193179,-3.46944695195361e-18,0,0.0273935866770554,0,0,0,0.0297082867394496,0,0.113595286023593,0,0,0,0,0,0,0,0,0,0,-0.0239064814751959,0,0
X601318.CH.EQUITY,0,0,0.252570301636165,0,0,0,0,0,0.067581846872812,0,0.0648881309525167,0,0.00852057219545905,0,0.209605758192133,0,0,0,0,0,0,0.0826015607047172,0,0,0,0,0,0.129974221208628,0,0,0,0,0,0,0.00914719984437672,0,0,0,0,0,0,0,0,0,0.106143198146517,0,0,0.0356202516177673,0,0,0
X601939.CH.EQUITY,0.39717645188376,0.000389971447048145,0,0,0,0,0,0.340015141946313,0.218534643730723,0,0,0,0,0,0,0,0.0666872637879006,0,0,-0.000750484331174725,0,0,0,0,0,0,0,0.343847005326108,0,-0.0411731688424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0561439461382371
X601288.CH.EQUITY,0,0,0.135884279293484,0,0,0,0,0.512964198115904,0,-0.0524370429003566,0,0.0142337878166764,0,0,0,0,0,0,0,0,0,0,0.142470594846641,0,0.00879538361710035,0,0,0.145427921652701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176436456063557,0
X600036.CH.EQUITY,0,0.00129762378615371,0,0,0,0.185728382905009,0,0,0.0643826005965722,-0.114936483948918,0,-0.0876774550452604,0.13595760156115,0,0,0.129298015446561,0,0.188394909143235,0,0,0,0,0,0,0,0.434365663968368,0,0.0464816112497468,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0701357814320313,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-0.0863283956933771,0,0,0,0,0,0.185262735141035,0,-0.0530098216280398,0,0,0,0,0,0,0,0,0.0597869652382041,0,0.147897047545362,0,0,0,0,0,0,0,0,0,0,0,0,0.0995451285627679,0,0.14750643057693,0,6.93889390390723e-18,0.134808652382162,0.108963664445448,0.0520666852096803,0,0,0,0,0,0.209368403150538,0,0
X601628.CH.EQUITY,0.077829872669234,0,0,0,-0.0032484346909704,4.33680868994202e-19,0,0,0,0,0,0,-0.0025812219691231,0,0,-0.178806878506015,0,0,0,0.26278472357071,0,0,0,0,0,0,-0.110477652050622,0,0,0,0,0,0,0,0,0,0.610793751382115,0.0519127783119865,0,0,0,0,0,0,0,0,0,0,0,0,-0.0594153300633099
X601988.CH.EQUITY,0,0,0.0748725787193412,0.44177223352792,0,0,0,0,-0.0916801954479766,0,0,0,0,0,0,0,0.280057560117475,0,0,0,0,0,0,0,0.0835221919058042,0,0.0452517341941327,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.00191583279187744,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.221006570293856,0.13420350535277,0,0,0,0,0,0,-0.0636106524046093,0,0,0,0,0,0,0,0,0,-0.0594883900143821,0,0,0.430080920457203,0.159488086190646,0,-0.0396824196274856,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.000286711996633753,0,0,0.113689795903889,0,0,0,0,0.20820179356416,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.290032654355222,0.262591717190282,-0.030668570653838,0,0,0,0,0,0,0,0,0,0,0,0.272551962038269,0.314794877468155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08410976316928,0,0,0.114043907925512,0,0,0,0,0,0,0.042831013439854,0,0,0,0,0
