,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.115542971770132,0,0.626262710187666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113256320894103,0,-0.0101809113454323,0,0.014392652857171,0,0,0,0,0,0,0.0767074710359195,-0.0224214192277344,-0.0040832211689339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138812414144236,0,0,0,0,0,0.473505712413736,0,0,0,0,0,0,0,0,0,0,0,0.0354847035164617,0,0,0,0.000319169265470579,0,0.0874561286627398,0,0,0,0,0,0.0690968825911118,0,0,0,0,0.00387672837680097,0,-0.112496171244796
X601939.CH.EQUITY,0,0,0,0,0.322456151663143,0,0.000411092245817658,0,0,0.113554128163934,0.181344386082684,0,0,0.0710224193905418,-0.044555135804427,0.184369444453447,0,0,0.0700205802959944,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.15387177180029,0,0,0,0,0,0,0,0,0,0,0,0.0531715289527097
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0186970576654148,0,0,0.252983369864324,0,0,0,0,0.165639747669315,0,0,0,0.23247096466368,0,0,0,0,0,0,0,0,0,0.0247749690517991,0,0,0,0.192822456642684,0,-3.46944695195361e-18,0,0,0,0,0,0.0862783056617275,0,0,0.104486263667103,0,0,0,0
X601288.CH.EQUITY,0.44370544346009,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0415634374830079,0,0,0.0789208829666821,0,0,0.0236165552705989,0,0,0,0,0,0,0,0,0.0967370800851843,0,0,0,-0.0501900297110992,0,0,0,0.0121717234173642,0,0,0,8.67361737988404e-19,0.0452699015865655,-0.0675052742556869,0,0,0,0,0,0,0.308024938822074,0
X600036.CH.EQUITY,0.0113750252049153,0.205203740409628,0,0,0,0,0,0,0,0,0,0,0,0.276444831324621,0,0,0,0,0.100034674942646,0,0,0,0,0,0.00780887779885845,0.24871757671167,0,0.0873975753656615,0,0.0733102979224221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.0308258465081809,0.149691078998529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626859789227502,0,0.000583744558209557,-0.0718703589104386,0,0,-0.126827692310239,0,0,0,0,0,0,0,0,-0.0771354896182394,1.73472347597681e-18,0,-0.0590553028577595,0.934814059762857,0,0
X1299.HK.EQUITY,0,0,-0.0958236467446952,0,-0.0843451784412024,0,0,0,0,0.323757126192667,0.00272916613154629,0,0,0,0.0567735238261699,0,0,0,0,0,-0.0708553976510021,0,0,0,0.104898468231461,0,0.320835910120244,0.0139435496199209,0,0,0,0,0,0,0,0,0.0530453284327527,0,0,0,0,0.0738812721180388,0,0,0.179383005768258,0,0,0.0550252407173307,0,0,-0.156135196034382
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.229905656141086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543449899594324,0,0,0.356210581231062,0.136994302214886,0,0,0,0,0,0,0.067777347211111,0,0,0,0,0.167086467538962,0,0.341274171725774,0,0,0,0,-0.0660056252456593,0
X388.HK.EQUITY,0,0.0703335918915464,0,0.130520835040293,0,0,0,0.0288070578706041,0,0,0,0,0,0,0,0,0,0,0,0,0.0605368898398131,0.0502801195274006,0,0,0,0,0,0,0,0,0.151981568105499,0,0,0,0,0,0.0608040393205989,0.134122052736195,0.244130837428011,0,-0.234828052825599,0,0,0,0.017689683292101,0,0.316813129313784,0,0,0,0
X601658.CH.Equity,0.141531822849538,0.00614091473790759,0.0590602217954006,0,0,0,0,0,0,0,0,0,0,0.216431884618018,0,0,0,0,0.0432558619448287,0,0,0,0,0,0,0,0.164547706814902,0,0.0485162354440735,0,0,0,0,0,0.131979931698524,0,0.151169587069086,0,0,0.0461538523319467,0,0,-0.144064639281875,0,0,0.0582471436416796,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.127527307516955,0,0,0,0,0,0,0.0669834448274449,0,0,0,0.0175372767944775,0,-3.46944695195361e-18,0,0,0.361517721710062,0,0.0690027090076424,0,0,0.0251829070174664,0,0,0,0,0,0,0,0,0.0455891281770114,0,0,0,0,0,-8.67361737988404e-19,0.022269048834466,0,0,0,0,0.219739878812652,0,0
X600030.CH.EQUITY,0,0,0.0124449626234224,0,0,0,0,0,0,0,0,0,0,0,0.453069975133238,0,0,0,0.0107193119990034,0.136988111522137,-0.018305925185316,0,0,0,0,0,0,0,0,0,0,0,0.000812448737101627,0.21354563672415,0,0,0,0,0.191136909706579,0,0,0,0,0,0,0,-0.056059807002495,0.118855361582627,0,0,0
X000001.CH.EQUITY,-0.053125327268428,0,0.144814640068303,0,0,0.547302144938227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14969545964185,0,0,0.212496243985184,0.0985732861351693,0.037181324721669,-0.246485929222284,0,0,0,0,0,0,0,0.00410983366109986,0,0,0,0,-0.00459540248386682,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.729106926382692,0,0,0.0572734037003301,0,0,0,-0.0633290947807665,0,0,0,0,0.0573338765946168,0,0,-0.0265675689586564,0,0,0,0,0.0391183628159592,0,0,0,-0.0159803906086224,0,0.105104640444018,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,-0.24982658949955,0,0,0,0,0.312738775216898,-1.38777878078145e-17,0,0.203575185351297,0,0,0.409246235257103,0,0,0,0,0,0.0484855596114178,0,0,0,0,-0.0308242398244622,0,0,0,0,-0.0868918682561903,0.0837570821348529,0,0,0,0,0,0,0,0,0,0,0,0,0.0298981457673592,0,0,0,-6.93889390390723e-18,0,0.0344019470219791
X601328.CH.EQUITY,8.67361737988404e-19,0,0,0,0.145860516879365,0,0,0,0,0.0157478806007129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3876280633891,0,0,0,0,0,-0.0341433652183641,0,0,0,0,0,0,0,0,0.07157721481221,0,0.0386372447419646,-0.00373180558820148,0,0.0123779381700748,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.41812749471629,0,0.193855737421926,0.0598365480223814,0,0,-0.0467778960267871,0,0,0,0.157839711419733,0,0,0,0,0,0,0,0.153103126079689,0,0,0,0,0,0.00844017491586561,0,0,0,0,0,-0.0896077414697566,0,0,0.189198420067645,0,0,0,0,0,0,0,-0.0110048069556346,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,-4.33680868994202e-19,0,0.158712174439638,0,0,0,0,0,0,0,0.578246868912819,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.075438297941547,0,0.0304142351873593,0,0,0.0350783127141759,0.005033833317364,0,0,0,-0.165445445031833,0,0,0,0,0,0.666271107419036,0,0,0,0.210509568257785,0,-0.0222237217391595,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,8.67361737988404e-19,0,0,0,0.000580893228323867,0,0,0,0,0.0908690724490479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102998709479453,0,0,0,0,0,0,0.153364976322395,0,0,0,0,0,0,-0.0418473991810091,0,0.215192122385608,0,0,0,0.0980089677362333,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.240309959553086,0,0,0,-0.167802674721553,0,0,0.399716663991645,0,0,0,0,0,0,0.161108598635065,0,0,0.14487842403162,0.00468077843372041,0.151719013738568,0,0,0,0.255482462022963,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.077068563569682,0,0,0,0,0,0,0,0,0,0,-0.0626633083383752,0,0,0,0,0,0,0,0,0,0,0,0,0.498915612610184,0,0,0,-0.00270172342274985,0,0,0,0,0,0,-0.0156867568837902,0,0,0.234265002531013,0,0.0498970801457034,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.120766702148005,0,0.186426804515607,0,0,0,0,0,0.0760884651125103,0.052111389836544,0,0,0,0,0.116029347695891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187619929899948,0,0,0,0.00673441111008313,0,0.0261739448353006,0,0,0.454500115162573,0,0
X600016.CH.EQUITY,0,0,0,0.126350381219977,0,0,0,-0.0272836393873113,0,0,0,0,0,0,0,0,0.181594823553578,0,0,0,0,0,0.154141256029828,0,0,0.0236823187665212,0,0.30056036561558,0,0,0.0953139394091479,0.0429848403520649,0,0,0,0,0,0.022460836638562,0,0,0,0,0,0.0172429453616307,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0.0806470487758578,0,0,0,0.179057571123304,0,0,0,0,0,0,0,0,0,0,0,0,0.174823139834517,0,0,0,0,0.0296281101213932,0,0,0,0,0.0876643982961062,0.265053608780323,0,0,0,0,0,0.117192236568904,0,0,0,0,0,-0.140161805916697,0,0.0984620166784575,0.0288847689489848,0,0,0.206946015061034,0
X002142.CH.EQUITY,0,0,0,0,0,0.828220871153583,0,-0.231450135142452,0,0,0,0,0,0,0,0.116181033420742,0,0,0,0,0.00725822796759237,0,0,0,0,0,0,0,0,0.055905554236418,0,0,0,0,0,0,0,-0.134038513979028,0.260348383755619,-0.133477225499778,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,-0.0940218578963008,0,0,0.362291686774454,0.175503456541396,0.20914073934378,0,-0.192347585005049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221682701260689,0,0,-0.247430417674903,-0.0065234248999512,0,0,0,0,0.267978358257768,0,0,0,0.192881332652275,-0.00927247727840553,0,0.035551240642817,0,0,0,0,0,-0.0870420630574511
X600048.CH.EQUITY,0,0,0,0,0.144374733547817,0.251259481438884,0,0,0,0,0,0,0,0,0,0.414548643921249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252346128712761,0,0,0,0,0,0,0,-0.0112007236873677,0,0,-0.0059707813321905,0.071964449070326,0.0563937208428326,0,0,0,0,0,0.0471537129234968
X601818.CH.EQUITY,0.0600449787866442,0.0344331400460466,0,0,0.0816013293203933,0,0,0,0,0,0.115498164438485,0.217113390540649,0,0,0,0.0347589861671787,0,0.0782427405124431,0,0.0839300826144913,0,0,0,0,0,0,0,0.0489707417564126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175496227474669,0,0.0674440966279707,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.53895809557394,0,0,0,0,0.209155663214988,0.186011590317767,0.0112092849300361,0,0,0,-0.0711387803318145,0,0,0,0,0.0465586732030892,0,0.395542974516373,0,0,0,0,0,0,0,-0.171834714970027,0,0,0,0,0,0,0,0,-0.118345965435043,0,0,0,0,0,0,0.0664230608961362
X688.HK.EQUITY,0,0,0,0,0,0,0.155100097785048,0,0,0.0883927066651262,0,-0.166043273384195,0,-0.0390178887645954,0,0,0,0,0,-0.0149098068698657,0.284222390392721,0,0,0,0.0609502715546405,0,0,0,0,0.0120736716283499,0,0.237212261944861,0,0,-0.200016281933789,0,0,0.247402852444561,0,0,0,0.15957108819112,1.38777878078145e-17,0,0,0,0,0,0,0,0
X2007.HK.EQUITY,-0.251512653551233,0.364406722707549,-0.192856100885806,0,0,0,0,0,0.0513014925030936,0,0,-0.115187352456687,0,0,0,0,-0.00560184843604682,0,0,0,0,0,0,0,-0.0894298488654594,0,0,0.110464678001538,-0.260196721112077,0,0.550130039569202,0,-0.149251534723754,0,0,0,0,0.59799607392208,0,0,0.2439680017176,0,0,0,-0.0278859423356657,0,0,0,0,0,-0.139244631577285
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0155388303782533,0,0,0,0,0,-0.2979198984133,0,0,0,0,0,0.0332127262837191,0,0,0.0907581619904409,0,0.0668888373786654,0,0,0,0,0,0,0,0,0.137768049995674,0,0,0,0,0,0,-0.0174858301973752,0,0,0,0,0.60569196765724,0,0,-0.217570747985579
X601688.CH.EQUITY,0.0412640851984388,0,0,0.0516232611318685,0,0,0,0,0,0,0,0,0.172489466681159,0,0,0,0,0.101049961773376,0,0,0,0.32889173713221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207370357269941,0,0,0,0.105363722390516,0,0,0.079805326189296,0,0,0.0667484686955906,-0.0224929021696429,0,0,0,0
X601336.CH.EQUITY,0,0,0.0163443850089581,0.380471545402653,0,0,0,0,0.067014419852263,0,0,0,0.00746436494609884,0,0,0,0,0.229734618005217,0,0.069159362862232,0,0,0,0,-0.129328211688839,0,0,0,0,0,0,0,0,0.1341619949277,0,0,0,0.110037523397133,0,0.15584547876224,0,0,0,0,0,0,0,0,0,0,-0.104809285925725
X600837.CH.EQUITY,0,0.0607870878838231,0,0.0567750744775685,0,0,0,0,0,0,0,0,0.210420558955584,0,0,0,0,0.0257570238707653,0,0,0,0.0895509692880987,0,0,-0.0373852692390496,0,0,0,0,0,0,0,0.00864057706578743,0.320727963778771,0,0,0,0,0,0,0,-0.0125165733540673,0,0,0,0,0,0.133921601938934,0,0,0
X601211.CH.EQUITY,0,0,0,0.0422489748691431,0,0,0,0,0,0,0.0796782335647221,0,0,0,0,0,0,0,0,0,0,0.301786428567632,0,0,0,0,0,0,0,-0.0430712121833658,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509703008395432,0,0,0,0,0.0419090960269316,0,0.163204159850725,0
X267.HK.EQUITY,0,0,0,0,0,0.238403515097392,0,0,0.118243223175288,0,0.306494953722916,0,0,0,0,0,0,0,0,0,0.0323184093276564,0,0,0,-0.0341424943411064,0,0.0480376705273506,0,0,-6.93889390390723e-18,0.202534941969495,0,0,0,0.123848281719214,0,0,0,0,0,0,0.122572093885899,0,0,0,0,0.0438210192018759,0,0,-0.298016288329537,-0.0112015717149648
X002736.CH.EQUITY,0,0,0.121626310005627,0,0,0,0,0,0,0,0.131003499860217,0,0.0467969983784885,0,0.140985707276259,0,0.0380337270447146,0,0,0,-0.0444370363608372,0,0,0,0,0.0197408873345596,0,0,0,-1.73472347597681e-18,0,0,0.0319558808041749,0,0,0,0,0,0,0.318987230601353,0,0,0,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.107183408844507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149732655075745,0,0,0,0,0,-0.0500143334514047,0,0,0,-0.0118734470145835,0.0338639544224076,0,0,0,0.298916539204139,0,0.152286148354023,0,0,0,0,0,0,0.31341834438053,0,0.0713700511235631,0,0,0
X001979.CH.EQUITY,0,0,0,0,-0.0346563799963708,-0.0210889915820057,0.0545347088158348,0,0,0,0,0,0,0,0.0188502551451323,0.302789385680642,0.0613597584550001,0,0.705444718576532,0,0,0,0,0,-0.0746925085505523,0,0,0,0,0,0,0,0,0,0,0.0285099660096062,0,-0.190991136857815,0,0,0,0,0,0,-0.181010755047594,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0.0598825817835028,0,0.464519768392769,-0.0912463754164881,0.148304264568123,0,0,0,0,0,0,0,0,0,0,0.271400975683612,0,0,0,0,0.00795638037930975,0,0,0,0,0.107458386248867,0,-0.131067714587891,0,0,0,0,0,0,0,-0.0554688303172214,0,-1.73472347597681e-18,0,0,0,-0.176648468954623,0,0,0,0.050370372471938
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.244601397803634,0,0,0,0,0,-0.205826490892246,0,0,0,0,0,0.18828431296702,0,0,0,0.168731373510969,-0.00622782280247318,3.46944695195361e-18,-0.0547139489724503,0,0,0.109939754224139,0,0,0.661357757540709,0,0,0,0,-0.71860425689567,0,0,0,0,0,0.290489997362036,0,0,0,0,0.14472377121398,0
X601229.CH.EQUITY,0,-0.154932575490891,0,-0.0288709878835531,0,0.446352091284694,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.00192117129596455,0,0,0.525542186624832,0,0,0,0,0,0,0,0,0.145530903371578,0,0,0,-0.0118862021063282,0,0,0,0.0847738827258509,0,0,0.0127745060735381,0,0,0,0,-0.100359666932816,0,0.0850455873662867,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.302564529781011,0.250220823337605,0,0,0,0.121253455637708,0.118576126717844,0,-0.176062770959318,0,0,-0.255988349261851,0,0,0,0,0.0444584295359529,0.124837439925358,0.063415686621576,0,0.333139496897659,0,0,0,0,0,0,0,0,0,0,0,-0.0419042573120958,0,0,0,0,0.102879238121478,0,0,0,0
X000776.CH.EQUITY,0,0,0,0.0444505230502853,0.06054253324683,0,0,0,0,0,0.264995338591098,0,0,0,0,0,0,0,0,0,0,0,0,0.112979228214813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267150789600605,0,0,0,0,0,0,0,0.156008012931781,0,0.0687661318336419,0
X823.HK.EQUITY,0,0,0,0,0.2978470969887,0,0,0,-0.100576392269146,0,0,0,-0.164889669915708,0,0,0,0,0,0,0,0.134569718591119,0,0,0,0,0,-0.320891033828776,0,0,0,-0.181281641349751,0,-0.0670170235055177,0,0,-0.0593336167700044,0,0.167684702696714,0,0,-0.102920014653366,0.242702462949072,0.371863435070327,0.159563836466595,0.227841494559061,0,0,0,0,0,0.0935172062097409
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,-0.0524294084610432,0,0,1.73472347597681e-18,0,-0.0175438964817793,0,0,0,0,0,0,0.281130813362003,0,0,0,-0.0513838719648338,0,0.0702365334132851,0,0,0,0.0393770299641727,0,0,0,0.124634528074558,0,-0.0227944092613288,0,0.478913745832908,-0.0877103068586631,0,0,0,0,0.12026537122542,0,0,0,0,0.0262905018642207
X601169.CH.EQUITY,0,0,0,0,0,0.0733776862963091,0.68323243406874,0,-0.119154557695733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241501504222428,0,0,0,0,0,0,-0.0466387685853547,0,-0.018260231413714,0,0,0,0,0,0,0,0.0991387795612841,0,0,0,0,0,0,0,0,0,0.00735601125344745,0.0579971346086627
X601881.CH.EQUITY,0,0,0,0,0,0,0,-0.053700949512355,0,0,0,0,0.0318216720359763,0,0.0178820804309638,0,0,0,0,0,0,0.29287214003627,0.209453754416764,0,0.0546139275595225,0,0,0,0,0,0.0381690304103188,0,0.0781316121938354,0,0,0,0,0,0,0.356740853989211,0,0,0,0,0.0215818606863256,0,0,0,0,0,0
macro_return_add,0,0,0.225349381682135,0,0,0,0,-0.262218737638125,0,0,0,0,0,-0.205155787183088,0,0.180345374813089,0,0,0,0,0,0,-0.420225009573666,0,0.118000236726261,0,0.0446478762033447,0.00986757137958161,-0.00146914097215053,0.126435582548513,0,0,0,0,0,-0.0806691939710056,0,0,0.367300197743339,0,-0.138259302783985,0,0,0,-0.209472503181406,0,0,0.360893267588515,0,0,0
