,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.549235755576375,0,0.0332465579172214,0,0.0700512933507755,0,0,-4.33680868994202e-19,0,0.0920006324827764,0,0,0,0,0,0.128135561513556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00533126409147648,0,0,0,0,0.0828752629722976,0,0,0.0728424696168107,-0.053875719221246,-0.0183665139021858,0,0,-0.0221303761055013,0,0,0.0043924493485155
X601318.CH.EQUITY,0,0,0,0.104708101168595,0,0,0,0,0.0433807821090412,0,0,0,0,0,0,0,0,0.234653438107085,0,0,0,0,0,0,0,0.0473918045206146,0,0,0.0648288862789846,0,0,0,0.103355579937038,0,0,0,0,0,0,0.194289507939526,0.0573030338933207,0,0,0,0,5.42101086242752e-20,0,0,0.0813963459900228,0,0
X601939.CH.EQUITY,0.064521354805039,0,0,0.537791253131916,0,0.0375200097505124,0,0,0,0.0263492609330568,0.0647705753778784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147115096722693,0,0,0,0.00414578652215923,0,0,0,0,0,0,0,0,0,0,0,0.0136322990610569,0,0.0323610470227502
X601288.CH.EQUITY,0.251029132395656,0,0,0,0,0.0376757479082654,0,0,0,0.124838125737806,0,0,0,0,0,0,0,0.0482988556643048,0,0,0,0,0,0,0.0556920236163091,0.172004211933375,0,0.00842167187950226,0,0.133133451790787,0,0,0,0,0,0,0,0,0,0,0,0.108893196357734,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.407762561217345,0,0,0,0,0,0,0,0,0.182943709692851,0,0.0660008225852112,0,0,0,0,0,0,0,-0.0481411873727123,0,0,0.214734323080698,0,0,0,0,0,0,0,0,0,0,0,0.210408161599068,0,0,-0.582134688438068,0,0,-0.0853945915502993,0,0.201819850877364,0
X601988.CH.EQUITY,0.102057939647374,0,6.93889390390723e-18,0,0.0425848098346438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596203795935822,0,0,0,0,0,0,0.105436210914033,0,0,0,0,0,0,0,0,0,0.0509212875900504,0,0,0,0,0,0,0,0,0.0758021973088642,0.0964353321083892,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0527929905092282,0,0,0,0,0,0,0,0,0,0,0,0.0313981522434201,0,0,0,0,0.592101745677903,0,0,0.0685523931165055,0.13317609970027,0,0,0,0,0,0,0,0,-0.00293363195177215,0,0,0,0.0567692634652536,0,0,0.0229668076186521,0,0,0,0,0
X1299.HK.EQUITY,0,0.21484244326169,0,0,0,0,0,0,0,0,0,0.168574983747602,0,0,0,0.0316411937489496,0.174023092908193,0,0,0,-0.085783197571499,0,0,0,0,0,0,0.217547679839447,0,0,0,0,0,0,0.0718704581519874,0,0,0,0,0,0,0,0,0,0.0388297463099884,0,0,0,0,0,0.0938490273968944
X601628.CH.EQUITY,0,0.181017196606703,0,0,0.0164350294187129,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454697984279787,0,-0.00823733785726737,0,0,0,0,0.116580872498121,0,0,0,0,0,0,0,0,0,0,0.38235435055451,0,0,0,0.225769922408677,0,0.068829856792012,0,0,0.00757563733235635,0,0,0,0,0
X601328.CH.EQUITY,0,0.00821376560606007,0.129756777923259,0,0,0,0.126716167442728,0,0,0,-8.67361737988404e-19,0.0217935372888883,0,0.241924213277044,0,0,0,0,0,0,0,0.232942288358658,0,0,0,0,0,0,0.0543434476319231,0,0,0.0136541271352881,0,-0.00896888284633256,0,0,0.00716667503775103,0,0,0.217077056041621,0,0,0,0,0,0.0186707257620379,0,0,0,0,0
X601166.CH.EQUITY,0.237668637636913,0,0.133875727605717,0,0,0,0.142198099086755,0,0,0.0181757283271618,0,0.030131869403712,0,0.128921606933859,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0604520994532913,0,0,0,0,0,0,0,0,0.122402791031994,0,0,0,0,0,0,0,0.0349385054245134,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.272601697228363,0,0,0,0,0,0,0,-0.0392148981980287,0.178591620757998,0.216946986164519,0.255389795320182,0,0.0601091945675453,0,0,0,0,0,0.131843025424057,0,-0.195262983162127,0,0.00611680310379748,0,0,0.179022630780063,0,0,0,0,0,0,0,-0.00806504343452545,0,0,0,0.101987495150849,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,-0.162111260995317,0,0,0,0,0,0,0,0,0,0,0,0,-0.200312868782771,0,0,0,0,0.134265532904835,0,0,0.148172242323924,0.134405380860911,0.295235085848287,0,0.245844865708511,-0.0321939294175069,0,0,0,0.0446150997894051,0,0,0.0832789159983493,0,0,0.179222144690248,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.0532974057138664,0.181926418824405,0.0669889199775237,0,0,0.255045661327524,0.0965147735827519,0,0,0,0,0.0675549395319021,0,0,0,0,0,0.0227745061675472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266317514228777,0,0.0116940670348626,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.295671503584519,0,0,0,0,0.123382964017879,0.0978626871290623,0,0,0,0,0.0234624593165376,0,0,0,0,0.292319748568096,0,0,-0.279261022982356,0,0,0.198370187209986,0,0,0,0.16412669376618,0.567461926639529,0,0,0,0.006497378665972,0,0,0,0,0,0,0,0,0,0,0,0.0347328046191059
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303419680976532,0.0442179972084735,0,0.10861930821519,0,0,0,0,0,0.648529040078315,0,0.0328002851658214,0,0,0,0.0694590414191237,0,0,0,0,0,0,0.0136594098536777,0,0,0,0.0757632316171959,0
X2388.HK.EQUITY,0,0,0,0,0.117856172400946,0,0,0,0,0,0,0.222815630287027,0,0,0,0,0,0,0,0.189165467007869,0.101280978523542,0,0,0,0,0,0,0,0,0,0.10156526067503,0,0,0,0,0,0,0,0,0,0,0.0567151503317115,0,0,0.0229994710179287,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.116100066145796,0.0458277601846453,0,0,0,0.0976006024524501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236860664379095,0,0,0,0,0.0970470509358738,0,0,0,0,0,0,0.0780271668141692,0,0,0,0,0,0.00420888637842792,0,0,0,0,0,0,0,0.201484356940538,0,0,0.0264679321235921,0
X267.HK.EQUITY,0,0,0,0,0.276796686625679,0,-0.462650577814489,-0.0187600928921947,0,0,0,-0.0118003917247963,0,0,0,0,0.373514354679054,-0.278222315418732,0,0,0.412142678092861,0,0,0,-0.122075684698475,0,0.0277832545640939,0,0,0.398477277881593,0.0628691543848459,0,0,0,0,0,0,0,0,0.0201866535462825,0,0,0,0,0.123937004658285,0,0,0,0,0.0446761183694449,0
X688.HK.EQUITY,0,0,1.0842021724855e-19,0,0.0840153178567413,0,0,0,0,0.177315906037903,0,0,0,0,-0.0240491563462979,0,0,-0.0953445924616894,0,0,0,0,0,0,0,0,0,0.3475339062031,0,-0.0146439828657701,0,0,0.0660904613973055,0,0,0,0,0,0,0,0,0,0,0,0.218695468424994,0,0,0,0,0.00191817341400191,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.135185347297247,0,0,0.0568723882742035,0.293692038139577,0,0.00857175793971234,0,0,0.0747195324173094,0.0969151013133028,0,0,0,0,0,0,0.0152613215282167,-1.73472347597681e-18,0,0.260879695651483,0,0,0.0324502385881196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796856003596527,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0.0607376822996912,0,0.0220228314502852,0,0.424867442936279,0,0,0,0,0,0,0,0,0,0.0374833646207284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276977155516968,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.151486256581007,0.259011643802706,0,0,0,0,0,0,0,0.0786533152317133,0,0,0,0,0,0,0,0,0,0.115539838522463,0,0,0,0,-0.0232715700455991,0,0,0,0,0,0.0681952173645326,0,0.0294149677804672,0.269662234612595,0,0,0,0,0,0,-0.0189244136274427,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0208329534598308,0,0,0.0547426642991613,0.0442327761797156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333896200381068,0,0,0.0370649080740191,0.00791792208229339,0,0,0.390793733651957,0.0548885946396361,0,0,0,0,0,0,0,0,0,0.359540010805475,0,0
X2007.HK.EQUITY,0,0,0,0.0507041057052969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627503448053207,0,0,0,0,0,0.0238455616604276,0.180301436209065,0,0,0,0,0,0,0,0,0,0.474563058105737,0,0,0,0,0,0,0.160537661255547,-0.0934777421057159,0,-0.0365851227349975,0,0,0
X000001.CH.EQUITY,0,0.121943531147351,0,0,0,0.104930813385533,0,0,0.0520624486114375,0,0,0,0,0,0,0,0,0.150582440677452,0,0,0.0157618058373755,0,3.85146581638749e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188223465915299,0,0,0,0,0.213118376156514,0.0536669987114879,0,0.00303223429100456,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,-0.132082881711299,0,-0.389764329715352,0.217487899229773,0.301166038243339,0,0,0,0,0,0.0873643178986188,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0555505341456384,0,0,0,-0.0218454416135718,0,0,0,0,0,0,0,0,0,0.269272068341841,0.0139863949842426,0,0,0,0,0,0.0588975343688445
X1109.HK.EQUITY,0,-0.112690286413156,0,0,0.138328735404186,0,0,-0.0513481375604252,0,0,0,0,0,0,0,0,0.163729492437576,0,0,0.127629845699462,0.0146576299282352,0,0,0,0,0,0.104738830698827,0,0,-0.0904402523888897,0,0.149198021384887,0,0,0,0,6.93889390390723e-18,0,0,-0.0302856140635556,0,0,0,0,0.0122455151226818,0,0,0,0,0,-0.0683141768717917
X601818.CH.EQUITY,0,0,0,0,0,0,0.279720801649296,0,0,0.143793795916756,0,0,0,0,0,0.0396409001828199,0,0,0,0,0,0,0.267013688843242,0,0.0646926511639227,0,0,0.119420383103369,0,0,0,0,0,0,0,0,0,0,0,0.0673301324916477,0,0,0,0.020289954505022,0,0,0,0,0,0,0
