,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0182420315398364,0.504621436394513,0,0,0,0.0464030200258689,0,0,0,0.0563169050431523,0,0.0982617409801639,-0.0441016281659891,0,0,0.0962408680435759,0,0,0,0,0,0,0,0.0566919575822146,0,0,0,0,0,0,0,-0.0487122809337825,0,0,0,0,0,0.0798268562389104,0,0,0,0,0,0,0,-0.0594739727783144,0,0,0,0.00981443137809357
X601318.CH.EQUITY,0,0,0,0,0,0,0.0296502984656916,0,0.0390154171526551,0,0,0,0,0,0,0,0.309023219013952,0.07497198487689,0,0,0,0,0,0,0.137420623340148,0,0,0,0,-3.46944695195361e-18,-0.00629860075628985,-8.67361737988404e-19,0,0,0,0.0471906943530199,0,0,0.227076735044176,0,0,0,0,0,0,0.0339670312295854,0,0.0604528862239575,0,0,0
X601939.CH.EQUITY,0.141825391006624,0,0,0.613250847153524,0,0,0,0,0,0,0.0137558405348977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190015225219633,0,0,0,0,0,0,-8.67361737988404e-19,0.130614805807281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00669253773011219,0.0182143489605215
X601288.CH.EQUITY,0,0.129541132709895,0.208740061350214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39475419549779,0,0.082606361485933,0,0,0,0,0,0,0,0.0280346377838724,0,0,0,0.00953896762130109,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.299541085741669,0,0,0,0,0,0,0,0.552638989374037,0,0.0749927803345947,0,0,0,0,0,0,0,0,0,0,0,0.298575827718058,0.0053433146324237,0,0,0.235268953082645,0,0,0,0,0,0,0,0,0,0,0,-0.328685508776681,-0.156247277648016,-0.0729288749113377,0.00480756861395772,0,0
X601988.CH.EQUITY,0.0185383056415424,0,0.0455136220270357,0,0.039098850404603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611412292101858,0,0,0,0,0,0,0,0.112245192834336,0,0,0,0,0,0,0,0,0.0443577242049807,0,0,0,0,0.0631823749025967,0,0,0,0,0,0.090865413193766,0
X600036.CH.EQUITY,0,0,0,0,-0.0246952628307737,0,0,0,0.0322849307955369,0,0,0,0,0,0,0,0.0393795195303952,-0.0207358340318076,-1.73472347597681e-18,0,0,0,0,0,0.753859368636663,-0.00620517608797013,0,0.0329163581628267,0,0.103463786371196,0,0,0,0,0,0,0,0,0,0,0,0,0.0655498696786152,0,0.0710408128535658,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.267370233201194,0,0,0,0,0,0,0,0.191729757714623,0,0,0,0,0,0.091257305254418,0,0.0449354193407928,0,0,0,0,0,0.104725077985842,0,0.0888624121151133,-0.00483024370380631,0,0,0,0.158125310831796,0,0.107224725664692,0,0,0,0,0,0,0,0,-0.146652767071428,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.219232548697329,0,-1.73472347597681e-18,0,0,0.0308362258911002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504187310408788,0,0,0,0,0,0,0,0,0,0.422555480463235,0,0,0,0,0,0.236206611091971,0,0.029446632633331,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.17136252676888,-1.38777878078145e-17,0,0,0.115682065686939,0,0,0,0,0,0,0,0.261846428791477,0,0,0,0,0,0,0,0.22814710674113,0,0,0,0,0.0671682495633365,0,0,0,0.00573277564064303,0,-0.00584338171691482,0,0,0,0,0.203138968201943,0,0,0,0,0,0.0022489073996297,0,0,0,0.0287597302138035,0,0
X601166.CH.EQUITY,0.241301079877432,0,0,0,0,0,0.0774048594637147,0,0,0.0454419581793959,0,-0.0150256740807325,0,0.066599110156452,0.21059907928378,0.00317275616183054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053005022680241,0,0,0,0.107694910000177,0,0,0,0,0,0.124113661092823,0,0,0,0,0,0,0,0.0198886070727071,0.0410209452098854
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.204095865257185,0,0,0,0,0,0.0964262383362075,0.087039191223443,0,0,0,0,0,0,0,0,0.250764901728533,0,0,0,0,-0.297859316929078,0.231249020288191,0,0,0.564310175518685,0.164783350768713,0,0,0,0,0,0.0224796931631023,0,0,0,0,0,0,0,0,0,0,0.0419536680321739
X11.HK.EQUITY,0,0,0,0,0.0278218191769839,0,0,0,0,0,0,0,0,0,0,0,0.124579820955218,0,0,0.409667170569414,0,0,0,0,0,0,0,0,0.25387210733746,0,0.373594817227802,0,0,0,0,0,0,0,0,0,0,0,0,0.254330376486494,0.0313131978647381,0.0703171297144515,0,0,0,0,0
X16.HK.EQUITY,0,0,0.0885045123540865,0,0.0653616957059435,0,0,-0.0106192779063736,0,0,0,0,0,0,0,0,-0.063604939462175,0,0,0,0,0,0,0,0,-0.147251001938219,0,0,0.211784069302637,0.207044949984413,0.0546511361896988,0.119994745365622,0,0.0725343834120259,-0.536881178818457,0.214988109172896,0,0,-8.67361737988404e-19,0.109084256586029,0,0,0,0,0,0,0,0,0,0,-0.0112377198452898
X600000.CH.EQUITY,0,0.0206757815475178,0,0,0,0,0.260374122943218,0,0,0,0.219823926744655,0,0.0744796786710017,0,0,0,0,0.114623446738566,-1.38777878078145e-17,0.074393192390674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120642443236788,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323680547903231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642979003229666,0,0.0258183380108369,0.0600524220473805,0.0440316188392314,0,0,0.717960132286661,0,0.0131606654216271,0,0.0586293112957028,0,0,0.0309189716899775,0,0.0163590071760949,0,0,0,0.126347811543354,0.0383443107462768,0
X601601.CH.EQUITY,0.0865589535346877,0.0904773867823852,0,0,0,0,0.125655317480967,0,0,0,0,0,0,0,0,0,0,0,0.0444788443542732,0,0,0,0,0,0,0,0,0,-0.00558553084822242,0,-0.011875853072212,0,0,0,0.0578975308910101,0.0842758009978693,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.24551394261221,0,0.0170712766842921,0
