,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0080724710015212,0,0,0,0.173165997091079,0,0,0,0,0.507801824480781,0,0,0,0,0,0,0,-0.0122365260655678,0,0,0,0,-0.158756786853109,0,0,0.514874366778361,0,0,0,0,0,0,0,0,0.0830885569748188,0.0254832596523605
X601318.CH.EQUITY,0,0,0,0,0,0,0.1561609123969,0,0.244955697599118,0,0,0,0,0,0,0,0,0.280374022376156,0.0767095405151565,0,0.038241120236841,0,0,0,0,0.0752848930673088,0,0,0,0,0,0,0,0,0,0.0826520188590687,0,0,0,0,0.0290089633364759,0,0,0,0.0127972866886025,0,0,0.0449210628748953,0,0,0
X601939.CH.EQUITY,0,0,0,0.511146589445723,0.0219371321781811,0,0,0,0,0.339319947385738,0,0,0,0,0,0,0,0,0,0,0.11760613946331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160545595153932,0,0,0,0,0,0,0,0,0,0,0.00961551685320048
X601288.CH.EQUITY,0,0,0,0,0,0,-0.387677434526596,0,0.0469004968758062,0,0.97502950273549,0,0,0,0,-0.101965240161334,0,0,0,-0.307312770523115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412666859983965,0,0.174847696846007,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.145680974628493,0.398078161243751,0,0,0,0,0,0,0,0,0.0838406422650339,0,0,0,0,0,0.0609644068378521,0,0,0,0.0062478285456504,0.0631039864135503,-0.192242324777446,0,0,0,0,0,0,0,0,0.0575366488039184,0,0,0,0.255915061199898,0,0,0,0,0,-0.160271398341477,0,0.0875000314331361,0,0
X601988.CH.EQUITY,0,0,0,0,0.312186006865642,0,0,0,0.0235056250042626,0,0,0,0,0,0.0834396819197547,0,0.123088496232637,0,0,-0.0656386528273597,-0.0554870869715532,0,0,0,0.203297016871968,0,0,0,0,0,-0.237109740500279,0,0.0472239317141515,0,0,0,0,0,0,0.0462697574839843,0,0,0,0,0,0,0,0,0,0.145968027781439,0
X1299.HK.EQUITY,0,0,0,0,0.229387276340761,0,0,0,0,0,0,0,0,0,0,0,0.192814181273749,0,0,0,0,0,0,0,0,0.0389867837715158,0,0.0439661815562194,-0.111332394858614,0.0930450102474518,0.0421722302175904,0,0,0,0,0,0.517583731635324,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139224353374717
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.423709089514604,0,0.0280493358843389,0.0281131008907823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028881527097645,0.061404516475514,0,0,0,0,0,0,0.149373483015708,0,0,0,0.23563123581224,0,-0.115344620530639,0.314525642272401,0,0,0,0,0,0,0,-0.0776494529947873
X601628.CH.EQUITY,0,0.003542034642597,0,0.00137288829523181,-0.0822765697086425,0,0,0,0,0,0,0.0987973973070547,0,0,0,0,0,0.273607473168403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375352258292997,0,0,0,0,0,0.250258767108785,0.094190562597505,0,0.0591387454591736,0,-0.00637848624443443,0,0,0,-0.057554452415715
X601328.CH.EQUITY,0,0,0.148308642290064,0,-0.0850506183375098,0,0,0.406478577354942,0,0,0,-0.0141100630226972,0,0.468765519449479,0,0,0,0,0,0,0.0809647179894926,0.104815845049186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801794192267628,-0.206235360338182,0,0,0,0,0,0,-0.00872172017808625,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0898342888283224,0.241496097237717,0,0,0,0,0.0665775605319854,0.0728084207746488,0,0,0,0.245697495037966,0,0,0,0,0.0173186774814588,0,0,0.0580764706147374,0,0,0.128207547724465,0,0,0,0,0,0,0,0,0.059854432777406,0,0,0,-0.208217290086745,0,0.0109012367143793,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0.129438167516654,0,0,-0.31831716817412,0,0,0,0,0,0,0,0,0,0.0272734364412532,0,0,0,0,0,0,0,0,0,0.0541455917297194,0,-0.138332161285951,0,0,0,0,0,0,0,0,0,0,0.114572987876237,-0.103569283247012,0,0,0,0,0.467608310063686,0,0.0975922853456916,0.0208953291684726,0,0,0,0.0404262438060885
X16.HK.EQUITY,0,0,0,0,0,0,0,0.132216035093163,0,0,0,-0.0659621023567574,0,0,0,0.0384848357605125,0,-0.231808969548324,0,0,0,0,0,0,0,-0.036640488333202,0,0,0,0.207357156946298,0.16519612454539,0,-0.113843135933992,0.19313348552027,0,0,0.648162096245206,0,0,0,0,0,0,0,0,0.113072163205859,0,0,-0.110991156881258,0,-0.0717262999251556
X600000.CH.EQUITY,0.0417497327003494,0,0.206036263646145,0,0.0250598922537641,0,0,0,0,0.165003389513155,0.310408560077539,0,0,0,0,0,0,0,0,0.0425805376674972,0.0491838949452804,0,0,0,0,0,0.235056549679132,0,0,0,0,-0.117771577233348,0,0,-0.0987794961889916,0,0,0,-0.140946316945669,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191034671347221,0,0,0,0,0.0568777100933844,0,0,0.00803557489259285,0,0,0.585905229759012,0,0,0.0717070339087435,0,0,0,-0.0707861374278781,0,0.0140384559906265,0,0.0499866413473762,0,0,0,0,0.10036917637887,0
X11.HK.EQUITY,0,0,0.226206149486617,0,0,0.187856642075036,0,0,0,0,0,0.0490525835791755,0,0,0,0,0,0,0.09960691704709,0,0,0,0,0,0,0,0,0,0,0,0.469964850619091,0,0,0,0,0,0,-0.0624884782562665,0,0.0242845541066209,0.0603251582862683,0,0,0.300877849231616,0,0.053912524164912,-0.101956639408869,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.117997800825293,0.00630861701689549,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.276360127992644,0.579112180028882,0.114473963219839,0,0,0,0,0,0,0,0,0,0,0,-0.0907658673324423,0.0071047008922295,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.0509327952553728,0.205372511128498,0,3.46944695195361e-18,0,0,0.0281620549161317,0,0,4.33680868994202e-19,0,0.0415186030979231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149408505535582,0,0,0.294866729639703,0,0,0,0.0174720412753178,0,0,0,0,0,0,0,0,0.000608763163307255,0,0
X2388.HK.EQUITY,0,0.549838711017559,0,-0.0462301459852072,0.36992071844325,-0.502295745306063,0,0,0,0,0,-0.0940225946612106,0,0,0,0,0.687841231626074,0,0,0,0,0,0,0,0,0.135218093855111,0,-0.14755629048714,0,0,-0.0913560992385839,0,-0.288730453049432,0,0,0,-0.165518588944006,0,0,0.216401669295095,0,0,0,0,-0.169541400793934,0,-3.43517705461011e-05,0,-0.145161257836857,0,0.0265457682677381
