,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0524677879029038,0.107524009458037,0,0,0,0,0,0,0,0.384567499399518,0,-0.182938461995148,0,0,0,0,0,-0.0512514352832253,0,0,0,0,0,0,0,0,0,0.638719049842992,0,0,0,0,-0.0128016114989705,0,0,0,0,-0.0108341758966653,-0.0411779869059246,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.215355446938233,0.0499353855156312,0.204373424525553,0,0,0,0,0,0,0,0.108989972183221,0,0.1414437734353,0.069743878140504,0.0413698866575221,0,0,0,0,0,0,0.0220074965127994,0,0,0,0,0,0.0726304925462569,0,0,0,0,0.0589779046537514,0,0.130421887923264,0.0307810753042814,0,0,0.0837796255039548,0,0,0,0,0,0
X601939.CH.EQUITY,0.242849182630501,0,0,0,0,0,0,0,0,0.04099400691376,0,0,0,0,-0.0109254852958038,0,0,0,0,0,0,0,0.0577014716184239,0,0,0,-0.163606845673073,0,0,0,0,0,0,0,0,0,0,0.04916223510807,0.0804240002860871,0,0.515973427696251,0,0,0,0,0,0,0,0,0,0.115986351829516
X601288.CH.EQUITY,0,0,0,0,-0.133503673615236,0,0,-0.0360391292807028,0.0665441865849901,0,0.365729210404958,0,0,0.330233040020295,-0.0712171827936968,0,0,0,0,0,-0.115731216435212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307678260449432,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.146974189914339,0,0.213108654947536,0,0,0.11342870880829,0,-0.00367997301490821,0.21457869143794,0,0,0,0.0738797867449859,0,0,0,0,0,0,0,0,0.0216340455291108,-0.168529708465028,0,0,0,0,0,0,0,0,0,0.129649644075361,0.0970938440639141,0,0,0,0,0,0,-0.096627133836437,0,0,0.154727600105622,0,0
X601988.CH.EQUITY,0,0,0,-0.0340158755740129,0.380946257046794,0,0,0,0,0,0,0,0,0.0736922994259826,0.0162662651033099,0,0,0.0636746832664212,0,0,-0.145431432053064,0,0,0,0.251438313713634,0,0,0,0,0,0,-0.337928136702395,0,0,0,0,0,0,0,0,0,0,0,0,0.00913089446514643,0.0988439589157709,0,0,0,0.0235373274447502,0.0260483692712931
X600036.CH.EQUITY,0,0.268807386496286,-0.0797147996621459,0,0,0,0,0,0,0.384754517451808,0,0.0627178604948687,0,0,0.0715110030316619,0,0,0,0,0,0.287447994505389,0,0,0,0,0,0,0,0.14816508512368,0,0,0,0,-0.146880482342248,0,0,-0.157429926127899,0,-0.0212557277444577,0,0,0,0,0.280179124706416,0,-0.0617458117368801,0,0,0,0,0
X1299.HK.EQUITY,0,0.0948321598252973,0.00453830417956253,0,0.366115710602367,0,0,0,0,0,0,0,0,0,0,0,0,0.0501164445107047,0.0773333542888869,0,0,0,0,0,0,0,0.147518044486009,0.0290984305738397,-0.104023278511941,0.0466236845271376,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178176920406663,-0.116999593600126,0,0,0.130957898664758,-0.0110500954339022,0,0
X601628.CH.EQUITY,0,0.0154047656447495,0.0275832133615534,0.0593631525700103,0,0,0,0,0,0,0,0,0,0,-0.0477133656313591,0,0.31416039573895,0,0,0,0,0,0,0,0.114680525127072,0,0,0,0,0,0,0,-0.0442429964829567,0,0.139624081880532,0.0980740760375021,0.0773706421249377,0,0,0,0,0.239802765850291,0,0.071060047139747,0.0800240027127943,0,0,0,0,0,-0.0891708610254628
X601328.CH.EQUITY,0,0,0.00457846462389492,0,0,0,0.644388875372231,0,0,0,0,0,0,0,0,0.102619816962191,0,0,0,0,0.150249440220175,0,0,0,0,0,0.130475462408542,0.194225571865184,0,0,0,0,0,0,0,0,0,-0.205066660832114,0,0,0,0,0,0.0672769091476469,0,-0.300973898816516,0,0,0,0.00267084911200096,-0.0596853989703432
X601166.CH.EQUITY,0.115456919849308,0,0,0.236240188390204,0,0,0,0,0.0039772795611245,0,0,0.347997680992521,0,0,0,0,0,0,0.075934065999414,0.030139832603569,0,0,0,0,0,0,0,0,0,0,0,0.0101965756779116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.129324787193121,0.746059826268337,0,0,0,0,0,0,0,0,0.161176122673462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167325365589383,0,-0.156404910099226,0,0,0,0,0,0,0,-0.0103119162959971,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0437742010061266,0,0,0,-0.085348108648696,0,0,0.0782890896562254,0,-0.162079699871145,0,0,0,0.0918064341636657,0,0,0,-0.126877735121592,0.135958973689648,0,0,0,0,0,0,0,0.163676334318127,0,0,0,0,0,0,0.491800880947126,0,0,0.0377295826311528,0,0,-0.0146144969800317,-0.0454230041160491,0.0716092670132496
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244678921029122,0.0951036541671269,0,0,0,0,0,0,0,0,0.191409545185348,0,0,0,0,0,0,0.232922415369778,0.315327528701921,0,0,0,0,0,0,0,0,0,0.182155232614043,0.13264109133628,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0.100946804629595,0,0,0.0763360058802809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251009164497396,0,0,0,0,0,0,0.489858099131885,0.0475265536897318,0,0,0,0,0,0.0102970719514658,-0.0827266044446097,0,0,0.241824506124822,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.163677131890746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318163793571019,0,0,0,0,0,0,0,0.484577941924818,0,0,0,0,0,0,0,0,0,0.00702723991986549,-0.311931270016024,0,-0.149985828819081
X601601.CH.EQUITY,0,0,0,0,0,0,0.137089401205266,0,0.231549381895116,0,0,0,0.0236426135584639,0,0,0.0337495278913271,0,0,0,0,-0.143382925066737,0,0,0,0,0.284327922408229,0.0218531006445557,0,0,4.33680868994202e-19,0,0,0,0.0973742404814474,0,0,0,0,0,0,0.0191220203221807,0,0,0,0,0,0,0,0.0356071416960919,0,0.0807184779165521
X388.HK.EQUITY,0,0,0,0,0.0155782189315176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629585068005618,0.0797946468387702,0,0,0.0422779952330233,0,0,0,0,0.150066007812879,0,0,-0.0667485909219706,0,0.0497062817881787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0.133889814166174,0,-0.277050933557246,0,-0.44922235203475,0,0,0,0,0,0,-0.0297461666255905,0,0,0,0,0.901661614110197,0,0,0,0,0,0,0,0.0033832614443273,0,0,0,0,0,-0.245073825164048,0.259032222346185,-0.250405349290636,0,0,0,-0.00190239464553217,0,-0.243726706080894,0,0,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0.00678609180050915,0,0,0,0,0,0.139688101218482,0,-0.0604490765416731,0,0,0,0,0.0700944583518661,0,0,0,0,0,0.03266585029566,0,0.148708442574432,0,0,0.0451579426487659,0.166578497371086,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.342088277496839,0,0,-0.162321427699077,-0.228907937838956,0,0,0,0,-0.0309673722945003,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00819855551841755,0,0,0,0,0,0.0252915502911635,0,0.149959813461914,0,0,0,0.24341501405032,0.0467794812929986,0,0,0.0492265531700287,0,0,0,0,0.158627660957565,0,0,0,0,0,0,0,2.16840434497101e-19,0.0366294606325633,-0.401996945266609,0,0,0,0,-0.283368311889721,0,0,0,0,0
X600030.CH.EQUITY,0.0314246740885204,0,0,0,0,0,0,0,0.0812137024769702,0,0,0,0,0.0321027102299716,0,0,0,0,0,0,0,0,0,0,0.00367331178929378,0,0,0,0,0,0.303888883115403,0,0,0,0.221762194032966,0,0.293952164520667,0,0,0,0,0,0,0.0505924902615685,0,0,0.0207279641214706,0,0,0,0
X601998.CH.EQUITY,0,0,0.00477865276969035,0,0,0,0,0,0,0,0.0867809926586325,0,0,0,0,0.180178400681328,0,0,0,0.12567647332668,0.23317198040952,0.143084015521252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348773231121253,0.0838871940966554,0,0,0.108749477328792,0,0.0265734448757306,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0.078574003622063,0,0,0,0,0.0216292737445363,0.121680145010083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114373257522626,0,0,0.43689571201316,0,0,0,0,0,0.0746200874795567,0,0,0.0227430083395939,0,0,0.0235939236419822,0,0,0,0,0,0,0,0.00878802962500766,0.057438509103914,0
X000001.CH.EQUITY,0,0,0,0,0,0.107693816411267,0,0,0.174296656817884,0,0.133018889220896,0,0,0,0,0,0.0461021727758834,0.0126967956333285,0,0,0,0.00649377451342157,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.176574225137969,0,0,0.161767952796303,0,0.0971809340745345,4.33680868994202e-19,0,0,0,0
X2007.HK.EQUITY,0,0,0,-0.0496025861964348,0,0,0,0,0,0,0,0.109330793480763,0,0.0224346238806787,0,0,0,0,0.0996612127536568,0,0,0,0.0866750716297454,0,0,0,0.117563055982687,0.334013504867754,0,0,0,0,0.285332667680149,0,0,0,0,0,0.0020754522930043,0,0,0,0,0,0,0,0,0,-0.0456695473726847,0,0
X1109.HK.EQUITY,0,0,0,0,0.242937847358815,0,0.013358551676706,0,0,0,0,0,0,0.173619827980864,0,0,0,0,0,0.296425446230842,-0.0586310349793424,0,0,0,0,0,0,0,0,0,0,0.0409815741341245,0,0.237616274631864,0,0,0,0,0,0.0198568259947914,0,0,0,0.0438463068381489,0,0,0,0,0,-0.187097921966072,-0.0145265929912255
X1113.HK.EQUITY,0,0.164100484028867,0,0,0,0,0,0.0789189250250658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173449854634439,0,0,0,0.0345927321791968,0,0,0.0845557755165795,0,0,0,0,0.0555066931478343,0,0,0,0,0,0,-0.144605836992493,0,0,0,0,0,-0.162597570550548
X601818.CH.EQUITY,0,0,0,0,0,0,0.443228694753562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170362384876453,0,0,0,0.290999738708026,0,0,0,0,0,0.0820046032662427,0,0,0,0,0,0,0,0,-0.0623469651158965,0,0.0762984759948134
X12.HK.EQUITY,0,0,0,0,0.229575832321441,-0.394697951421547,0,0.338917061599554,0,0,0,0,0,0,0,0,0,0,0,0,-0.182233239648779,0,0,0,0,0,0,0,0,0,0,0,0,0.193303761860716,0,0.521432779511124,0,0,0,0,0,0,0,0,0,0,0,0.0445922950652036,-0.229035587352555,0,0.116117426821709
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0949533497340424,0,0,0,0,0,0,0,0,0.523633775412694,0,0,0,0,-0.0980100709994373,0,0.0348289539059573,0,0,-0.0189567741305111,0,0.0874359845003941,0,0,0.0394583757649002,0,0,0.0608263073773866,0,0,-1.73472347597681e-18,0,0,0.0544885801965671,0,0,-0.0495062912285583,0,0
X823.HK.EQUITY,0,0,0,-1.0842021724855e-19,0,-0.0396368491009472,0,0,0.244240884358362,0,0,-0.153545369598596,0,0,0.107142004205902,0.105574590110249,0,0.101249179641059,0,0,-0.0861739139570375,0,0,0,0,0,0,0.135723583728266,0,0.0272153040533467,0,0,0,0,0,0,0,0.178780624332039,0,0,-0.229031730869892,0,0,0,0,-0.0653065767281501,0,0.0712686280841222,0.074709969554874,-0.129066634033693,-0.0687657028123057
X600048.CH.EQUITY,0,0,0,0,0,0,0,-0.241665320459064,0,0,0,0,0,0.00699753407714877,0,0.11471932591547,0,0,0,0,0,0,0,0,0.543582593554557,0,0,0.0890868712014271,0,0,0,0,0,0,0,0,0.120537223932489,0,0,0,0,0,0,0,0.101592564301142,0,0,0,0,0.109453029926847,-0.152960321090499
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25906374613906,0,-0.129716874792265,0,0,0,-0.00453119554089191,0,0,0,0,0,0,0,0,0,0.0582830488383288,-3.46944695195361e-18,-0.142247016125198,0.0392789334983036,0,0,0,0,0,0,0,0,0.475213255904261,0,0,0,0,0.0459477414463658,0,-0.0744163458328275,0,0
X601211.CH.EQUITY,0,0.0534582323231677,0,0,0,0,0,0,0,0,0,0,0.0604501237108816,0,0,0,0,0,0,0,0,0.418564470577708,0,0.0292562417395915,8.67361737988404e-19,0,0,0,0.0708651313940861,0,0,0,0,0,0,0.00284603477465231,0.0707229772354559,0,0,0.00631835011950385,0,0,0.0609000906347662,0.0154402546054889,0.00472946312855572,0,0.229306662365657,0,0,0,0
X601336.CH.EQUITY,0,0.103399493594469,-0.0803849958716469,0,0,0,0,0,0.150961321162143,0,0,0,0.150921071367175,0,0,0,0,0.0616885066641319,0,0,0,0.217472345448712,0,0,0,0.0228101741416492,0,0,0,0.0667243131772114,0,0,0,0,0.0957961613066204,0,0,0,0,0,0.151160743603332,0,0,0,0,0,0,0,0,0,0.071608587158093
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0.15655713909054,0,0,0,0,0.0294836587397178,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390846758488422,0,0,0.562775703999736,0,0.00171735355763367,0,0.191402166988257,0,0,0,0,0,0,0,0.00507498196352751,0,0,0,0,0.0649261772734899,0,0,0
X1997.HK.EQUITY,0,0,0.0618768137428919,0,0.0644744509643628,0,-0.125738983110091,0,0,0,0,0,0,0,0,0.21753724955002,0,0.175397011430408,0,0.0125623337488597,0,0,0,0,0,0,0,0.275154292903692,0,0.223725074521381,0,0.297363800504412,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357300021440841,0,0,0.0758212750964809,0.00447086203239024,0,0
X601229.CH.EQUITY,0.366409230064994,0,0,0,0,0,0,0,0,0,0.114819650852872,0.0268143280918198,0,0,0,0,0.0811692058518634,0,0,0,0.0381314976884217,0,0.0191343782517127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240644085975913,0,0.0389148381423845,0.135281968118036,0,0,0.00667984011764847,0,0.053558064189498,0,0.0585311190533385
X601066.CH.EQUITY,-0.248813310373083,0,0,0,-0.029043054197237,0,0,0,0,-0.129184426339623,0,0,0,0,-0.329278707897162,0,0,0,0,-0.161193718079952,0,0,0,0,0,0,0,0,0.138915692541649,0,0.742158029869518,0.299958898078132,0,0,0,0,0,0,0,0,0,0,0.170712669148649,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0.261630616366803,0.255341981224314,0,0,0.0987359890068942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326233173697674,0,0,0.056553068651252,0,0,0,0,0,0,0,0,0,0,0,0.241770581355436
X601169.CH.EQUITY,0.0337603988448493,0,0,0,0,-0.0333161110606462,-0.174107628732103,0,0,0,0,0,0,-0.0587462027058073,0,0.008758840395992,0,0,0,0,0,0,0.0760869088520826,0,0,0,0.0189770379530117,0,0,0,0,0.146029414834471,0,0.593240445119267,0,0,0,0.0253281382132327,2.16840434497101e-19,0,0,0,0,0.970061414523609,0.0894343299707305,-0.196873931922064,0,0,0,0,0
X000166.CH.EQUITY,0,-0.168343411478206,0,0.0307396589268079,0,0,0,0,0,0,0,0,0.23229346268068,0,0.172420798158458,0,0,0,0,0,0,0,0,0,0,0,-0.0302757635517109,0,0,0,0,0,0,0,0.30968378029814,0,0.281443171801896,0,0,0.0646989764899492,0,0,0,0,0,0.271652888681774,0,0,0,-0.077792450503078,0
X600015.CH.EQUITY,0.248488832874695,0,0,0,-0.308490900311829,0,0.324614768629001,0,0,0,0,-0.384125232115838,-0.0822019533150101,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.145392973903462,0,0.499217167170805,0,0,0,0,0,0.0766122160702957,0,0,0.185707473115694,0,0,0,0,0,0,0,0.103420979758856,0,0,0,0,0,-0.212135167778824,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0307641557036273,0,0,0,0,0,-0.0377236222714053,0,0,0,0,0,0,0,0,-0.017635821673396,0,0,0.114202474468758,0,0,-0.0122090899482118,0,0,0,0,-0.13033490284022,0,0,0.115158712325954,0,0,0,0,0,0,1.07393389383793,0.0491201403950902,0
