,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.143134610295661,0,0.0572077058965736,0,0,-0.0181533123094405,0,0,0,0,0,0.166864211386069,0,0,0,0,0,0.0378247441257023,0,0,0,0,0,0,0,0,0,0,0,0.0834322540232958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192487381960478,0,0,-0.0912285087897327,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0151559176252759,0.140689592481359,0,0.0333307298692837,0,0,0.134167886767166,0,0,0,0,0.258702895999557,0.274590298073261,0,0,0,0,0,0,0,-0.0334228038728103,0,0,0,0.081813402246278,0,0,0,0,0,0.0330811237930001,0,0,0,0,0,0.00822771623442333,0,0,0,0,0,0,0,0.0852703435229344
X601939.CH.EQUITY,0,0,0,0,0.243770824463694,0,0.155835427769179,0,0,0,0.179538505410212,0,-0.0255756545113199,0,0,0,0,0,0,0,0.0914488846787448,0,0.51991811684468,-0.174948235300359,0,-0.0689469893191806,0,0,0,0,0.0958988807873186,0,0,0,0,0,0,-0.0453848047190852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.122966453972097,0,0,0,0,0,0,0,0.271118152933574,0,0,0,0,0,0.0447797231275232,0,-0.198524678705228,0,0,0.00970631429808561,0,0,0.0567805288141068,0,0.260218258641355,0.399515431211329,0,0,0,0,0,0,-0.00107957314901717,0,0,0,0,0.110774256225126,0,0,0,-0.0262049296445445,0.0371547152337292
X601288.CH.EQUITY,0.102970647624237,0,0.111640717829734,0,0,0,0.0771480655150714,-0.0629618848987265,0,0,0,0,0,0,0,0.16917702888605,0,0.104993894778556,0,0,0,0,0.226150009303527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764595166187779,0,0.0737348071999451,0,0,0,0,-0.0790896013920147,0,0,0
X600036.CH.EQUITY,0,0.189427938691692,0,0.0443294527360865,0,0,0.111905155191034,0.0360077182732124,0,0,0,0,0,0.179693503188893,0,0,0,0,0,0,0,0,0,0,0.3644920356676,0,0,0.0448103416753485,0,0,0.0447538276737324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431668340892005,0,0,0,0,0.0272485882425113
X601988.CH.EQUITY,0.119948139710302,0.0963642599272094,0,0,0,0.301273721645429,0,0,0,0,0,0,0,0,0,0.351315857061893,0,0,0,0,0.188427307952468,0,0,0,0,0,0,-0.0151172085014228,0,0,3.46944695195361e-18,0.0930454007762957,0,0,-0.0302476804609316,0,0,0,0,0,-0.0443678319076296,0,-0.138851377621463,0,0,0,0,0,0,0,-0.0766517473152368,0
X1299.HK.EQUITY,0,0,0,0,-0.147608972457673,0.0449935874245475,0,0,0,0.357114600405651,0,0,0,0,0,0,0.114258544487574,0,0,0,-0.0592902189310645,0,0,0,0,0,0.336483847024322,0.144915915364009,0.0599142882503142,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0805801143411232,0.0205975129633156,0,0,-0.0001856622225552,0,0,0,0,0,0,-0.0122505299122685
X5.HK.EQUITY,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0454024137209128,0,0,0,0,0,0,0,0,0.0867660017173784,0,0,0,0,0.555913887143922,0.0222559273326019,0,0.124728923280286,0,0,0,0,0,0,0,0,0,0,0,0.188117425736919,-0.0252677905418126,0.149591262369339,0,0,0,0.115763778835791,0,0.14036292175438,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.00434419226819103,0,0,0.0801428400692507,0,0,0.184527430069749,0,0,0,0,0,0,0,0,0,0.358223561756393,-0.108111200322476,0.0322665840630181,0,0.0549326887840222,0,0,0.340031167246382,0,0,-0.230982089300178,0.314541564713738,0,0,0,0,0,0.180611833483774,0,0,0,-0.3309281506715,0,0.0528849955130224,0,1.38777878078145e-17,0,0.144277767924184,0
X601658.CH.Equity,0.177283415660516,0.281182857888496,0,0,0,0,0,0.0643494888020777,0,0,0,0,0,0.154592201626143,0,0.105930684504528,0,0,0,0,0,0,0.0300739528861308,0,0,0,0,0.0542038223260612,0,0,0,0,0,0,0,0,0,0,0.0319644644763936,0,0,0,-0.122036681181868,0,0.101549146209341,0.0155360136835709,0,0,0.0717484475609921,0,0,0
X601166.CH.EQUITY,0,0,0.0389208965771271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598916441282104,0,0,0,0,0,0.0779753226864592,0,0,0,0.00405319075265275,0,0.346235006756275,0,0,-1.73472347597681e-18,0,0.00997288069601074,0,0,0,0,0,0,0,0,0,0.246126242421166,0.188603363420604,0,0,0,0,0.0114238605235582,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0448040057262919,0,0,0,0,0,0,0.503462393485764,0,0.139552339508088,0.062220097940029,-0.0320211658465129,0,0,0.061315169527147,0,0,0,0,0,0,0,0,0,0,0.0822672214686311,0,0,0,0.176833339795331,0.0179810988110772,0.0457797621494899,-0.0852814704687543,0,0,0,0,-0.0209662415870812,0,0,0.127069385944382,0,0
X000001.CH.EQUITY,0,0.0264222623179968,0,0,0,0.557546139114176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253259681768235,0.0557084227360757,0.0730853523029598,0.0162242316934163,0,0,0,-0.253355278819128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018569835234412
X000002.CH.EQUITY,0,0,-6.93889390390723e-18,-0.254852607656245,0,0,0,0,0.399618010218377,0,0,0.0537184592355498,0,0,0,0,0,0,3.46944695195361e-18,0,0.0489411882709095,0.069925936476549,0,0,0,0,0,0,0,0,0,0.0232495901206866,0,0,0,0,-0.00857143451146284,0,0,0,0.316072482703714,0,-0.106671220803832,0,0,0,0,0,0,0,3.46944695195361e-18,0.168962023625462
X601328.CH.EQUITY,0,0.0886953387661478,4.33680868994202e-19,0,0.0724887734244486,0,0.126120149538437,0,0,0,0.0404205333717186,0,0,0,0,0,0,0,0.313928014188126,3.46944695195361e-18,0,0.0565063650209375,0,0,0,0,0,0,0.158175745166336,0,0,0,0,0,0,0,0.0956514676910115,0,0,0,0,0,0,0,0,0,0,0.0694110938987357,0,0,0.0262455957237475,-0.0194578255346637
X601066.CH.EQUITY,0,0,0.0114072697213303,0,0,0.00802826822121346,0,0.0203339191982339,0,0,0,0,0.772212138029312,0,0.116994665116067,0,0,0,0,-0.183526691202043,0,0,0,0,0,-0.00930902032442157,0,0.0949059023826,0,0,0,0,0,0,0,0,0,0,0.110456995352201,0,0,0,0,0,0.0339231461777598,0,0,0,-0.0252046713714268,0,-0.0663796697258359,0
X601601.CH.EQUITY,0,0.349716438242763,0,0.174147063393962,0.139447446784251,0,0,0,0,-0.111160218004519,0,0.15811779400054,0,0.0493971234905829,0.0348997524626844,0,0,0,0,0.306157904499544,0,0,0,0,0,0,0,0,0,0,0,-0.135747263355996,0,0.0311749269477325,0,0,0,0,0,0,-0.0283575619776744,0,0,0.00444440110373083,0,0,0,0,0,0,-0.00331809042174708,0.0655033742942344
X600000.CH.EQUITY,0,-1.0842021724855e-19,0.0271920799511507,0,0,0,0.0233271952207255,0,0,0,0.108349726956176,0,0.119124172881126,0,0,0.463098743444952,0,0,0,0,0,0,0,0.0253803103480883,0,0,0,0,0,0,0,0,0.0180585674621396,0,0,0,0,0.0989911718083373,0,0,0,0,0,0,0,0.00689350254346017,0,0,0,0.150144695337724,0,0
X601319.CH.EQUITY,0,0,0,0.0492303867302121,0,0,0,0,0,0,0,0,0,0.301332643036944,0,0.0578971806313329,0,0.0511779119415066,0,0,0,0,0,0,0,0,0,0,0.266741339696138,0.175204329186755,0,-0.046183311860891,0,0,0,0,0,0,0,0,0,-0.0514311636640343,0,0,0,0,0,0,-0.0209257305127349,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,-0.194746478428266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0680990316116245,0,0.255501484267523,-0.0102296142336303,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.183481251162021,0.0427524760194515,0,0,0.163219692038217,0,0,0,0.311931683373733,0
X600016.CH.EQUITY,0,0,0,0.148898035841221,0,0,0,-0.0391167861469298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1729764078488,0,0.0379683119194691,0,0,0,0.347110586971873,0,0.0656302657196974,0.0342632907072447,0,0,0,0,0,0,0,0,0,0,0,0,0.017666469980197,0,0,0.152671274798144,0,0,0,0
X601998.CH.EQUITY,0,0,0.105034291210883,0,0,0,0,0,0,0,0.268747878166053,0,0,0,0,0.206606155477172,0.203800199494074,0,0,0,0,0.113479932970816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0907795134216816,0,0.133837553338595,0,0.0870388607050365,0,0,0,0,0,0,0.01463839303361
X300059.CH.EQUITY,0,0,0,0.0860476279536165,0,0,0,0,0,0,0,0,0,0,-0.00755416522028226,0,0,0,0,0,0,0,0,0,0,-0.0117918784487244,0,0,-0.0484511513820764,0,0,-4.33680868994202e-19,0.255173378202447,8.67361737988404e-19,0,0,0,-0.015025009735364,0,0.0356065880542317,0,0,0.0192614046901231,0,0,0,0,0,0,0.490662772605272,0,0.0259935148734829
X002142.CH.EQUITY,0,0,0,0,0,0.750779156441938,0.0297835373283704,-0.224254515103755,0,0,0,0,0,0.148333282998608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183078967340705,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0431791654884747,0,0,0,0.0246118995186786
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.521288545755053,0,-0.158578472403482,0,0,0.163160009235693,0.0435430222570663,0,0,0,0,-0.0834273431894962,0,0,0,0,0,0,0.263576978159731,0.0842353432900444,0,0,0,0,0,-0.0252505715903122,0,0,0,0,0,0,0,0,0,0,0,0.173197019525236,0,0,0.0783076957207573,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.271351740366382,0.0701776904175395,0.0238462108279369,0,-0.236037952081702,0,0,0,0,0,0.00109924892976222,0,0,0,0,0,0,0,0,0,0,0.282218681449932,0,-0.138124929104997,0,0,0,0,0,0.288555028085721,0,0,0.0744485211328438,0.164570872220911,0,0,0,0,0,0,0.107403812366193,0,0,0
X1109.HK.EQUITY,0,0,-0.0100477172690331,0.150696457487168,0,0,0,0.0838208193060786,0,0,0,0,0,0,0,0,0.00335829123701577,0.155186930513934,0,0,0.242641511575433,0,0,0,0,0,0,0,0.0697874775395119,0,0.0810988852330313,0,0,0,0,0,0,0.132501707140836,0,0,0,0,0,0,0,0,0,0,-0.0736003281197795,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0.167132825517632,0,0,0,0,0,0,0,0,0.445181546238281,0,0,0,0,0,0,0,0,-0.0914160983915783,0,0,0,0,0,0,0,0.24618357486847,-0.0402573572358938,0,0,0,0,0,0,0,0.0551026273507331,0,0,0.0240714418354104,0,0,0.0570011473296167,0.27643617499435,0,0,0,0
X601818.CH.EQUITY,0.272034787232856,0.0447567638312127,0,0,0,0.0490390436448252,0,0,0,0,0.0529875053658104,0.166448307597653,0,0,0,0,0.0428151721746718,0,0,0.0141624328780038,0,0,0,0,0,0,0,0,0,0,0,0,0.0157380730962793,0,0,0,0,0,0,0,0,0,0,0,0.19283678559812,0,0,0.0712058222842521,0,0,0,0
X688.HK.EQUITY,0,-0.0213264822131218,0,0,0,0,0,0,0,0.0646653914209771,0,-0.25546424533728,0,0,-0.134060412060118,0,0,0,0,0,0.390784597858742,0,0,0,0,0.0605415747352865,0,0.200267539465129,0,0,0,0.384764605114441,0,0,0,0.0064674554807913,0,0.143077668354479,0.0539359949683385,0,0,0,0,0,0,0,0,0,0.0579697010062778,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0.266400792424437,0,0,0,0,-0.068268302149692,0,0,0,-0.536355027680052,0,0,0,0,0,0,0,0,0,0,0,-0.101077278631821,0.0730183845834256,-0.164772936422413,0.447140816156375,0,0,0,0,0,0,0.310839942134915,0,0,-0.0464716728376387,0,0,0.382313444661914,0,0,0,0,0,0,0,0.185889923842456
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0410757955318353,0,0,0,0,0.0118755321380077,0.109217793364031,0,0,0,0,0.143685430109794,0.0852556422507379,0,0,0,0,0,0,0,0,0.0186622688871104,0.125850344543007,0.0423862437233169,0.0591833640076534,0,0,0.225290145074085,0,0.0493852243571182,0.0759173546241906,0,0,0.202097013036265,2.16840434497101e-19,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0.467405330615519,0,0,0,0,0,0,0,0,0,0,0.016147639995063,0,0,0.0293434665867736,0,0.0527541497464878,0,0,0,0,0,0,0,-0.0697575247330842,0,0,0,0,0.084885035400929,0,0,0,0,0.139942889716054,0,0.0352453243783462,0,0,0,0.290160361706429,0,0,0,0,0,0,-0.0939573592280383,-0.0418090395327026
X600999.CH.EQUITY,0,0,0,0.12789847688251,0,0,0,0,0,0.103988695023772,0,0.174150139822085,0.2386018961325,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0596925779810461,0,0,0,0,0,0,0,0,0.0458911457169555,0,8.67361737988404e-19,0,-0.0587851731118129,0,0,0,0.0292716733072641,0.121101521139102,0,2.16840434497101e-19,0,0,0,0
X600837.CH.EQUITY,0,0,0,0.00505408203299114,0,0,0,0,0,0,0,0,0.240347697800136,0,0.0140323677747179,0,0,0.106740132848762,0,0.0380079473182528,0,0,0,0.203418104257908,0,0,0,-0.0670851791438145,0,0,0,0,0.240815606347088,0,0.0339696997206382,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00672859633840803,0,0,0
X601211.CH.EQUITY,0,0,0,0.1263260662041,0,0,0.0131651275943004,0,0,0.164092581581105,0,0,0,0,0,0,0,0,0,0.241469945010931,-0.176630412517623,0,0,0.0918554538042406,0,-0.0707953669689115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407092588111623,0,0,0,0,0,0,0,0,0,0,0,0
