,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.182891842263841,0,0,0,0,0,0,0.177977125552547,0.138007404527555,0,0,0,-0.21476722717811,0,0,0,0,0,0.306684100772355,0,0,0,0,0,0.249137264269439,0,0.0422004716831406,0,0.12352941058509,0,0,0,0,0,0,0,0,0,0,0.110093900554708,0,0,-0.0412121755211714,0,-0.0997313646685831,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.175204691890024,0,0,0.148276190550334,-0.114920743020761,0,0,0.0909216578971065,0,0,0,0,0,0.00530934684504716,0,0,0,0,0,0,0,0,0,0.168220439361558,0,0,0,0,0,0,-0.229153031422297,0.327741804164483,0,0.125368784255299,0,0,0,0,0,0.131953527002961,0,0,0
X601939.CH.EQUITY,0.473541103487722,0,0,0,0,0.183906612684951,0,0,0,0,0,0,0,0.0324199778598192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365919079587085,0,-0.15725245934837,0.0868801076921783,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.455616914547355,0,0.199880188748592,0,0.180881371109369,0.0259743747774887,0,0,0.0632642337466271,0,0,0,0.00488366253466324,0,0,-0.0582886002429807,0,0,0,0,0,-0.0286198909250728,0,0,0,0,0.0874424664600949,0,0,0,0,0,0,0.0268134017964521,0,0,0,0.143299063928588,0.155291641462062,0,0,0,0,0,0,0,0,0,0,0,-0.0437638236224488
X5.HK.EQUITY,0,-0.133635479616927,0,0,0,0,0,-0.357238761574151,0,0,0.143005177695465,0,0.0827075737175737,0,0,0,0,0.533409877104894,-0.0536648789105443,0,0,0,0,0.0356070178854987,0,0,0,0,0,0,0,0,0,0,-0.0727204770650999,0,0,0,0.0131624853681648,0,0.194973170841422,0,0,0.234229805619764,-0.112495830553399,0,0,0,0,-0.359513284562327,0
X601988.CH.EQUITY,0.100321914140161,0,0.213161671568346,0.116172456271417,0,0,0,0,0.118735754327477,0.0860615569283574,0.22169604064895,0,-0.36513602842605,0,0,0,0,0,0,0,0,0,0.0274420946048882,0,0,0,0.140208892528015,0,0,0,0,0.0250803273829945,0,0,0.0429833643080748,0,0,0,0,0,0,0,0,0,0.0952911879162615,0,0,0,0,0,0.0742679676614996
X600036.CH.EQUITY,0,0.377671963772031,0,0,0,0,0,0.0336991276987986,-0.0112713659238782,0,0,0,0,0.288252235455389,0,3.46944695195361e-18,0.0201819678057925,0,0,0,0,0,0,0.176949532602619,0,0,0,0,0,0,0,0.0930827317188558,0,-0.0400548263580319,0.000541621263224844,0,0,0,0,0,0.16740006638086,0,0,0,0,0,0.0164489977782773,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0427783296839376,0,0,0.0563032900395925,0,0,0,-0.0197935435893922,1.73472347597681e-18,0,0.193144184817039,0.252927445516393,0,0,0,0.160247487046192,0,0,0,0,0.166967391746313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168227913483096,0,0
X601628.CH.EQUITY,0.0810179674448595,0.378082349535613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122519209918033,0,0,0,0,0,-0.0616244063753236,0.223925474104045,0,0,0,0,0,0,0,0,0,0,0,0.186578022821989,0,-0.0952589200985582,0.0171411151076401,0,0.2402682119143
X601166.CH.EQUITY,0.131429016662061,0,0,0,0,0.0499475734298925,0.500937244485267,0,0,0,0,0,0,0.0645153770404017,0,0.267764589749883,0,0,0,0,0,0,0,0,0,0,0,0.0575302410633924,0,0,0,0,0,0.0894360824026478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.0522948818136436,0.0329592932467818,0,0,0.0612250111353203,0.0235431319598125,0,0,0,0.0180265842877282,0,0.178291152036058,0,0,0,0,0,0,0,0.185419414449875,0.0837716181982847,-0.161578648996299,0.137410095022336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120484894505781,0,0.209249685298971,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0852476318041309,0,0,0,0,0.251691256968903,0,0,0,0.406289604362163,0,0,0.0647428126707087,-0.0354552767555964,-0.0340877059712362,0,-1.0842021724855e-19,0,0,0,0,0.078546059133557,0,0,0,0,0.109085383606624,3.46944695195361e-18,0,0,0.00649875691700989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494796032119647,0,6.93889390390723e-18,0,0,0
X000002.CH.EQUITY,-0.0561898423301999,0,0,0,0.233522610963662,-0.272066507535138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14767507632537,0,0,0,0,0,0,0,0,0,0.0830720206711787,0,0,-0.188889834931382,0.0884509600984219,0,0,0,0,0,0.160140849116693,0,0,0,0,0.36913074442573,0,0,0.0257924244911369,0.187153765859962,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.000527922368900488,0.101378381740034,0,0.104307063911218,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0291246061616056,0,0,0,0,0,0.218169852170469,-0.224567671111835,0,0.126100677819229,-0.168718260952054,0,0,0.161297201721437,0,0,0,0,0,0,0,0.257841840533676,0.266413580955148,0,0,0
X16.HK.EQUITY,0.0324388894865968,0,0,0.247098067548104,0,0,0,0.169815825658556,0,0,0,0,0,0,0,0,0.0296198297678571,0,0,0,0.0446609586747876,0,0,0.20529162724328,0,0,0.0193630368165875,0,0.0820937843413895,0,0.190024443911292,-0.0994525011592621,0.106017242553387,0,0,0,0,0,0,0,0,0,0.164935145620093,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,-0.0492406522966191,0,0,0,0,-0.131433555460472,0.133002706744128,0,0.222258234727894,0.267162446888161,0,0,0,0,0,0,0.283388605007865,0,0,0,0,0.155300045341874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19754881829493,0,-0.0107366347565593,0,0,0,0,-0.0602725526863632,0,0,0.116603321002147,0.031673954812493,0.0115111476908101
X388.HK.EQUITY,0,-0.00923222957103568,0,0,0,0,0,0.277005047860099,0,0,0,0,-0.0059838958114082,0,0.0190778711723755,0,0,0,-0.112988056213903,0,0,0,0,0,0,0,0,0,0,0,0.141319918746326,0,0,-0.0756451550630221,0,0,0,-0.281326601901344,0,0,0,0.109691427802423,0.424723236399552,0,0,-0.0708825520201564,0,0,0,0,0
X11.HK.EQUITY,0.202041850734191,0,0,0,0.101616219741298,0,0,0.244113706944023,0,0,0,0,0,0,0,0,0,0,-0.00928945585328136,0,0,0,0,0.420750763656343,0,0,0,-0.156143710003106,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0792096184249391,0,0,0,0,0,0,-0.14476209129768,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384963999939844,0,0,0,0,0.103520184697595,0,6.93889390390723e-18,0,0.154239186997023,0,0,0,0,0,0,0.114403070966276
X601998.CH.EQUITY,0.0588238667261704,0,0,0,0.00690265205627672,0,0,0,0,4.33680868994202e-19,0.101019028265171,0,0,0,0,0,0,0,0,0,0,0,0.0944053690169866,0,0,0,0,0,0,0.101830707498971,0.101715807116933,0,0,-0.102657694746172,0,0,0,0,0,0,0.0883716448746025,0.0607913652495364,0,0.323854603629218,0,0,-0.0211955972950827,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.14883115164106,0,0,0,0.525600051352553,0,0,0.113960754766761,0,0,0,0.212305165442032,0,0.0184637775200094,0.0522398452667331,0,0,0,0,0,0,0,0,0,0,0.0889556332366345,0,0,0,0,0,0,0.00142325920708082,-0.0276566230343709,0,0,-0.193749119898419,0,0
X267.HK.EQUITY,0.140890131974338,0,0,0,0,0,0,0.386923889363155,0.00767922410986568,0,0,0,-0.0477872423742062,0,0,0,0,0.421377044206976,0,0,0.0322188614524119,0,0,0,0,0,0,0,0,0,0,0.107656144202786,0,0,0,0,0,0,0,0,0,0,0.0580906671742977,0,0,0.0204992375399246,0,0.0348833237189264,0,0,0.0575118378626218
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.274148329418682,0.163747286938931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787926050461593,0,0,0,0,0,0,0.0565539035556176,0,0,0,0,0.150291638287287,0.0931018893218191,0,0.179686629573027,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.529592757766244,0,0,0,0.0278359234661398,0,0,0,0,0,0.238459414495415,0,0,0.162633765554696,0,0,0.471053470367005,-0.148187991489857,0,0,0,0,0,-0.0196962666149709,0,-0.0300667534387066,0,0,0,-0.0308184578636481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00683598814728193,0,0,0.0525789189094463,0,0,0,0.116110762016344,0.0126492030392787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211391719555703,0.290454507686211,0,0,0,0.0771535930169034,0,0,0,0,0,0.218216701087392,0,0,0,-0.00802572469240283
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.118075395360771,0,0,0,6.93889390390723e-18,0,0,-0.0716695693122492,0.518912883687171,0,8.67361737988404e-19,0,0,0,0.0601726914011098,0,0,0,0.0135120783764,0.0719765685538064,0,0,0,-0.0109329728206782,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0252565719696333,-0.0967606376632864
X2007.HK.EQUITY,0,-0.114785011728684,0,0.0181352608575111,0,0.293248031191937,-0.0351458778953866,0,0,0,0,-0.0649205524749834,0,-0.0193988404635553,0.063981926874968,0,0,0,0,0,0,0,0,0,0,0.0603248046710869,0,0,0,0,0,-0.04708127455136,0,0.304077464255561,0,0,0,0,0,0,0,0,0.48468458274904,0,0,0,0,-0.060760132623986,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,-0.167082364009203,0,0,0.183388729576872,0,0.153187557472606,0,0,-0.246814736438012,0,0,0.31542595906046,0,0,0,0,0,0,0,0,0,0.154688830381266,0,0,0,0,0.065830694600225,-0.0281312495294536,0,0,0,0,-0.123630308402404,0,0,0.154784466262756,0,0.0226025112613982,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0.116174246818585,0,0,0,0,0.0485696802316165,0,0.000513323021695362,0,0,0.0841829547940854,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.176224418438217,0,0,0,0,0,0,0,0,0,0.179250573373345,0,0,0,0,0,-0.0889693447322468,0,-0.0889581809036027
X600048.CH.EQUITY,0,0,0,0,0.251768956301334,0,0,-0.0773208283430134,-0.392785768374041,0,0,0,0.167784702729901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256206272263877,0,0,0,0,0.175745932976629,-3.46944695195361e-18,0,0,0,0,0.00948340007433261,0,0,0,0,0.0436575766946611
X12.HK.EQUITY,0,0,0,0.161916052707819,0,8.67361737988404e-19,0,0.266704190555283,0,0,0,0,0,0,0.304601117013802,0,0,0,0,0,0.0795152817079121,0,0,0,0,0,0,0,0.170911146632605,0.0566360469259356,0,-0.057376442141141,0.301676905021983,0,0,0,0,0,0,-0.0441599797799,0,0,0,0,0,0,-0.0410764658797432,0,0,-0.0199690678331535,-0.0272406497178075
X002142.CH.EQUITY,-0.0122170898246543,0.241951675977589,0,-0.0464313777559889,0,0.156060375191318,0,-0.0375651970815143,0,0,0,0,0,0.208293238767348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110716029653816,0,0,0,0,0,0,0.0874817850510495,-0.227988695207908,0,0,0,0,0,0,0.105063722342911,0,0,-0.0490528223855928
X823.HK.EQUITY,0,0.0296994001576909,-0.0337153480369752,0,0,0,0,0,-0.164733145853113,0,0,0,0,0,0,0,0,0.351277504869812,0,-0.102425104099264,0,0,0,0,0,0,0,0,0.247810805404935,0,0.180810858099669,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937616156919971,0,-0.146443928964897,0.0773952880018851
X601066.CH.EQUITY,0,0,0.0398900510559528,0,0,0,0,0,0,0.033554698602402,0,0,0,0,0,0,0,0,0,0,0,0.0471155615974051,0.0460785247676632,-0.226734368447873,0,0,0,0,0,0,0,0,-0.257787203632843,0,0,0.09922896438625,0,0.35723610926369,0.013368223490547,0,0,0,0,0,0,0,0,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0.201528818846504,0,0,0,0,0,0,0,0.251474221010929,0,0,0,0,0.0567550770423709,0,0,0,0,0,0,-0.182438620912869,0,0,0,0.478853780958366,0.00575904565341531,0,0,0.0593877978408332,0,0,0,0.0592996059908485,0,0.0683044834886537,0,0,0,0,0,0.161443865280295,0,0,0.0914578929254958,0,0.0347215802942156
