,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0928211784386436,0,0.0417870547134658,0,0,0,-0.119542347045223,0,0,0,0.531734856466624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158767877673341,0,0,0,0,0,0.00663248767495478,0,0.0779103934196719,0,0,0,0,0,0.238271844038888,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.00570726795282035,0,0,0.12285138351724,0,0.2609695456169,0,0,-0.0329485017171,0.240361960981785,0,0,0,0,0,0,-0.148685298577951,0,0,0,0,0,0,0,0,0,0,0,0,0.162782820952877,0,0,0,0,-0.283432868087242,0,0.319982061570659,0.267963395326702,0.263141899074853,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.328678396290994,0,0,0.330418496216961,0,0.103673343176068,0,-0.0624545350997811,0,0,0,0,0,0,0.110028339185405,0.0665558102803244,0,0,0,0,0,0.0049101006449013,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.00901082417894677,0,0,0,0,-0.130899984351126,0,0,0.338098460956691,0,0,0,0.017775028439277,0,0,-0.0424970265247188,0,0,0,0,0
X601288.CH.EQUITY,0.368293618398506,0,0.118023932788257,0,0,0.227206615446581,0,0,0.110923588397989,0,0,0,0,0,0,0,0.05123109025666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864622757912936,0,0,0,0,0,0,0,0,0.173439022394291,0.056614503164082,0,0
X5.HK.EQUITY,0,0,0.0550874867096847,0.23076463546653,0,0.137065073695431,0,-0.402169020524866,0,0,0,0,0.0978855358828399,0,0,0,0,0,0,0,0.4153814577872,0,0,0,0,0.48880662070524,0,0,0,0,0,0,0,0.0975723606033444,0,0,0,0,0,0,0,0,0,0,-0.179339543399144,0,0.122551181730063,0,-0.00908394862951792,0,0,0
X601988.CH.EQUITY,0.281514729845791,0.0693622382671764,0.318565080661188,0,0,0,0,0,0.137916850656382,0,0,0.00626498204758731,0,-0.175060740061716,0,0,0,0,0,0,0,0,0.152562564686977,0,0,0,0,0.0239018494650193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801806529033572,0,0.154342454062102,0,0,0,0,-0.0183467637778019,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0971351405846444,0,0,0.245844103801096,-0.00772208649490174,-0.0377784580417732,0.0157050448931981,0,0.280611978316152,0,0.258276956427727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921807444312345,0,0,0.0897237755085115,0,0,0,0.134739055188027,0,0.0105234564384761,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0368130245788496,0,0,0,0.209818789995866,0,0,0,-0.179222305413136,0,0,0,0,0.366612981100064,0.177576589800202,-0.050210485807978,0,0,0,0.104745914696682,0,0.0720943783877194,0,0,0,0,0,0,0,0,0,0.00102186045674605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.212253772159793,0.264787808767597,0,0,0.154745798737631,0,0,0,0,0.027899676002962,0.000510192893928562,0,0,0,0,0,0,0.0716063593036219,0,0,-0.177529280446457,0,0,0,0,0,0,0.263468979237205,0,0,-0.32958473704961,0,0,0,0,0,-0.0846844757288845,0,0,0.0346130546883689,0,0,0,0,0,0,0,0,0,0,0,0.0511860293825798
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189708122374157,-0.035182199939957,0.038509779183171,0,0,0,0,0,0,0.284548656206046,0,0,0,0,0,0.0381327726710391,0,0,0,0,0,0,0.143001403964362,0,0,0,-0.195196791088843,0,0,0,0.0231759482149185,0,0,0,-0.10854639327654,0,0
X601166.CH.EQUITY,0,0,0.103274012446238,0,0,0,0.392498421947668,0,0,0,0,0,0,0,0,0.137306597601993,0,0,0.0463886128746598,0,0,0,0,0,0,0,0,0,0.0379368285524937,0,0,0,0,0,0,0.0178594522564004,0,0,0,0,0.133452512698841,0,0,0.0584985035914112,0,0.0821774217673209,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.0338382188725308,1.73472347597681e-18,0,0,0,0,0,0.486972349011566,0,0,0,0,0,0,0,0,0.189379087310214,-0.0453977566840266,0,0,0,0,0,0.0736798196568233,0,0,0,0.0642215210230615,0,0,0,0,0,0.0227811687137543,0.0669576979288311,0,0.0134304616179513,0,0.0726501848335532,0,0,0,0,0,0,-0.0280295838168272,0
X600000.CH.EQUITY,0,0.00198235550333703,0,0,0,0,0.282282851999144,-0.0328238123917315,0,0,0,0.327799797871565,0,0,0.0663234545517956,0,-5.42101086242752e-20,0,0,0,0,0,-0.0852169105391849,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.175142174821716,0,0.0457284738757543,0,0.0759863449940496,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457963369363639,0,0.21723636473547,0,0,0,0.00532771940755789,0,0,0.0244740526051944,0,0,-0.0481362263715635,0.29754923168437,0,0,0,0,0.181313278662284,0,0,0,0,0.112689387186387,0,0.00704716063483433,0,0,0,0,0,0,0.103769615086838,0,0.0625817440076171
X000001.CH.EQUITY,0,0.0713545711037153,0.0919144846149517,0,0,0,0.0278099439278517,0,0,0,0.207487725767221,0,0,0,0,0.0387798548893683,0,0,0,0,0.15745957136309,0,0,0,0,0,0.175126131541132,0,0,0.046441387113009,0,0,-0.21450532166018,0,0.106066884010891,0.0240925868065256,-0.126717098455684,0,0.0227904703849095,0,0,0,0,0,0,0,0,0.301372956440358,0,0,0,-0.0134571531020059
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.299670316148943,0,0.229356644687082,0,0,0,0,0,0,0.0288138277159893,0,4.33680868994202e-19,0,0,0.363077929950351,0,0,0,0,0.0355945213655463,0,0.212057562178032,0,0,0,0,0,0,0.0680219645001611,0,-0.00272471301051479,0.135791898409923,0,0,0,0,0,0,0,0,0,0,0,0
