,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.360908576829429,0,0.310466824675426,0,0,0,0,0,0.0477140620520349,0,0,0,0,0.0513362168521294,0,0,0,0,-0.0444479953555439,0,0,0,0,0,0,0,0.0441637257687325,0,0,0,0,0,0,0,0,0,0,0,0,0.0902103345797396,0,0,0,0.0582152132092195,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.108477184662594,0,0,0,0,0,0,0,0.179219686503108,0,0,0,0,0,0,0,0.179214359280894,0,3.46944695195361e-18,0,0,0,0,0,0.0678332563546176,0,0,0,0,0,-0.0561989189866793,0.136484523925629,0,0,0.0316612855973008,0.156517709349751,0,0,0,0,0.0391610318547184,0,0.0204911489709345,0,0,0,0.0582829309025366,0,0,0.136092258888883,0,0
X601939.CH.EQUITY,0,0,0,0.340428902329193,0,0.0711692433181206,0,0,0,0,0,0,0.434310074421179,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054451184117965,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.405637701859332,0,0,0,0,0.274309530759936,0,0,0,0,0,0,0,0,0.0312259178297414,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176952853002869,0,0,0.0281150453698629,0,0,0,0.0397780433440305,0.0590783208588609,0,-0.0366119969969578
X5.HK.EQUITY,0,0,0,0.00855864710016553,0,0,0,0.00851540485924048,0.203442297470383,0,0,0,0,0,0.0483675015937425,0,0,0,0.467568767536307,0.0659106917915624,0,0,0.0182450902907036,0,0,0,0,0.111526067407349,0.115948191001276,0,0,0,0,0,0,-0.144614085247193,0,0,0,0,0,0,0,0,0,0,0,0,0.0739353632021372,0,0,-0.0406371527385778
X601988.CH.EQUITY,0.386357525588047,0,0,0.00303487118997462,0,0,0,0,0,0,0.0657625861812808,0,0,0,0,0,0,0,0.014834920539693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162124568728814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330847686497695,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.337453009813103,-0.0214371801652351,0,0,0,0,0,0,0,0.474570239447009,0,0,0,0,0,0,0,0,0,0,0.0482522312500569,0,0,0,0.077204974316153,0,0,0,0,0,0.017677165724211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0750508014198107,0,0,0,0.428388708696209,0,0,0,0.12045264726044,0.0536300863674753,0,0,0,0,0,0,0,-0.0349388974119558,0.406742982973398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.257051984410818,0,0,0,0,0.0609400907998239,0,0,0,0,0.0128899281809575,0,0,0,0,0,0,0,-0.0798844139090015,0.0981812791294269,0,0,0,0.156856657792676,0,0,0,0,0.151980503733248,0,0,0,0,0,0,0.0712079592706034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663695162857201,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.109703887507962,0,0,0,0.264397614673046,-0.176474473906625,0,0.184347899310551,-0.225261657890545,0,0,0,0,0,0,0,0,0.626485773223311,0,0,0,0,0,0,0.118880335823446,0,0,0,-0.00754455529574076,0,0,0,3.46944695195361e-18,0,-1.16855388946416,0,0,0,-0.25573350141129,1.16830525784315,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.262974789298256,0,0,0,0,0,0,0,0,0,0.202570115464722,0,0,0,0,0,0,0.0966508110422476,0.015472163875608,0.111101393769867,0,0,0,0.269643603861068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236168204495691,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.44195005162437,0,0,0,0,0,0,0,0,0,0,0.157073544372611,0.145584879268482,0,0,0,0,0,0,0,0,0.115729580103283,0,0,0,0,0,0,0,0.00708782941585008,0.122400715538466,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.0514992535144023,0,0,0,0,0.171397967798374,0,0,0,0,0.215450674256008,0,0,0,0,0,0,0,0.0712309774710991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361984934376037,0,0,0.135308812395653,0.00434820727573444,0.0479790066311294,0,0,0
X000002.CH.EQUITY,0.195533950021201,0,0,0,0,0,0,0,0,0,0.0159220440318177,0,0,0,0,0,0,0.0497713154918168,0,0.018997300417463,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.51316427229287,0,0,0,0,0,0,0,0.20860830561226,0,0,0,0,0,0,0,-0.166722849945547,0,0.00387184979037822,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0208897067548906,0.0816282671182005,0.067080639024534,0,0,0,0,0,0.0237816426814349,0,0.000430549652704233,0,0,0,0,0.636802549559868,0,0,0,0.0545861428549704,0,0,0,0.0678811536397193,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.019316003104109,0,-0.0811785216536521
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.117214002468717,-0.00147055835267475,0,0,0,0.178181633240714,0,0,0,0,0,0,0,0.261063658568093,0,0,0,0.0393347348266732,0,0,0,0,0,0.220727990966833,0,0.100455234587006,-0.0694285185291828,0,0,0,0,0,0,0.0754716414830074,0,0,0,0,0,0.015829191838484,0.211689206712537,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.229713625738305,0,-0.144449403381518,0,0,0,0,0,0.0108613709775881,0,0,0,0,0,0.105237363395971,0,0,0,0.0836337067406711,0.0478747258777808,0,0,0,0.254024060122581,0,0,0,0,-0.0342767635601668,0.254654276740297,0,0,0.0907056407172935,0,0,0,0,0,0,0,0.154206931240431,0,0,0.0315706428923233,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.249447269522589,0,0.133146211495634,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0330738154413163,0,0,0,0,0,0,0.197589837258056,0,0,0,0,0,0.224465194986208,0,0,0.0636676811179048,0.000411177950827029,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0.148336989330679,0.0274208934000276,0,0,0.303268131184884,0,0,0,0,0,0,0.0484777172633861,0,0,0,0,0,0,0,0.36441452618828,0,0,0,0,0,0.0334730041173284,-0.0474123833290625,0,0.0144863576897108,0,0,0.0168049119685566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0.0113400661308151,0,0,0,0,0.167138899483921,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690104864036482,0,0,0,0,0,0,0,0,0,0,0,0,0.118133694732841,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177628620772855,0,0,0,0,0,0,0,0,0,0,0.184647159929518,0,0,0,0,0,0,0,0,0,0,0,0,0.549707689429864,0,0,0,0,0,0,0.00279031292760958,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152188364849389,0,0.128642930166599,0,0,0.441766380993685,0.0810720144846351,0,0,0.0360263429375061,0,0.0104636930929183,0,0,0,0,0.174366150280812,0,0,0,0
X2388.HK.EQUITY,0,0,0,0.0431081355849777,0,0,0,0,0,0,0,0.0439212604830434,0.0632075411433585,0,0.0241457064980456,0.0363236869873263,0,0,0.349407365513911,0,0,0,0,0,0,0.029475029348924,0,0,0.0616725187508341,0,0,0.248500422957771,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0157133368089104,0,0,0,0,0,0,0.0702585940945705,0,0
X600016.CH.EQUITY,0,0,0,0,0,0.161663811181845,0,0,0.0536640939454888,0,0,0.382197876085872,0,0,0,0,0,0,0,0,0,0,0,0,0.0348242945112699,0.0525666497187982,0,0,6.93889390390723e-18,0,0,0,0,0.0492341892346914,0,0,0.131826189864675,0,0,0,0,0,0,0.155470842772574,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0.103467688586946,-0.0175315650206203,0,0,0,0,0,0,0,0,0,0,0,0,-0.0840689674423754,0,0,0,0.337514215287544,0,0,0,0,0,0.0635106765295624,-0.0393550149497102,0,0.0385084472967594,0,0,0,0,0,0.0879486044778563,0,0.210203776438697,0,-0.0610417820399201,0,0,0.317411484558992,0,0,0,-0.0436286842390059,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0.0231593644863185,0,0,0,0.00911981499486712,0,0.071891648647192,0,0,0,0,0,0,0.1101985059436,0,0,0.156068279281555,0,0,0,0,0,0.265520742531737,0,0,0.111560090629283,0,0,0.211431397027385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.209832582825948,0,0,0,0,0.0173632809887975,0,0,0.0242037020907998,0,0.438357592644835,0,0,0,0,0,0,0,0.189201480677281,0.74071948997203,0,0.0522669843706728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.301348877708292,-0.102752392848168,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0.133602867601078,0,0.185802109670873,-0.150989489552196,0,0,0,0.125626163832828,0,0,0,0,0,0,0,0.122031495058845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215659572268548,0,0.469692992451187,0,0,0,0,0,0,0,0,0.25466330404962,0,0,0,0.220739226160024,0
X2007.HK.EQUITY,0,0,0,0.0163287230422498,0.0871018557087792,0,0,0,0,0,0,0.242901863538628,0,0,0,0,0,0,0,0.215411852688279,0,0,-1.73472347597681e-18,-4.33680868994202e-19,0,0.0253990338453658,0.161986844734699,0,0,0,0,0.139547846450016,0,0,0,0,0,0,0,0,0,0.0830123420325711,0,0,0,0,0,0,0,0,-0.0181342762724729,0
