,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X601788.CH.EQUITY,X823.HK.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.00711765662477238,0,0,0.132506441008542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646023934023196,0.42977131098642,0,0.728087951558009,-0.0732554961118145,0,0.163883597599588,0,0,0,0,0,0,0,0,-0.247573413585648,0,0,-0.000189601661216104,0,0,0,0,0,0,0,-0.358377001653927,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0545177334867914,0.182875047948687,0.0773336701667549,0,0,0,0.0574676009113884,0,0,0,0,0,0,0,0,0.284748850823536,0,0,0,0,0,0,0,0,0,0.155070173686642,0,0,0,0,0,0,0,0,0,0,0.189632774864582,0,0,0,0,0.0147128867849264,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.866221109693474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460158503457429,0,0,0,0,0,0.0116529920636352,0,0,0,0,0,0.118919242488654,-0.0418948078953585,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511082315739922,0,0,0,0,1.73472347597681e-18,0,0,-0.0403228731611178
X601288.CH.EQUITY,0,0,0.870667827684321,0,0.0650605742833077,-0.0822505285506865,0,0,0,0,0,0,0,0.00943780423204451,0,0,0.0501263738853577,0.105551019108619,0,0,0,0,0,0,0,0,-0.0925174232672315,0.00807433299597724,0,0,0.014108546155743,0,0,0,0,0,0,0,-0.111209583368447,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0368975712531117,0,0,0,0,0,0,0,0,0.323467456204486,0,0,0,0,0,0,0,0,0,0,0.221737484615521,0,0,0,0.0358708285595656,0,0,0,0,0,0,0,0,0,0,-0.0842782631371465,0.058276801284533,0,0,0,0,0.145416457879885,0,0,0,0,0,0.247205797788262,0
X601628.CH.EQUITY,0,0.147361715133956,0.00217513311728971,0,0,0,0.245078125771669,0,0,0,-0.0818032853753393,0,0,0,0,0,0,0,0,0,0,0,0.06289732215934,0,0,-3.46944695195361e-18,0,0.0577603610224531,0,0,0,0,0,0,0,0,0,0,0,0,0.131839259674672,0.136296663854903,0.0324836383269545,0,0,0,0.136939277682333,0.0380165439660135,0.0215361506322106,0,0,0
X600036.CH.EQUITY,0,0,0,0.406660125468495,0,0,0,0.0792017664178183,0.0211476930900063,0,-0.00540283029358238,0,0,0,0,0,0,0,0,0.0160140877382711,0,0,0,0,-0.0134889837187304,0,0,0.127009385650259,0,0,0,0,0,0.296170876608366,0,0,0,0,0,0,0,-0.00354190967373892,0,0,0.0272046881839453,0,0,0.0551107024551641,0,0,0,0.0564679018096115
X1299.HK.EQUITY,0,0,0,0,0,0.219709710041235,0,0,0,0,0,0,0,0,0,0,0.0173868502770988,0,0,0,0.166903268680065,0,0,-0.0751855517480368,0,0,0,0,0,0,0.144808709846309,0,0,0,0,0,0,0,0,0,0,0.123475730942738,0.144813561643382,0,0,0,0,0.481669870846744,0,0,0.0336128324689851,0
X5.HK.EQUITY,0,0,0,0,0,-0.141041529725671,0,0,0,0,0.0834476640066782,0,0,0,0,0,0.342807662995702,0,0,0,0,0.130135122593503,0,0,0,0.390502587231253,0,0,0.0155562925450733,0.147099516451382,0,0.0224850132378264,0,0,0,0,-0.106008441622456,0,0,0,0,-0.0306751163369242,0,0.166578525008548,0.133616948825058,0,0,0,0,0,0,0.0958188632885765
X601658.CH.Equity,0,0,0,0.225237763374608,0,0,0,0,0,0,0,0,0.0345318742027632,0,0,0,0,0.168040355761999,0.138375840368246,3.46944695195361e-18,-0.222775049460772,0,0,0,0,0,-0.141708235238289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467201840880447,0,0,0,0.0491349665209692,-4.33680868994202e-19,0,0,0,0
