,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.117160659633522,8.67361737988404e-19,0.0514392343966569,0,0,0,-0.116732096622962,0,0,0,0.512956639551916,0,0,0,-0.0165898243473921,0,0,0,0,0,0,0,0,0,0,0,0,0.0184052650421647,0,0,0,0,0,0,0,0.0825503072411785,0,0,0,0,0,0.225264655752732,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.00570726795282035,0,0,0.12285138351724,0,0.2609695456169,0,0,-0.0329485017171,0.240361960981785,0,0,0,0,0,0,-0.148685298577951,0,0,0,0,0,0,0,0,0,0,0,0,0.162782820952877,0,0,0,0,-0.283432868087242,0,0.319982061570659,0.267963395326702,0.263141899074853,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.328681025590584,0,0,0.330421660424276,0,0.103672513783118,0,-0.0624527442280842,0,0,0,0,0,0,0.110026917801681,0.0665562990694501,0,0,0,0,0,0.00491205394360357,0,0,0,0,0,0,0,0,0,-0.00900793542729694,0,0,0,0,-0.130903000761811,0,0,0.338095596923026,0,0,0,0.0177755498998062,0,0,-0.0424991459832462,0,0,0,0,0
X601288.CH.EQUITY,0.368295759962651,0,0.118018007944818,0,0,0.227208556308468,0,0,0.1109202731836,0,0,0,0,0,0,0,0.0512366503315142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864678503399458,0,0,0,0,0,0,0,0,0.173441152799406,0.0565983785681374,0,0
X5.HK.EQUITY,0,0,0.0550795357440379,0.230766787342407,0,0.137072472643293,0,-0.402168579662747,0,0,0,0,0.0978796678202873,0,0,0,0,0,0,0,0.415380738784122,0,0,0,0,0.488806344777864,0,0,0,0,0,0,0,0.0975714999441991,0,0,0,0,0,0,0,0,0,0,-0.17933580090207,0,0.122553016963875,0,-0.00908770514814643,0,0,0
X601988.CH.EQUITY,0.281532156802681,0.0693849559829802,0.318556749910574,0,0,0,0,0,0.137920480790993,0,0,0.0062124982208718,0,-0.175019324449628,0,0,0,0,0,0,0,0,0.15259935097382,0,0,0,0,0.023880409534756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801803227580235,0,0.154361675586317,0,0,0,0,-0.0183648622500525,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0971358551949638,0,0,0.245843402404291,-0.0077222188170008,-0.0377784477380877,0.0157050532286578,0,0.280608584576262,0,0.258278316657297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921798495344628,0,0,0.0897275783833537,0,0,0,0.134740264351651,0,0.0105207911484578,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0368160461718325,0,0,0,0.209811136828802,0,0,0,-0.17921799074378,0,0,0,0,0.366599157067159,0.17754184085027,-0.0502059113097067,0,0,0,0.104786987282426,0,0.0721157430309895,0,0,0,0,0,0,0,0,0,0.00100749498275228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.315957944365052,0.208680255183056,0,0,0.102961948143003,0,0,0,0,0.0313221930725421,0,0,0,0,0,0,0,0.0845339694915061,0,0,-0.081477630881426,0,0.0250640396525571,0,0,0,0,0.211808367906273,0.0755577738205271,0,-0.316462827038275,0,0,0,0,0,-0.203142518859725,0,0,0,0,0,0.0210745402330604,0,-0.0593278740173281,0,0.00398447822141186,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.178779716202961,-0.0225701220841791,0.0345978497557348,0,0,0,0,0,0,0.228464438213414,0,0,0,0,0,0.0581147571624197,0,0,0,0,0,0,0.242214960788443,0,0,0,-0.182042906073127,0,0,0,0.0313206523070195,0,0,0,-0.153263903720966,-0.0533146861935095,0
