,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.114103751715539,0,0,0,0,0,-0.00170735380837788,0,0,0,0,0,0,0,0,0,0,0,0.13450340598578,0,0.376270189776361,-0.121030495382429,0,0.0668853197388485,0,0,0,0,0.232330686824704,0,0,0,0,0,0,-0.231395189420687,-0.0317561051038854,0,0,0,0,0,0,0,0,-0.132396700612121,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0643533530532913,0,0,-0.0136191787807796,0,0,0,0.0496164010271868,0,0,0,0,0,0.278325179948302,0,0,0,0,0,0,0,0,0,0.125080431131722,0,0,0,0,0,0,0.635628684397601,0,0,0,0,0,0,0,0,0.0266515531456466,0,0,0,0,-0.0454283231984285,0
X601939.CH.EQUITY,0,0,0,0.82053485286902,0,0.0141703960960537,0.0447007878540674,0,0,0,0,0,0.0443921427167657,0,0,0,0.0276627903378266,0,0,0,0,0,0.0112247727496258,0,0,0,0,0,0.00392159598644709,0,0,0,0.0142256841826211,0,0,0,0,0,0,0,0,0,-0.0266406679864375,0.00705752593710373,0,0,0,0,0.0233633018102921,0.062160771508606,0,0
X601288.CH.EQUITY,0,0,0.913452567069246,0,0,-0.0661770916648494,0,0,0,0,0,0,0,0,0,0,0,0.114828219220482,0,0,0,0,0,0,0,0,-0.0147802545053499,0.0594811684074098,0,0,0,0,0,0,0,0,0,0,0,-0.104133161842413,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,-0.0486293124222587,0
X601988.CH.EQUITY,0.0116707623981018,0,0,0,0,0,0,0,0,0,0,0,1.22593912201801,0,0,0,0,0,0,-0.241512518666863,-0.209548838911062,0,0,0,0,0,0,0.0203152790093434,-0.0923991130064312,0,0,-0.0607985186945991,0,0.00985284920877645,0,0,0,0,0,0,0,0,0,0,0.0360575552402424,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.898639653053623,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.103368272885186,0,0,0,0,0,0,0,-0.115951171259541,0,0,0,0,0,0.0797772737363811,0,-0.0837386180340068,0,0,0,-0.0624199069274897,0,0,0,0.0172708800569402,0,0,0.0380913476959101,0.0609032585004163,-5.42101086242752e-20
X600036.CH.EQUITY,0,0,0.327311825589312,0,0,-2.71050543121376e-20,0,0,0,-0.0219517675880279,0,0,0,0,0,0.171835178897638,0,0,0,0.0308612032750152,0,0,0,0,0,0,0,0.130733995493853,0.110577201570203,0,0,0.275789935960306,0,0,0,0,0,0,-0.0281727004662216,0,0,0,0,-0.0101504302386117,0.0346892688140604,0,0,0,0,0,0.0805806005521813,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.328042030391703,0,0,0.0919953081360598,0,0,0,0,0,0,0,0,0,0,0,-0.220947073729512,0,0,0.0670964395809314,0.0444678352066384,0,0,0.25197280932464,0,0,0.0423150142679332,0,0,0,0,0,0,0,0,0.0104163331471624,0,0,0,0.448366995640933,0,0,0.0164351731166571,0.0976975569535419,-0.054409860194554
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256825919070291,0,0,0,0,0.285916662820938,0,0,0,0.522192594667189,0.046959108185206,0.0107505628502556,0.0257639466406934,0,0,0,0.0380272358737203,0,0,8.67361737988404e-19,0,-0.348386832702211,0,0,0,0,0.00733034295856927,-0.0607504324883494,0,0,0,0,0,0,0.148618018090144,0
X388.HK.EQUITY,0,0,0,0,0,0.45896055245331,0,0,0,0,-0.200289809842472,0,0,0,0,0,0,0,-0.301442656010661,0,0,0.0833657556002549,0,0,0,0,0.289562935874588,0,0,0,0,0,0,0,0,0.225991173558581,0,0,-0.0791500577815567,0,0,0,-0.243974565996277,0,0,0,0,0,0,0,-0.0562855157350481,0
