,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0890156369175809,0.0784656774543478,0,8.67361737988404e-19,0,0,0,-0.0215127957095106,0,0,0,0,0,0,0,0,0,0,-0.0804985301491975,0.0371606985898885,0,0.424204196780278,-0.285745536094451,0.334575304686284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965145468674334
X601318.CH.EQUITY,0,0,0,0,0,0.190694892057623,0,0,0,-0.0365068343059261,0,-1.38777878078145e-17,0,0.0905167634047724,0,0,0,0.0978854935998542,0,0,0.016118815715708,0,0,0,0,0,0,0,0,0.076340251351378,0.148933893825742,0,0,0,0,0.191830506721691,0,0.101430856395404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437746038723986
X601939.CH.EQUITY,0,0.0818988903028547,0,0.802212809291347,0,0,0.00154984562445992,0,0,0.0438368231793183,0,0,-0.0103303378329368,0.0144711127350479,0,0,0,0.0800849848339875,0,0,0,0,0,0,1.73472347597681e-18,0,0.0256960793719193,0,0,0,0,0,0,0,0,0,0,0.0686847372446044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.964713095606198,0,-0.00555270233576782,0,0,0,0,0,0,0,0,0,0,0.0148013282286235,0,0,0,0,0,0,0,0,0,0,0.0602998322845888,0,0,0,0,0,0,0,0,0.0402547305778507,0,0,0,-0.0761706828550608,-0.0818216733044387,0,0,0,0,0.00196215801592963,0,0,0,0,-0.0826712485170488,-0.0360549436431163
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.235527892489622,0,0.161707896403832,0,0,0,0,0,0,0,0.0884268785791648,0,0,-8.67361737988404e-19,0,0,0,-0.115902141767272,0,0,0,0,0,0.0715675368239281,0,0,0,0,0.455308634330076,0,0,0,0,0,0,0,0.0915835543511105,0,0.214738736253902,0,0,0,0.0324700767022553
X600036.CH.EQUITY,0,0,0,0.328859916754126,0,0,0.00603443957582312,0,0.0354580878620281,0,0,0,0,0,0,0,0.172008318115292,0.0120347437229992,0,0.0251103433319435,0,0,0,0,0,0,0.0349672973477582,0.170452763150123,0,0,0.113410841607609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405970533004662,0,0,0,0,0.0420902663331991,0,0
X601988.CH.EQUITY,0,0,0,0.0770137560847676,-0.0209892110650923,0,0,0,-0.038116955388983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467844292129182,0,0,0,0,0,0,0,-0.0133127362930169,0,0,0,0,0,0,0,0,0,0,0,-0.127055381753566,0,0.999285968260011,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0995192294867432,0,0,0,0,0.179115567620199,0,0,0,0,0,0,0,0,0,0,0,0.299000724866227,0,-0.0257365832207337,0,0,0,0,0.124934485676238,0,0,0,0,0.147732808813413,0,0,0.0798167917873594,0,0.066666239422422,0,0,0,0.0821672284853546,0,0,0,0,0.127077073995477,0,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.0321452671273189,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146812964061578,0,0,0.0254503523241544,0,0,0,0,0.116294838072731,0,0.455476317742643,-0.0184757427441125,0,0,0,0,0,0,0,-0.118207096271031,0.145394211696247,0,0,0,0,0,0.0824818027602663,0,0,-0.153397279703756,0,0.080653526653258,0.169448910908255,0
X388.HK.EQUITY,0,0,0,0,0.228506641969125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181028919876107,0.282135285002065,0,0,0.115957167484076,0,0,0,0,0,0,0,0,0.091280917664072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238953570373235,0,0.162425589735972
X601658.CH.Equity,0,0.0810316213188591,0.148397889027751,0.0896116317234754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0877040737761633,0,-0.0407855628867671,0,0,0,0,0,0,0,-0.0228624068288432,0.1997302982123,0,0,0,0,0,0,0,0,-0.135841152011558,0,0,0,0.617524186901028,0,0,-0.191370794401247,0,0,0,0,0,0
