,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.103253722269067,0,0.0916718755253072,0,0,0,-0.0368373948452923,0,0,0,0.393205588242067,0,0,0,-0.0974625091721467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380335326477721,0,0,0,0.11378357323637,0,0,0,0.15160417215154,0,0,0,0,0.0684477909373807,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.101024813738628,0,0,0.167834114928906,0,0.0601192323753776,0,0,-0.0549047127582279,0.0136872245558075,0.21621355239696,0,0,0,-0.101810314665467,0,0,-0.0648925733479189,0,0,0,0,0,0,0,0,0,0,0,0.14819528224454,0,0,0,0,0.363543112656848,-0.276914073387554,0,0.304465896595245,0,0.208147080455447,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.328030789564696,0,0,0.257958049066384,0,0.134064104772476,0,0,0,0,0,0,0,0,0.11904945206212,0,0,0,0,0,0,0,0.0773377545505122,0,0,-0.0652479261847727,0,0,0,0,0,-0.0251072081395852,0,0,0,0,0,0,-0.0996104287298959,0,0.367150573944198,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.195901847132506,0,0.242626017032845,0,0.132537160604873,0.332526853279033,0,0,0,-0.022536338342545,0,0,0,0,0,-0.0796617389112003,0,0,0.118764329015153,0,-0.0110666089562985,0,0,0,-0.202425480361688,0,0,0,0,0,0,0,0,0,-0.032455001574999,0,0,0,0,0,0.169887450188199,0,0,0,0,0,0,0,0,0,0,-0.0520030896799841
X5.HK.EQUITY,0,0,0.0393892090169723,0.229635544015052,0,0.166448034057761,0,-0.311002617544291,0,0,0,0,0.0808630668493296,0,0,0,0,0,-0.0433428911523387,0,0,0.420034427745804,0,0,0,0.416991626540066,0,0,0,0,0,0,0.0624943198006727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160700333360423,-0.111554743404236,0,0,0
X601988.CH.EQUITY,0.227085194118636,0.088885026895448,0.281204129229225,0,0,0,0,0,0.15364836474171,0,0,0.219382089111527,0,-0.168588046664885,0,0,0,0,0,-0.097921173951604,0,0,0,0,0.113978125676871,0,0.121140309764645,0,0,0,0,0,0,0.0609487403970899,0,0,0,0,0,0.0186640804960771,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0579162736918647,-0.0804849672293607,0,0.14187073835762,0,-0.0423606071205025,0.0272310260551012,0,0.352543853559519,0,0.226223517954344,0,0,0,0,0,0,0.0547197366871664,0,0,0,0,0,0,0,0,-0.00737744743529475,0.039589998406762,0,0,0.0535686842342118,0,0,0.0713216733590064,0,0,0,0.121304122767828,0,0,0,0,0,0,0.0597563228618699,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.041264504410657,0,0,0,0,0,0,-0.081340639367094,0,0.174670432198257,0,0,0.301347316569818,0,0,0.154085981817347,0,0,0,0,0.124262323824296,0,0,0,0,0,0.00483127432765701,0,0,0,0,0,0.11275302792573,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0860555608245277,0.389647212757496,0,0,0.00142619687673853,0,0,0,0,0.0992281154569997,0,0,0,0,-0.0691660269452674,0,0,0,0,0.0817141625085576,0,-0.0174370492318026,0,0,0,0,-1.73472347597681e-18,0,0,0.0316536682422578,0,0,0,0,0,0,0,0,-0.201510267716032,0,0,0,0.195804629225792,0,0,0,0,0.172109078978221,0,0,-0.0160403211889192,0.192788682982154
X601658.CH.Equity,0,0,0,0,0,0,-0.281087650372104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56611386366301,0,0,0.261149969322148,0,0,0,0,0,0,0,0.0821586846341541,-0.346053525476482,0.234032990865992,0,0,0,0,0,0,0,0,0,0,-0.0274184815728772,0,-0.176867931006517,0,-0.503628436181404
X601166.CH.EQUITY,0,0,0,0,0,0,0.427123228382688,0,0,0,0,0,0,0,0.0739996657018969,0,0,0,0,0,-0.00308583861317156,0,0,0,0.125991223978157,0,0,0,0.304831484423266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.535704701221553,0,0,0,0,0,0,0,0,0,0.204184394745631,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.043763823304582,0,0,0,0.00168875087749074,0,0,0.130336035528029,0,0,0,0.0819670098116665,0,0,0,0,0,0.018201264026253,0.0251033324122271
X600000.CH.EQUITY,0,0,0,0.0185949721085904,0,0,0.242383522922436,-0.0961003462968297,0,0,0,0.327707970293291,0,0,0,0,0,0,0,0,0,0,0,0.00417422971557137,0,0,0,0,0.0561476987988433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763656352980065,0.13671746351003,0.106296517755631,0,0,0,0,0.102530280064486
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.0307424358250355,0,0,0,0,0,0,0,0,0,0,0,0.504756993693037,0,0,0,0,0.0669180043821231,0,0,0,0.032664854130617,0,0.0657939846722382,0.0253869866261744,0,0,0,0,0,0,0.081627682108508,0,-0.111333543760743
