,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.133507812194157,0,0.08693283660623,0,0,0,0,0,0,0,0.318956808084296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740324173552166,1.73472347597681e-18,0,0,0,0.17469725912103,0,0,0,0,0,0,0,0,0.0218090165761737,0,0.0202668260560586,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0774527464598732,0,0,0.178669827631689,0,0,0,0.23868965375641,-0.0291178098664797,0,0.215483965046008,0,0,0,0,0,0,-0.0238941285554158,0,0,0,0,0,0,0,-0.138225348492671,0,0,0.245021734939333,0,0,0,0,0.0376646156436233,0.2303538929254,-0.268410976926064,0,0.157709247420975,0.16816612304138,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.481059351150222,0,0,0,0,0,0,-0.0465030693070986,0,0,0,0.119842127678574,0,0,0.143983520468672,-0.0668047079997854,0,0,0,0,0,0,0.0122523459498031,0,0.116533174032074,0,0,0,0,0,0,0,0,0,0,0,0,0.116349366345492,0,0,0.328077072498275,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.306582697535424,0,0.121607094671794,0,0,0.32897887333838,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0854494099903143,0,0,0.0192910024110084,-0.0460622257945596,0,0,0,-0.0709607695574942,0,0,0,0,0,0,0,0,-0.0460758471571732,0,0,0,0,0,0,0.21736513867605,0,0,0,0,0,0,0.0756473998371033,0,0,0,-0.0385986830107133
X5.HK.EQUITY,0.050406668809922,-0.00202108166347278,0,0.198365647145201,0,0.00442795800230107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410793373259638,0,0,0,0,0,0,0,0,0.378088035988824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966761375123169,-0.148791085704568,0,0.0692134268338452,0
X601988.CH.EQUITY,0.17526483669947,0.0805596077899199,0.10385372690581,0.0528416250195431,0,0,0,0,0.22641399715633,0,0.0220515947180074,0.253744412635811,0,0,0,0,0,0,0,0,0,0.0216246639088342,0,0,0.0449458008798369,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.172021504660673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0822327772086209,0,0,0.0261817675014316,0,0.316523388497355,0,0.230841129692484,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206667814085174,0,0.0403564480337858,0.00144238099206147,0.0728656274524517,0,0,0,0.108019755931843,0,0,0,0.13634428860355,0,0,0,0,0,0,0,0,0,0.0319630115053543
X1299.HK.EQUITY,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0484051595536366,0,0,-0.131870463407132,0,0.175546872305064,0.256222059592975,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0.205050546092991,0,0,0,0,0,0.0833806655312276,0.0890994784300317,0.000811286106981042,0,0,0.0619438790980084,0,0,0.0942820888938065,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.160845362695751,0.356355086623075,0,0,0,0,0,0,0,0.104824121910962,0,-0.000365397345334854,0,0,-0.0568476767748679,0,0.0157113110197422,0,0,0.10248815563805,0,0,0,0,0,0,0,0,0,0.0138580404029828,0,0,0,0,0,0,0,0,-0.177897516740292,0,-0.0250789529744839,0,0.152126975060311,0,0,0,0.0165084438877336,0.159361641274001,0,0,-0.027896717627172,0.213581380646117
X601658.CH.Equity,0,0,0,0,0,0.0381773509597722,-0.430016396126092,0,0.0707958289395218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488505806302192,0,0,0,0,0,0,0.19738987544623,0,0,0.0959415560224032,0,0.235258077617779,-0.077806202420395,0,0,0,0,0,-0.0826729935874525,0,0,0,0,0,0,-0.0416863948530369,0,-0.567320835247903
