,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.319416193698783,0.258462359514741,0.0523083053399973,0,0,-0.0483323433941945,0,0,0,0,0,0,0,0,0.0677456911330794,0,-0.0705559776831452,0,0,0,0,0,0.0619010353389663,0,0,0,0,0.0294132751651651,0,0,0,0,0,0,0,0,0,0,0,0.00881628159517946,0.388320899831163,0,0,-0.02768976479717,0,0,-0.0876386110631197,0.0381032325525881
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.0104606956532435,0,0.16477287315226,0,0,0,0.377600129008601,0,0,0,0,0,0,0,0,0,0,0.0720239149543195,0,0,0,0.271144726830362,0.0153187959706875,0,0.0670926856613119,0,0,0,0,0,0,0,0.0140643704532405,0,0,0,0,0,-0.148841359210585
X601939.CH.EQUITY,0,0,0,0,0.665862977429338,0,0,0,0,0.0063388006275713,0,0.306121496520286,0,-0.036809065819461,0.0442025203395274,0.0245234945362085,0,0,0.0232572381654882,0,0,0,0,0.027797135638407,0,0.0460501387696881,0.0209435811003129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592053634422478,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.159703767740186,0.109962139948355,0,0,0,0,0,0,0.318300517301558,0,0,0,0,0.139764703743538,0.0842847154735354,0,0,-0.042335244849897,0,0,0,0.0217428246040087,0,0.0522968876722238,0.0962978094157828,0,0.142184688529778,0,0,0,0,0,0,0,0,0,0,0,0.135727723678814,0,0,0,-0.00228535229256313
X601288.CH.EQUITY,0.175234148647882,0,0.831934302555307,0,0,0,0,-0.0739484620658925,0,0,0,0,0,0,0,0,0.0228097982462965,0,0,0,0.0119492122475094,0,0,0,0,0,0,0,0,0.0167040298785959,0,0,0,0,0,0.0556279560171284,0,0,-0.0192759173117605,0,-0.173370399081228,0,0,0,0,0,0,0,0,0.026437551066179,-0.0146957143556288,0
X600036.CH.EQUITY,0.230231508787404,0.0383348920692792,0.216992364993272,0,0,0,0,0,0,0,0,0,0,0,0,0.183103390826713,0,0,0.0291736462272513,0,0,0,0,0,0,0.240880320833615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212772676898471,0,0,0.0101033838582351,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.148055212844617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630980786542422,0,0,0,0,0,6.93889390390723e-18,0,-1.73472347597681e-18,0.00796796275202,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509148697449648,0,-0.0404498970713143,-0.0646992112380278,0,0.916846232017525,0,-0.0796528560041595,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.143254937219358,0,0,0,0,0,0,0,0,0,0,0,0.271385119264586,0,0,0,0.13467722769847,0,0,0,-0.0887909126562317,0.0291461169302706,0,0,0,0,0,0.0941246616128637,0.0559678790469645,0,0,0,0,0.124846196251295,0.112841795765351,0,0,0.0096417606739375,0,0,0,0,-0.0604075474890358
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0759127615943341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295676156537471,0.0648221171345814,0,0,0,0,0,-0.25299313469366,0,0,0,0,0,0,0.0697301319742337,0.341179194633605,0.104197475732497,0,0,0.0589133063562195,0,0,0,0
X388.HK.EQUITY,0,0.0077480577548947,0,0.13551338013899,0,0,0,0.122861889992865,0,0,0,0,0,0,0,0,0,0,0,0,0.109242575455076,0.426682049750044,0.0551609965636238,0,0,0,0,0,0,0,0,0,0,0.0658427233430958,0,0,0,0.0826907131700384,0.278762129441561,0,-0.305449320691904,0,0,0.0417915914633826,0,0,0,0.0160395067445065,0,0,0,0
