,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.210098630979979,0,0.201971331312015,0,0,-0.0691626341673185,0,0,0,0,0,0,0,0,0.113855668633749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636445600515424,0,0,0,0.0402908010113645,0,0,0,0,0,0,0,0,0.277569570534776,0,0,-0.0682832870820484,0
X601318.CH.EQUITY,0,0,0,0,0,0.103697445215193,0,0.0317065010230015,0.0763782833175697,0,0.0672607733842118,0,0,0.10055523419144,0,0,0.0497672190040237,0,0,0.457571067540004,0,0,0,0,0,0,0,0,0.0815927960304847,0,0.0986162346631889,0,0,0,0,0,0.0556087270951361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179953359648963
X601939.CH.EQUITY,0,0,0,0,0.287921557926743,0,0.209910322273423,0,0,0,0.135984526070242,0,-0.145380648413392,0,0.0206620682792059,0,0,0,0,0,0.0996936480617418,0,0.487170432704026,0,0,0,0,-0.0662859351690323,0,0,0,0,0,0,0,0,-0.0440354711455415,0,0,0,-0.0129826376172624,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0762323258517333,0,0,0,0,0,0,0,0,0,0,0.196947931658811,0,0,0,0,0,0,0,0.132421157827255,0,0,-0.176001613778744,0.122283204034583,0,0,0,0,0.352474757317293,0.262995382300681,0,0,0,0,0,0,0,0,0,0,0.0726524601116693,0,0,0,0,0,-0.116948556925355
X601288.CH.EQUITY,0.0887831748893508,0,0.0385743875584814,0,0,0,0,0,0,0.0379394409166195,0,0,0,0,0,0.550349303970203,0,0,0,0,0.0749071463752302,0,0.157623835113926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108229686040341,0,0,0,0,0,-0.0440809806513527,0,0.0416045940821864,0,0,-0.0111496462420018,0,0,0
X600036.CH.EQUITY,0.122499582875024,0.151033073241399,0,0.161574401375586,0,0,0.051435811260187,0,0,-1.73472347597681e-18,0,0,0,0.310316991947439,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.188995028869135,0,0,0.0337217565058564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330648552165704,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.200262642208057,0,0,0.208525143559179,0.311925740803153,0,0,0,0,0,0,0,0,0,0.163463124137944,0,0,0,0,0.175073392435669,0,0,-0.0295981924373441,0,0,0,0,0,0,0.0851872710682867,0,0,0,0,0,0,0,0,0,0,0,0,-0.153361521854217,0,0,0,0,0,0,-0.0351935538355543,0
X1299.HK.EQUITY,0,0,0,0,-0.164602550498466,0.0347020907286413,0,0,0,0.376786135325575,0,0,0,0,0,0,0,0.111052549772258,0,0,-0.0482481939591044,0,0,0.14798683158997,0,0,0.338975321157053,0,0.0689272988693837,0,0,0,0,0,0,0,0.0239784955745038,0.0212870079765389,0,0,0,0.0782289817708025,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0623447776530441,0,0,0,0,0,0,-0.153068981050359,0,0,0.0274134308229283,0,0.0161582189435789,0,0,0,0,0.124454337886126,0.44863255385606,0,0,0,0.134109941422174,0,0,0,0,0,0,0,-0.175577216261735,0,0.257716045941637,0,0.232521400213359,0,0,0,0,0.174201433082625,0,0,0
X388.HK.EQUITY,0,0.0475320814029534,0,0,0,0,0,0,0,0,0,0,0,0.133624516540331,0,0,0,0,0,0,0,0,0,0.0485621921035361,0,0,0,0,0,0,0,0.369344266897908,0,0.0939381121399579,0,0,0.104851351772168,0,0.234946055218555,0,0,0.032108374495648,-0.248454744487018,0,0,0.332571403922305,0,0,0,0,0.0201001381072819,0
