,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.531989197464472,0.0542627527305798,0.0478751613462823,0.0366593309141132,0.0781977211434291,0,0,0,0,0,0,0.0372125976212554,0,0,0,0.000976367803656501,0.0719271308079875,0,0,0,0,0,0.0649020662908883,0,0,0,0,0,0,0,0,0,0,0,0,0.00168450357372792,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0.0836612871915759,0,0,0.0600035450242928,0,0,0,0,0,0,0,0.229952850821648,0,0,0,0,0,0,0.0930813286257414,0,0.030632861821287,0,0,0,0,0,0,0,0,0,0.156517322861871,0,0,0.281909577842062,0,0,0,0.0125716770105174,0,0.0149652630242335,0,0,0,0,0
X601939.CH.EQUITY,0.467789565428512,0,0,0.183796348289461,0,0.110191376561609,0,0,0,0.0170136109992806,0.133484077774607,0,0,0,0,0,0,0,0,0,0,0,0.000808240023649276,0,0,0,0.00118109743769036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00442426949409972,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0646350212668201,0,0.421385080727837,0,0,0.0494702091565961,0,-0.0917017590118439,0,0.0533844678808395,0,0,0,0,0,0,0,0.254071239432769,0,0,0.0705245264005138,0,0,0,0,0,0,0,0.0495451863890241,0.0389813185303653,0.00201792482739976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103453642232514
X5.HK.EQUITY,0,0,0,0,0,0.256598314991662,0,0,0,0,0,0,0,0,0,0,0.538853557578856,-0.114493155837349,0,0,0,0,0.205011152041958,-0.124092532831632,0,0.324422692962284,0,0,0,0.0533174878589626,0,6.93889390390723e-18,0,0,0,0,0.0239831306360665,0,0,0,0,0,0,0,0,-0.615905307961664,0,-0.0129608151586368,0,-0.184680255930909,0
X601988.CH.EQUITY,0.0428555108134064,0,0.233887434178122,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0917954503539785,0,0,0,0.255185181094988,0,0.0008830385756467,0,0,0,0,0,0,0,0.0864315467854248,0,0,0,0,0,0,0,0,0,0.219279039838724,0,0,0,0,0,0.0711437875456244,0,-0.0393418371023227,0
X600036.CH.EQUITY,0.0460342343065045,0.171054965411158,0,0,0,0,0,0,0.0422481501537126,0,0.0684260926914087,0,0.222586606889675,0,0,0,-0.0490412494381914,0,0.0731772856575862,0,0,0,0,0,0.310966523155865,0,0,0,0,0.126190568676897,0,0,0,0,-0.0296964167604094,0,0,0,0,0,0,0,0,0.00653851407049546,0,0,0,0,-0.0423824896654133,0,-0.0268199544371366
X1299.HK.EQUITY,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.102821587985325,0,-0.0641884117731833,0,0,0,0.244529262739077,0,6.93889390390723e-18,0.0835137590336893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321009037747018,0,0,0
X601628.CH.EQUITY,0,0.0307812187464263,0,0,0,0,0,0,0,0,0.0549755744059163,0,0.0872114280373965,0,0,0.0115393717164,0,0,0,0,0,0,0,0,0.045265404636119,0,0.10650426681004,0,0,0,0,0.237622784222367,0,0,0,0,0,0,0,0,0.0805121604242155,0.195061582713217,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0679058819578618,0,0,0,0,0.0898753690858876,0.00892499441654635,0,0,0,0,0.0928796903749621,0,0,0.0124078755041722,0,0,0,0,0.167109995583077,0.0251893785790863,0,0,0,0,0,0,0,0,0.0688503771628749,0,0,0,0,0,0.000478553494124433,0,0,0.190278784976798,0.23819476397521,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.148509304501623,0.0148334482503059,0,0,0.236056842540244,0.0996698012333698,0,0,0,0,0,0,0,0,0.00294042574010372,0,0,0,0,0,0.0507864166200734,0,0,0.166677793202228,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.124973036328366,0,0,0,0,-0.0542168342801058,0
