,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0716169810981793,0,0,0,-0.0274096130909355,0,0,0,0,0,0,0,0.341730307205909,0,0,-0.150861861847147,-0.0340362502369687,0,0,0,0,-0.175105740223742,0,0,0,0,0,0,0.126656630840766,0,0,0.677092280221761,0,0,0,1.73472347597681e-18,6.93889390390723e-18,0,0,0,0,-0.0280382788990801,0.0611509141435968,0.0503653037638703
X601318.CH.EQUITY,0,0,0,0,0,0,0.117406525926092,0.046155600290175,0.158004908606062,0,0,0,0,0,0,0.0987780097688425,0,0,0.111179028892272,0.0132298544219028,0.101939375089417,0,0,0,0,0,0,0,0,0,0.0421477700541575,0,0,0.0468056665262689,0,0.0634352812092938,0,0,0.172697753502692,0,0.0891825983534079,0,0,0,0.080639098518374,0,0,0,0,0,0
X601939.CH.EQUITY,0.413776873954611,0,0,0,-0.00151645858668626,0,0,0,0,0.0121344395413351,0,0,0,-0.0814681571672379,0,0,0,0.0484907947691293,0,0,0,0,0.164259063386599,0,0,0,-0.386894709732839,0,0,0,-0.0944036934886426,0,0,0,-0.139869572929814,0,0,0,0.0811215229314768,0,0.8100303857125,0,-8.67361737988404e-19,0,-0.120243474526496,0,0,0,0,0,-0.10020455112206
X601288.CH.EQUITY,0,0,0,0,-0.170255914144678,0,0,0,0.0980458798157065,0,0.401832007650667,0,0,0.250876580457377,0,0,-0.0762357336626355,0,0,-0.0933804861858775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039951735131999
X5.HK.EQUITY,0,0,0,0,0,0.140149034592696,0,0.166800205762741,0,0,0.131478041606224,0,-0.00859438107121674,0.224927142598343,0,0,0,0.0992943888028262,0,0,0,0,0,0,0,0,0,-0.170633135400267,0,0,0,0,0,0,0,0,0,0,0.0603500390736172,0.132441945505618,0,0,0,0,0,-0.0389730930243493,0,0,0.1490511296291,0,0
X601988.CH.EQUITY,-0.0605370225934599,0,0,-0.0503804971749662,0.411380958317632,0,0,-3.46944695195361e-18,0,0,0,0,0,6.93889390390723e-18,0,0,0.00277244503746789,0.0439123399294569,0,-0.172487176261887,0,0,0,0,0.346278450320091,0,0,0,0,0,0,-0.378549823953681,0,0,0,0,0,0,0,0,0,0,0,0,0.0353421509590699,0.128665999119804,0,0,0,-0.0294099421168237,0
X600036.CH.EQUITY,0,0.277779841243758,0,0,0,0,0,-0.130328866956114,0,0.405444111747896,0,0,0,0,0,0,0.0672795835495764,0,0,0.278687625668309,0,0,0,0,0,0,0,0,0.115158121826136,0,0,0,0,-0.148662471669357,0,0,-0.0725897687174116,0,0,0,0,0,0.280439719568022,0,0,-0.0125650494380026,0,0,0,0,-0.0634751366294416
X1299.HK.EQUITY,0,0,0,0,0.248008201543981,0,0,0,0,0,0,0,0,0,0.0785288322356594,0,0,0.119004711001283,-4.33680868994202e-19,0,0,0,0,0,0,0,0.178994666714448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023647324921471,0,-0.148036544132996,0,0,0.0774892854867657,0,0,0.137342933505547
X601628.CH.EQUITY,0,0.130871848172683,0.0236285024092309,0.0809526399348399,0,0,0,0,0,0,0,-0.0555119280507113,0,0,0,0.308708484908979,-0.0147601350277996,0,0,0,0,0,0,0,0.133623956583938,0,0,0,0,0,0,0,0,0,0.206989761472444,0,0,0,0,0,0,0.186079882750083,0.00437339548202854,0,0.0554209343967657,0,0,0,0.0449395261489333,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.694631523107099,0,0,0,0,0,0,0,0.0874561146220897,0,0,0.0234606199743233,0,0.180335630755808,0,0,0,0,0,0,0.118530542920031,0,0,0,0,0,0,0,0,0,0,0,0,-0.0862505472914599,0,0.029041679081848,0,0,0,-0.233014456344196,0,0,0,0,0
X601166.CH.EQUITY,0.153633291677708,0,0,0.247781652397797,0,0,0,0,4.33680868994202e-19,0,0,0.326257473182042,0,0,0,0,0,0,0.0831408228625017,0,0.0190088922968682,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0259657486673264,0.00723651534715953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0.0663519419100299,0,0,0,0,0,0,0.142705820560642,0.572066429041313,0,0,0,0,0,0,0,0,0,0.0680789038314069,0,0,0,0,0,0.300503720061845,0,0,0,0,0,0,-0.0610650297932654,0,0,-0.226253883128173,0,0,0,0,0,0,0,-0.058833764585683,0,-0.117086867633582,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,-0.0178506976561384,0,0,0,0,-0.0364405073892994,0,0,0,-0.027572279782,0,0,0,0,-0.139957576055314,0.0131543009782754,0,0,0.0790603365938255,0,0,0,-0.00620318942226366,0,0,0,-0.0328887730524617,0,0,0,0,0.129916485592,0,0,0.0135807194275855,0,0,0,0,0.510129931002592,0,0,0,0,0,0,-0.167105476650164
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242002362334593,0.0948934821217902,0,0,0,0,0,0,0,0,0,0.191635183280751,0,0,0,0,0.232526687058655,0,0,0.31303698263686,0,0,0,0,0,0,0,0,0.177952097296497,1.73472347597681e-18,0.13254407631245,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0586692307076573,0,0,0,0,0,-0.157402493416917,0,-0.106544756518583,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.4453782523451,0.0338817508129281,0.186477905637048,0,0,0,-0.107229597962367,0,0,0,0.381138132980253,0,0,0,0,0,0,0,0.135818055466883,-0.238002292711079,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0.111183900619457,0,0.25707186904291,0,0,0,0,0,0,0,0,0,0,-0.0870126974598511,0,0,0,0,0,0.18611634293468,0,0,0,0.00357614399778064,0,0,0,0.0514707307340601,0,0,0,0,0,0,0.11118511468731,0,0,0,0,0,0,0,0,0.0126288557364359,0
X11.HK.EQUITY,0,0,0.209824952584768,0,0,0.0854749674626193,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206883780975301,0,0,0,0,0,-1.0842021724855e-19,0.477483256177656,0,0,0,0,0,-0.0533988808935319,0.00380641173617731,0,0,0,0,0.241988244482636,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.0915896166257487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555430667433284,0,0.130270729903389,-8.67361737988404e-19,0.0463835237678579,0,0,0,0,0.145661153108484,0,0,0.0794885057876243,0,-0.106771865184185,0.0444035881173566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0.0820657049236695,0,-0.251158240207707,0,-0.44572245445616,0,0,0,0,0,0,0,0,0,0,0,0.92112672987616,0,0,3.46944695195361e-18,0,0,0,0,0.0215455477835726,0,0,0,0,0.233878127439179,-0.256888106932866,0,-0.260681308027977,0,0,0,-0.240460552208958,0,-0.0113469175644041,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0.0409117180857473,0,0,0.0222365156024508,0,0,0,0,-3.46944695195361e-18,0,0,0.0989944296117959,0,0,0.0415192889690004,0.43813799657641,0.0202218509247586,0,-0.287631997892768,0,0,0,0,0,0,0,0,-0.0575580275324675,0,0,0,0.0640347954991258,0.13479148766696,0,-0.211450042483076,0,0,0,-0.0577942101593848,-0.271457224582604,0,0.242120356405097,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0.180213826078442,0,-0.0371028331360711,0,0,0,0,0,0,0.0437899482133016,-6.93889390390723e-18,0,0.0666949074494892,0,0,0.119184511860507,0,0,0,0.194461857830161,0,0,0,0,0,0,0,0,0,0,0,-0.0195132431606881,0,0.336481409204095,0,-0.0628947263886081,0,-0.25525254393285,0,0,0,0,0,0
X600030.CH.EQUITY,0.0362094138495547,0,0,0,0,0,0,0,0.0641313889730077,0,0,0,0,0.0281629336132686,0,0,0,0,0,0,0,0,0,0,0.00101804326140392,0,0,0,0,0,0,0,0.294229886668845,0,0.207349928552295,0,0.320769983691409,0,0,0,0,0,0.0647275444440231,0,0,0,0.0333489637193864,0,0,0,0
X601998.CH.EQUITY,0,0,0.03278642326947,0,0,0,0,0,0,0,0.0692300736325858,0,0.159668223728347,0,0,0,0,0,0,0.326763522287136,0.0205672244835625,0,0,0,0,0,0.015975912536303,0,0,0,0,0,0,0,0.086346300986298,0,0,0,0.0204337553737106,0.032637042724328,0,0.132530071053954,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0301537816232886,0.165563250691709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103400443230226,0,0,0.359706192469718,0,0,0,0,0,0.0985846473144371,0,0,0,0,0.035609414758653,0.0516488186566006,0,0.0278586995072522,0,0,0,0,0,0,-0.0499987325896972,-0.0652238651069581
X000001.CH.EQUITY,0,0,0,0,0,0.109607013364324,0,0,0.186279730579358,0,0.130628462749017,0,0,0,0,0.0228052974314417,0,0.0167976169313703,0,0,0,0,0,0,0,0,0,0,0.0139902466917635,0,0,0,0,0,0,0,0,0,0,0,0.173467281188358,0,0.160573560570665,0,0,0.101313987213129,-4.33680868994202e-19,0,0,0,0
X2007.HK.EQUITY,0,0.0107729692949491,0,0,0,0,0,0,0,0,0,0,0,0.0271508707842071,0,0,0,0,0.0389718818345192,0,0,0,0.0397114455479213,0,0,0,0.215062812286367,0.241560981229493,0,0,0.309892254670102,0,0,0,0,0,0,0,0.0831044282792851,0,0,0,0,0,-0.1053689976207,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0.404303037071376,0,6.93889390390723e-18,0,0,0,-6.93889390390723e-18,-0.103221499735627,0,0.0279849496977072,0,0,0,0,0,-0.16189833431882,0.323705676454626,0,0.117601615234082,0.0405078120210257,0,0,0,0,0,0,0.0042906383184442,0.16235718352992,0,0.175652996749644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199157117213685,0
X1113.HK.EQUITY,0,0.0130567600102932,0,0,0,0,0,0.173997304495932,0,0.0186176208691053,0,0,0,0,0,0,0,0.000119379303118809,0.117176555402952,0.191079449852813,0,0,0,0,0,0.00418179519588895,0.154113170404093,0,0,0.0250563591509056,0.181164566161952,0,0,0,0,0,0,0,0,0.19019769456376,0,0,0,0,-0.2103414441846,0,0,0.055540919799102,0,0,0
