,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.0146098634863531,0,-2.77555756156289e-17,0,0,0,0,-0.174489364555776,0,0,0,0,0,0,0,0,0,-0.19800918051417,0.708252152994805,0,0.742253962557086,0,0,0.0455302680666226,0,-0.098275345341688,0,-0.115756238610503,0,0.00331174392430187,0,-0.334380856446232,0,0,-0.0624816740834589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0345132202373895,0,0.0679202350946486,0,0,0,0,0.0451300079504722,0,0,0,0,0,0,0,0,0.390797124786288,0,0,0,0,0,0,0,0.132215333478729,0,0.00955344780580212,0,0,0,0,0,0,-8.67361737988404e-19,0,0.174065748537414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146991929619364
X601939.CH.EQUITY,0,0,0,0.80662127280433,0,0.0570871949242511,0.00833474042533969,-1.73472347597681e-18,0,0,0,0,0.0236457350954693,0,0,0,0.0057861655001465,0,0,0,0,0,0.015559513690381,0,0,0,0,0,0,0,0,0.0748231271773565,0,0,0,0,0,0,0.0153030793976321,0,0,0,0,0,0,0,0,0,0.0464167024108236,0,0,0,0.0165353811980405
X601288.CH.EQUITY,0.0574478715172758,0,0.889229516501246,0,0,0,-0.0575662549627663,0,0,0,0,0,0,0,0,0,0.0261153905313403,0,0.117606948751019,0,0,0,0,0,0,0.0262095911794701,-0.0797565010449153,0,0,0,0.00491796798496646,0,0,0,-0.0230198154185107,0,0,-0.0940184861490693,0,0,0,0,0,0,0,0,0,0,0,0,-0.0610218769819711,-0.0218334430604413,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.115192124546758,0,0,0,0,0,0.942241247632747,0,0,0,0,0,-0.114319757767444,-0.144378129286998,-0.0298854912563216,0,0,0.253118766098466,0,0,0,0,0,0,0,0,-0.105475238473034,0,0,0,-0.0924045398217343,0,0,0,0,0,0,0,0.0238166908791585,0,0,0,0,0,0,0.017684987308107,0.276440024785209
X600036.CH.EQUITY,0,0,0.279987663010607,0.0979943396421359,0,0,0,0.0167637068969149,0.0193726418400219,0,0,0,0,0,0,0,0,0,0,0.0263998493126239,0,0,0,0,0,0.065884954177359,0,0,0,0.103346835613869,0,0,0.372920790524581,0,0,0,0,0,0,0,0,0,0,-0.0577219480594457,0.0630661620973764,0.0701886720002864,0,0,0,0,0.0648686104137418,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.766715430415425,0,0,0,0.0650088984656323,0,0,0,0,0,0,0.126561441667073,0,0,0,0,0,0,0,-0.0366728847384456,0,0,0,0,0,0,0,0.00216260772949609,0,0,0,0,0.049151127690603,0,0,0,0,0,0,0.106966097070874,0,0.163994396588706
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.264863241446336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216183373891331,1.73472347597681e-18,0.0500977148767754,0.0457330021105699,0,0,0.0706356940649095,0.260159578044964,0,0,0.074766539263583,0,0,0,0,0,0,0,0,0,0,0,0.451588369966429,0,0,0.0153428550443405,0.0252154895172691,0,-0.079712808728865,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.170511146818966,0,0,0,0,0,0,0,0,0,0.331032213970781,0,0,0,0,0.106370197896007,0,0,0.35412791757401,0.161744989211001,0,0.0951306707225035,0,0,0,0.010632628053865,0,0,0,0,0,0,0,-0.073416910190952,0,0,0.076964021916405,-0.107460180605907,0,0,0,0,0,0,0.058581720385183,0,-0.114611476836977
X601658.CH.Equity,0,0,0,0.227303813812665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109879731833311,0.243150360656795,0,-0.17565129834213,0,0,0,0,0,-0.130754352848646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415176207508685,0,0,0,0,0,0,0,0,0,0,0
