,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.150993086264746,0,0.0637470577578404,0,0,-0.0258453391589221,0,0,0,0,0,0.154310026952844,0,0,0,0,0,0.0331261293591415,0,0,0,0,0,0,0,0,0,0,0,0.0850910850637659,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203655082896769,0,0,-0.0921475851441302,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0151559176252759,0.140689592481359,0,0.0333307298692837,0,0,0.134167886767166,0,0,0,0,0.258702895999557,0.274590298073261,0,0,0,0,0,0,0,-0.0334228038728103,0,0,0,0.081813402246278,0,0,0,0,0,0.0330811237930001,0,0,0,0,0,0.00822771623442333,0,0,0,0,0,0,0,0,0.0852703435229344
X601939.CH.EQUITY,0,0,0,0,0.0181860599938128,0,0.434374057665802,0,0,0,0,0,-0.143535311939613,0,0,0,0,0,0,0,0.0135943477337658,0,0.636938838593713,-0.0629761458811819,0,-0.0149330678613101,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225583442357511,0,0,0,0,0,0,0,0,0,0,0,-0.112819690973817,0.00232077115685167
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.122966453972097,0,0,0,0,0,0,0,0.271118152933574,0,0,0,0,0,0.0447797231275232,0,-0.198524678705228,0,0,0.00970631429808561,0,0,0.0567805288141068,0,0.260218258641355,0.399515431211329,0,0,0,0,0,0,-0.00107957314901717,0,0,0,0,0.110774256225126,0,0,0,-0.0262049296445445,0,0.0371547152337292
X601288.CH.EQUITY,0.102989320300876,0,0.111622401337187,0,0,0,0.0771922584946878,-0.0629784045990841,0,0,0,0,0,0,0,0.169136192261825,0,0.104979137468642,0,0,0,0,0.226161956140037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764568716147304,0,0.073742943089346,0,0,0,0,-0.0790854107574294,0,0,0,0
X600036.CH.EQUITY,0,0.189427938691692,0,0.0443294527360865,0,0,0.111905155191034,0.0360077182732124,0,0,0,0,0,0.179693503188893,0,0,0,0,0,0,0,0,0,0,0.3644920356676,0,0,0.0448103416753485,0,0,0.0447538276737324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431668340892005,0,0,0,0,0,0.0272485882425113
X601988.CH.EQUITY,0.181200762977705,0.141197603887548,0.0519986061496691,0,0,0.316155346549571,0,0,0,0,0,0,0,0,0,0.227038400010487,0,0,0,0,0.177879592597289,0,0,0,0,0,0,0,0,0,0,0.05430938217972,0,0,-0.0501345671465474,0,0,0,0,0,0,0,-0.15040930145769,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0903418428790496,0
X1299.HK.EQUITY,0,0,0,0,-0.147610424484556,0.0449943505008193,0,0,0,0.357117818411262,0,0,0,0,0,0,0.114256710230695,0,0,0,-0.0592898352519987,0,0,0,0,0,0.336487637584325,0.144918820925315,0.0599078845858387,0,0,0,0,0,0,0,0,0,0,0,0.0805786788654455,0.02059242366342,0,0,-0.000174376635435916,0,0,0,6.93889390390723e-18,0,0,0,-0.0122470633742641
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0453906081168261,0,0,0,0,0,0,0,0,0.0867616897635825,0,0,0,0,0.555909480426644,0.0222504846047663,0,0.124720354085728,0,0,0,0,0,0,0,0,0,0,0,0.188119367143826,-0.0252553182723698,0.14959961822953,0,0,0,0.115752115274424,0,0.140340095943376,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.151646193693675,0,0,0,0,0,0,0,0,0,0,0,0,0.335117645666926,-0.00872568611096084,0.12437570204985,0,0.0197274117568429,0,0,0.237567434084041,0,0,-0.0519079653143752,0.355757579235074,0,0,0,0,0,0.0829919662431428,0,0,0,-0.437671850726407,0,0.130195185097022,0,0,0,0.201751654235682,-0.0126119484430763,0
