,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.163363593462674,0.0727914730186946,0.0463333901183603,-0.00301407711131192,0,0.354619693164607,0,0,0,0.0764971059455317,0,0,0.0258867210749432,0,0,0,0,0,0,0,0,0,0,0.0747551846761148,0.0740256763167228,0,0,0,0,0,0,0,0,0,0,0.104218790118149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0100699991055319,0,0,0,0.158279363106683,0,0,0.0124998234721224,0.108762190956241,0,0,0.0307084631637237,0,0.0468385718870122,0,0.145416415714975,0,0,0,0,0,0,0,0,0.0930269716396814,0,0.0922741915132695,0,0,0,0,0,0,0.103255447280986,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0670875899803139
X601939.CH.EQUITY,0,0,0,0.194081906856953,0,0,-0.0576305198223339,0,0,0,-0.0196691550953942,0.148078125869785,0,0,0,0,0,0,0.137278415280155,0,0.0211948934373469,-0.116328166403667,0,0,0.122488162021621,0.580628746626125,0,0,0.0533240563639292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174143446251406,0
X601288.CH.EQUITY,0,0,0.120294744704873,0,0,0.0514454627625637,0,0.492088335781685,0,0,0,0.0242922464821813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118513596528198,0,0,0,0,0.00339910691271068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703270868811196,0,0,0,-0.0635266541068566,-0.0235921464739826
X600036.CH.EQUITY,0,0.131108379957493,0,0,0,0,0.208566544926599,0,0,0,0,0,0.204775170682877,0,0.164170077040692,0,0,0,0.0163504709490077,0,0,0,-2.16840434497101e-19,0,0,0.166192365158246,0.237011994895459,0,0,0.0226444802236108,0,0,0,0,0,0,0,0,0.0904967632652581,0,0.0232645588200212,0,0,0,0,0,0,0,0,0,-0.0764646200276046,0,0
X601628.CH.EQUITY,0,0,0,0.106057122868429,0,0,0,0,0,0,0,0,0,0,-0.188641009596594,0,0,0,0.0364779977543202,0,0,0.0329930868666917,0,0,0,0,-0.0169330939838785,0,0,0,0,0,0,0.0438574194950587,0.633003642374197,0,0,0,0,0,0,0,0,0,0,0,0,0.0657182519540596,0,0,0,0,0.209312317349447
X1299.HK.EQUITY,0,0,-0.074553214995502,0,0.0643732387964783,0,0,0,0,0,0.164802569170556,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.179879913275722,0,0.171211141856682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105911717425357,0,0.0735106548088904,0,0.07848763899498,0.132088787492509,0,0.0883861269896906,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.632160804702086,0.202783208335238,0,0,0,0,0,0.11708338315255,0,0.090562559546689,0,0,0,0.0725631190684662,0,0,0,0,-0.0446850036458177,0.0136971466433436,0,0,0,0,0,0,0,0.0443082928055078,0,0,0,-0.00314611157674998,0,0.0187124867684729,0,0,0,0.0892329608123549,0,0,0,0,0,0,0,0,0,-0.0641769208041758,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0092935849463952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134078109837286,0,0,0.174251566048193,0.0841698825488095,0,0,0,0,0.0155436346643259,0,0,0,0,0,0,0,0,0,0.339379085876036,0,0,0,1.73472347597681e-18,0.162987199107827,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0165650357701585,0,0.220381713764895,0,-0.0284986667514238,0,0,0,0,0.0765706741460487,0.0991920246729898,0,0.0605341567685225,0,0,0,0,0,0,0,0,0,0,0,0.141072869650907,0.314793533154649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137275916085232
