,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.58567609499561,0,0,0,0.154659552247533,0,0,0.00254638348828351,0,0.0798804775937981,0,0,0,0,0,0.0299457414098186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174818185175383,0,0,0,0,0,0,0,0,0,0,0.0187504851271057,0
X601318.CH.EQUITY,0,0,0,0.100240450176249,0,0,0,0,0.0546129313111713,0,0,0,0,0,0,0.0083649929221688,0,0.243062124043021,0,0,0,0,0,0,0,0.0347921732589392,0,0,0.0500229658156955,0,0,0,0.101082441909336,0,0,0,0,0,0,0.19109217237461,0.0866305314259269,0,0,0,0,0,0.0821056092227244,0,0,0,0,0
X601939.CH.EQUITY,0.115598370031858,0,0,0.36455938928077,0,0.211974531679859,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0209056332200023,0,0.0138903877410828,0,0,0,0,0,0,0,0.0823829126013797,0,0,0,0.11063880083382,0,0,0,0,0.00646927619039018,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0471240460891664,0
X601288.CH.EQUITY,0.208069657626607,0,0.197731423203392,0,0,0.0532360706184879,0,0,0,0,0,0,0,0,0,0,0,0.134468589248887,0,0,0,0,0,0,0,0.0989501112156044,0.109765403648791,0,0,0.0115282708724196,0,0,0,0,0,0,0,0,0,0.103725673476853,0,0.042147288305229,0,0,0,0,0,0,0,0,0,-0.0942737534820625
X5.HK.EQUITY,0,0,0,0,0,0,0,0.461058740531815,0,0,0,0,0,0,-0.00542694370033889,0.123159331396004,0.210803653691094,0,0.170802319970932,-0.0922335297754313,0,0,0,0,0.310538979085241,0,0,-1.38777878078145e-17,0,0.0290646747231718,0,0,0,0.00399074270478343,0,0,0,0,0,0,0,0.0363689769596387,0,0,0,-0.720940427682438,0,-0.158455121785898,0,0.140529163962367,0,0
X601988.CH.EQUITY,0,0,0.108556389593018,0,0.0353113238080061,0,0,0,0,0,0,0.062985574760819,0,0.0570466409393956,0,0,0,0.00591251336617194,0,0,0,0,0.60874454406397,0.0148730242233515,0,0,0,0,0,0.102326999098743,0,0,0,0,0,0,0,0,0,0.0453014439380904,0,0,0,0,0,0,0,0,0,0.0842536787415849,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0290083012567301,0,0,0,-0.0208161631088599,0,0,0,0,0.0741492025442314,0,0,0,0,0,0,0,0.681864507645588,0,0,0.0267976311185504,0.093673515428346,0,0,0,0,0,0,0,0,0,0,0,0,0.0705843726898484,0,0.0490549488683048,0,0,0,0,0,0,-0.00665446213996729
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.00961247978274644,0,0.0486726444317118,-0.0169137469905064,0,0,0,0.237337559671313,0,0,0,0.230545473688627,0,0,0,0.0307342404920143,0,0.0566088451836017,0,0,0,0,0,0,0,0.0607680526935331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911481849070395,0
X601628.CH.EQUITY,0,0.214201862299114,0,0,0,0,0.0313275115769172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570803666745062,0,0,0,0,0,0,0,0,0,0,0.399895066206211,0,0,0,0.230824158294506,0,0.027847689114463,0,0.00139754442677811,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0616422701508259,0,0,0,0.14468787194934,0,0,0,0,0,0,0.203231580007272,0,0,0,0,0,0,0,0.243313963075153,0,0,0,0,0,0,0.0778576450759277,0,0,2.16840434497101e-19,0.0445726520811181,-0.00711024300289552,0,0,0.0077802183569434,0,0,0.239749687928472,0,0,0,0,0.0361732943039088,0,0,0,0.0161464902142823,0,0,0
