,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.148669195546054,0,0.0936588396154455,0,0.0377321021977682,0,-0.0896700684610265,0,0,0,0.416830315503651,0,0,0,-0.114612239471843,0,0,0,0,0,0,0,0,0,0,0,0,0.105243275934557,0,0,0,0,0,0,0,0,0,0.13226047340718,0,0,0,0.167090662875189,0,0,0,0.0375622607754196,0,0,0,0,0.0349342731014692,-0.0485298026665444
X601318.CH.EQUITY,0,0,0,-0.102186838093737,0,0,0,0,0.174002423669399,0,0.20538571572395,0,0.0853414579491064,-0.0827500249044444,0.0586145043548572,0,0,0,0,-0.0656730353439273,0,-0.0869786879296006,0,0,0,0,0,0,0,0,0,0,0,0,0.173598497339799,0,0,0,0,-0.195281202684557,0.356175294904246,0,0.18483960564424,0.185321842658976,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.218834062158522,-0.0041696658502528,0,0.27920201637003,0,0.0955343085560013,0,-0.069963614997294,0,0,0,0,0,0,0.0960550654307478,0,0,-0.0226367432840925,0,0,0,0.0608841962712911,0,0,0,-0.0481110775520194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470592289756978,0,-0.0226564883762425,0,0.0236258969165433,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.412002800827322,0,0.20862644281377,0,0.126933788048053,0.122295248410749,0,0,0,0,0,0,0,0,-0.0507685800472637,0,0.0109552268343231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170768773486134,0,0,0,0,0,0,0,0,0.0557105028504077,0.0351802383362636,0,0,0.123448292935994
X5.HK.EQUITY,0,-0.089983058892845,0.0138248094798163,0.286634041191296,0,0,0,-0.239483815302901,0,0,0,0,0.115896052726409,0,0,0,0,0,0,0,0.597828257428325,0,0,0,0,0.236550899537448,0,-0.0199801019304756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215949869565513,0,-0.0837514004456827,0,0,0,-3.46944695195361e-18
X601988.CH.EQUITY,0.206952987748706,0,0.290855386934579,0,0,0,0,0,0.0624929722476014,0,0.112486485548637,0,0,-0.233184620234184,0,0,0,0,0,0,0,0,0,0.0461910955165906,0.154105370858048,-1.73472347597681e-18,0,0.130792589691735,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.120612071957078,0,0,0,0,0,0,0,0.0833010922165975,0
X600036.CH.EQUITY,0,0,0,0,0.0211050785306142,-0.0286890063139559,0,0.202397144742729,0,-0.0186025272738447,0.0184528343769682,0,0.392426576028538,0,0.221504688949149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127126385399392,0,0,0,0,0.0797110518970541,0,0,0,0,0.156688733194806,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0438993508357738,0.102013599772048,0,0,0,0.142059710188002,0,0,0,-0.132453752240323,6.93889390390723e-18,0,0,0.296900157099935,0,0.232121218597513,0,0,0.0821932012934923,0,0,0,0.149559567501089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545102142080901,0.0664075372255635,0,0,-0.00794294886917398,0,0,0
X601628.CH.EQUITY,0,0.338039922199052,0,0.0417809061672613,0,0,0,0,0,0.0286905463443708,0,0,0,0,0,0,0,0,0,0.0900489002225758,-0.00464910114973869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0425620815353008,0,0,0,0.203792338965033,0,0,0,0,0,0,0,0,0.105560609984091,0.159719018158146
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0439860780951406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
