,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.117233575819416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727819954034947,0,0.425823407440082,0.370066637212374,0.0625190846277702,-0.248587601305494,0,0,0.165464123646552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533114857396288,0,0,0,0,0,0,0,0,-0.0207182157208463
X601318.CH.EQUITY,0,0,0,0,0,0.240940899384986,0,0,0,-0.0853774312152305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.19885155895409,0.0271443267688932,0.0136433560603364,0,0,0,0.218770306321371,0,0.182017756321004,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.83923183501267,0,0,0,0,0,0.0163942126699454,0,0,-0.055857891222264,0,0,0,0.0383726562281509,0.129398447598627,0,0,0,0.00265670588781099,0,0,0,0,0.0312149076905604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716286410062019,0,0,0.00658089781400056,0,0,0
X601288.CH.EQUITY,0,0,0.90850785949938,0,-0.0890195151675858,0,0,0,0,0,0,0,0,0,0,0.0313293965522977,0,0,0.121912475025702,0,0,0,0,0,0,0,0.0451597982051577,0.0298729012927896,0,0,0,0,0,0,0,0.0184963450754248,0,0,0,-0.0254516335040791,-0.0780134809202793,0,0,0,0,0.00664886672968821,0,0,0,0,-0.053501919226554,0,0
X601628.CH.EQUITY,0.0156140969145118,0,0,3.46944695195361e-18,0,0,0,0,0,0.2954830451019,0,0.235114835765874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00850794022712378,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.521666186437505,0,0,0,0,0,0,0,0,0.205770659364855,0,0,0,0,0.127177774440592,0
X600036.CH.EQUITY,0,0,0,0.329067718865375,0,0,0,0,0.0692185331420764,0,0,0,0,0,0,0,0.145464256137746,0.141519973657468,0,0,0,0,0,0,0,0,0,0,0.115834068236261,0.147581477894659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471849115859544,0,0,0,0.00404224639970162,0,0,0,0.00907591050525348
X601988.CH.EQUITY,0,0,0,0.00284445927691881,-0.136627438467977,0.0795858163268316,0,0.0507744919289871,0,0,0,-0.0218400457046843,0,0,0,-0.000938980476739103,0,0,0,0,-0.0422837253185444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108787752999406,0,0,0,0,0,0,0,0,1.05214886334228,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0776576208433449,0,0,0,0.097755144291779,0,0,0,0,0,0,0,0,0,-0.0031250548425428,0,0,0,0,0,0.106612742170763,0,0,0.00977454458014582,0,0,0.245197145544755,0.302749053613449,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,-0.112379720054462,0,0.182169176437884,0,0.101930161964132,0,0.00498210089187943,0.135845745970101,-0.0267569140939098
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168555337848556,0,0,0,0,0,0.0238230173690611,-0.00853916328278633,0.228072890432123,0.481740964985655,0,0,0,0,0,0,0,0,0,-0.0922024163748882,0.0702177363600657,0,0,0,0,0,0.0522824508673103,0,-0.177302119695833,0,0.0516845259069897,0,0.129439970851073,0,0.0161985838720319
X388.HK.EQUITY,0,0,0,0,0.329027142390463,0,0,0,0.0871353425308159,0,0,0,0,0,0,0,0,-0.242992095323715,0,0,0,0,0,0,0.476870618123451,0.220533947727496,0,0,0,0,0.0162114248249686,0,0,0,0,0,0,0,0,0,0,-0.161038004164774,0,0,0,0.113663027728346,0,0,-0.0754331064359023,0,0,0.0744622159713215,0
X601658.CH.Equity,0,-3.46944695195361e-18,0.241715983372041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291246650212047,0,-0.0750727810964884,0,0,0,-0.105553864296217,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0342076369204403,0,0,0,0.522291410262085,0,0,-0.0988249502966222,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0454410202792671,0,0,-0.11326432620488,0,0.0883170994074238,0,0,0.238754039911631,0,0,0.0659587793977237,0,0,0,0,0,0,0,0,-0.0418515330705379,0.0760862566479233,0,0,0,0,0,0,0,0.0701615153225215,0,0.216229055543539,0,0,0,0.179445839027432,0,0.052700878961867,0,0.0862898478483607,0,0,0.0659816502149211,0,0.0590122510075143,0,0,0,0
