,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.445538455494715,0,0,0.0124307487573184,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232409972017245,0,6.93889390390723e-18,0,0,0,0,0,0,6.93889390390723e-18,0,0.183688716773989,0,0.0456349972800086,-0.0134983349701031,0,0
X601318.CH.EQUITY,0,0,0,0,0.00680149996166986,0,0,0,0.148367960605752,0,0.0682869360927867,0,0,0.0777359884419451,0,0,0,0,0.203264950032784,0,0.202831564420199,0,0,0,0,0,0,0.10153783633298,0,0,0,0,0,0,0,0,0.0307872778285714,0.0502296921883891,0,0,0,0,0,0.0247965653997309,0,0,0,0,0,0,0,0.0686394589668903,-0.0210644809616098
X601939.CH.EQUITY,0,0.0438746472053446,0,0.223750603690711,0,0,0,0,0,0,0,0,-0.0222257292568581,0,0,0,0,0,0,0.0340688820068432,0,0.776216694990716,-0.200432154989243,0.0921765222515721,0,0,0,0.0120409470663483,-0.11533877403004,0,0,0,0,0,-0.0542705512582053,0,0,0,0,0,0,0,-0.125532251376479,0,0,0,0,0,0,0,0.00980481624866266,0.0571960531373981,0.107591665252698
X601288.CH.EQUITY,0.113412840128075,0,0.0753212990880202,0,0,0.0875833189587442,0.407015210732714,0,0,0,0,0,0,0,0,0.0488450270597099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212334408136622,0,0,0,0,0,0,0.118609923308304,0,0
X600036.CH.EQUITY,0,0.182327951787251,0,0,0,0.0679773278739979,0.0914057771434775,0,0,0,0,0,0,0.207671651677803,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0.0287951458580002,0.317011656387422,0,0,0,0,0,0.0863635682275008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179509063764979,0
X601628.CH.EQUITY,0,0,0,0.00910150748340991,0,0,0,0,0,0.0540074479917958,0,0,0,0,0,0,0,0.171792208005974,0,0,0,0,0.138561440459943,0,0,-0.0371847234267276,0,0,0,0,0,0,0.144927654058802,0,0,0,0.584550189346869,0,0,0,-0.0372149987629513,0,0.112053405516754,0,0,0,0,0,0,0,0,0.0845154104621055,-0.0253315850467895
X601988.CH.EQUITY,0.0906442868124795,0,0,0.229749143746005,0.335145195966333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255225911413507,0,0,0,0,0,0,0,0.12034904877818,0.0665741417816329,0,0,0,-0.0229604909619681,0,0,0,0,0.176811474166442,0,0,0,-0.161199089641059,0,0,0,0,0,0,0,0.203406746580421,0,0,0
X1299.HK.EQUITY,0,0,0,-0.0455026816551801,0,0,0,0,0,0.13929781533303,0,0,0,-0.169783596187459,0,0,0,0,0,0,0,0,0,0,0,0,0.239673773879305,0,0.0187625301153776,0,0,0,0,0,0,0,0,0,0,0.0979734445819303,0.12837608869506,0.0625056385762621,0,0.0745613619907546,0,0.0265116307624636,0.171551030219897,0,0.139059191741295,0,0,0,0
X5.HK.EQUITY,0,0.0170507102712566,0,0,0,0,0,0,0,0,0,0,0,0,0.0967196029642347,0,0,0,0,0,0,0,0.0557164994934199,0,0,0,0.122722010619481,0,0.618148990417013,0,0.0336810609082268,0.135975685748669,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.111747474245733,0.0919755489692974,0.189383381070986,0,0,0,0.106747517077433,0,0.182360335365974,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0565957298197365,0,0,0,0,0,0.00810882117265824,0,0,0,0,0,-0.160546838781195,0,0,0.446492389345247,0,0.130266980186513,0,0,0,0.247861377495529,0,0,0.181214269547269,0.197147838774252,0,0,0,0,0.230918892209192,1.0842021724855e-19,0,0,0,0.01442500996045,0,-0.379831212873986,0,0,0,0,0,0.0531080439509339,0,0
X601658.CH.Equity,0.123605529858875,0,0.136404657710783,0,0,0,0.066075123472777,0,0,0,0,0.0638261530367046,0,0,0,0,0,0,0.437440974658863,0,0,0,0,0,0.018932408542693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391813516581986,0,0,-0.136717794307571,0,-0.0576496395059249,0,0,0.00173177979760536,0,0.0924862630428961,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.0639198795973653,0,0.0834046293741007,0,0,0.192574055006206,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0614941579101697,0,0.210099176295282,0,0,0.0496955349317123,0,0.111730961513888,0,0,0,0,0,0,0,0.00971897057571988,0,0.182628343396471,0,0,0,0,0.0841490906136829,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548836029699542,0,0,-0.115459296680986,0.220326104273533,0,0.183196978654439,0,0,0,0,-0.0391144174966229,0,0,0,0,0,0,0.00347283694920235,0.0546749007500339,-2.16840434497101e-19,-0.00420433558715649,0.0894207757147211,0,0,0,0.0453053686001204,0,0,0,-0.00141116139295898,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0.550225646858908,0,0,0,0,0.0266869676319118,0,0,0,0,0,0.0758852868053925,0,0,0,0,0,0,0,0,0,0.207661539735989,0,-0.260653821495011,0.0805508099344395,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.0557159262158505,0,0,0
X000002.CH.EQUITY,0,0,0,-2.16840434497101e-19,0,-0.237308399372677,0,0,0.331488120971162,0,0,0.121944478572922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611884473708742,0,0,0,0,0,0,0,-0.0371009170602991,0,0,0,0,0,-0.0886319772767963,0.284179175909071,0,0,0,0,0,0,0,0,0.103153069512207,0.00529961433947041
X601328.CH.EQUITY,0,0.0223535399308469,0,0,0,0,0.0555132548735744,0,0,0,0.0149067003477779,0,0,0,0,0,0,0.0397910151430039,0.344527784940804,0,0,0,0,0.0611302811689495,0,0,0,0,0,0,0.206634464061306,0,0,0,0,0.02878501962256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.00539160381325118,0,0.0230259942814127,0,0,0,0,0,0,0,0.668045498970381,0,0.0982708460716508,-0.0400552261231467,0,0,0,0,-0.135777211154989,0,0,0.0339897197735945,0.0531282089422283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153262051120473,0,0,0,0,0,0.0156259228988833,0,0,0,-0.0293461292253139,0,0,0,0
X601601.CH.EQUITY,0,0.228676920835466,0,0.154735455366721,0,0.243154466592846,0,0,0,-0.0857907757924412,0,0.0914741129554085,0,0.103276852298173,0,0,0,0,0,0,0.235484932133469,0,0,0,0,0.0650978716688578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0729325522284441,0,0.101203452409254,0
X600000.CH.EQUITY,0,0.171227553874439,0,0,0,0,0,0,0,0,0.000704274773947574,0.0122339198969118,0,0,0.0189328246537636,0.40483008856931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645877194422586,0,0,0,0,0,0,0,0.0187208179761536,0,0,0.0253521864713302,0,0,0,0,0.0522315783718608,0,0,0,0.0125545849028209,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.176848237815228,0,0,-0.102908067758725,-0.171033307545477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225372742806245,0.153256347758925,0,0,0,0,0,0,0,0,0.177965073015393,0.184624304039761,0,0.252604798439079,0,-0.118511900353694,0.210947935516586,0,0,0,0.160272605856698,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22245468005748,0,0.00578413028058168,0,0.00457707036172055,0,0,0,0,0,0,0,0,0,0,0,0.144803853146906,0.246718215865054,0,0,0,0,0,0.227293099221418,0,0,0,-0.0515202223295074,0,0,0,0,0,0,0,-0.061717858750644,0,0,-0.00986657683845465,0
X601998.CH.EQUITY,0,0,0.0318478644042571,0.169852982267016,0,0,0,0,0,0,0,0,0,0,0,0.11004551802166,0.226529442616264,0,0,0,0,0,0,0.112201536220447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116590349068192,0,0.0714582398563551,0,0,0.223404928796056,0,0,0,0,6.93889390390723e-18,0,0.0349534450644501,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0671477652894903,0,0,0,0,0,0,0,0,0,-0.0418505253845913,0,0,0,0,0,0,-0.0796874672887998,0,-0.0546190819724751,0,-0.0445209901226487,0,0.00439658977876032,0.592909975070525,0,0,0,0,0.0423640710980252,0.0546096999798152,0,0,0,0,0,0.120827677737121,0,0,0,0,0.0611417395709253,0,0
X600016.CH.EQUITY,0,0,0.114127746501607,0,0,0.069407342090482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128707801703852,0,0,0,0,0.00194141545947646,0,0,0.0890212982912426,-0.092790529734495,0,0.145103897428227,0,0,0.71808298342145,0,0,0.037158766681392,0,0,-0.380260445992683,0,0,0,0.15750800230224,0,0,0,0,0,0,0.113003616520776,0,0
X1109.HK.EQUITY,0,0,0,0,0,0.133521153294144,0,0.0478824252980302,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.126078629275349,0,0.240005893236215,0,0,0,0,0,0,0,0,0,0,0.0691746433047439,0.0793860926091491,0,0,0,0,0,0.105246576587203,0,0,0.0523938351988401,0,0,0,0,0,0,0,-0.0494513534618452,0,0,0.00774823364155693,0
X002142.CH.EQUITY,0,0,0,0,0.425832462950793,0,0,-0.0771959347533389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0676098827212082,0,0,0,0,0,0,-0.0319130275403428,0,0,0,0,0.180969398554644,0,0,0,0,0,0,0,0.0216781948610197,0,0,0,0,0.224084111270577,0,0,0
X2388.HK.EQUITY,0,0,0,0,-0.0341071473899932,0,0,0,0.19087779714026,0.0536449016858757,0,0,-0.270937092777964,0,0,0,0,0.132525080451827,0,0,0,0,0,0,0,0,0,0,0,0.269559032153319,0,0,-0.0168184576758682,0,0,0,-0.124253135291232,0.154013030789207,0,0,0.105872444391974,0,0.242936751139704,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0605692548882002,-0.0672161679159098
X2007.HK.EQUITY,0,0.125947081655808,0,0,0,0,0.0956874975701904,0,0,0,0,-0.0155447125205867,0,0,0,-0.628344928760574,0,0,0,0,0,0,0,0,-0.0540599568520743,0,0,0,0,0,0.178050967248944,0.235064686921088,-0.0614907166743738,0,0,0,0,0.346034418424426,0,0,0,0,-0.0464681405176388,0.260410251026738,0,0,-0.0805827038372078,0,0,0,0,0.0726905315123472,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.318041144092008,0.0180471495176873,-0.241186601481874,0,0,0.21370974823398,0,0,0,0,0,0,0,0,0,0,0.090066475875055,-0.0736742193424795,0.236518148911949,0,0,0,0,0,0,0,0.0076820500092553,0,0,0.178779377426942,0,0,0,0,0,0,0,0,0,0,0.113702568038711,0,0,0.0110548953708994,0
X601818.CH.EQUITY,0.1884170859648,0.07029382031472,0,0,0,0,0,0,0,0,0,0.0693360169445797,0,0,0,0,0,0.041773503207733,0,0,0,0,0,0.0646754206377365,0,0.0604053948074479,0.0584555863604317,0,0,0,0,0,0,0.0451619685931178,0,0,0,0,0,0,0,0,0,0,0.221394208905793,0,0,0.089163287006791,0,0.0649158588831279,0,0,-0.0169257157733426
X600048.CH.EQUITY,0.157908736632112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519924983042173,0,-0.0330348081833649,0,0.0217056215333951,0,0,0,0,0,0,0.140618463510415,0,0.0744558780991799,0,0,0,0,0,0,0,0,0,0.121286429355959,0,0,0,0,0,0.0552968145777053,0,0,0.229308059713566,0,0,0,0,1.73472347597681e-18,0.286961301909496
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.126130580665087,0,-0.0611281831175716,0,0,0,0,0,0,0,0.135275453907856,0,0,0,0,0,0,0,0.539774772712161,0,0,0,0,0,0,0,0,0,0.0427008122754835,0,0,0,0,0,0,0,-0.254848861207512,0,0,0,0,0.131282232513151,0.0551870039753711,0
X600999.CH.EQUITY,0,0,0,0,0,0.100613290151306,0,0,0,0.173096534044711,0,0.183686079002599,0.331299986313388,0,-0.0451507064210782,0,0,0,0,0,0,0,0.0976187594510496,0,0.0445298920354984,0,0,0,0,0,0,0.0691715320244442,0,0,0,0,0,0,0,0.00385667214491338,0,0,0,0,0.0205642598853538,0.0690996026275512,0,0,-0.0335620669493662,0,0,0,0
X601688.CH.EQUITY,0,0,0,-0.00772977648032386,-0.158224662034198,0,-0.00294462124837416,0,0,0,-0.00304350216160205,0,0,0,0,0,0,0,0,0,0,0,0.255756426875936,0.463835150752351,0,0,0,0,0,0,0,0,0.132988723815312,0,0.0472816663002645,0.273973573185088,0.101056081708417,-0.0657233764429692,0,0,0,0.0608032031227561,0,0,0,0,0,0,0,0,0,0,0.0415333419216971
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.207848250262062,0,0,0,0,0.0936346419790222,0,0,0.0608078721081282,0,0.210484105654285,0,-0.0809824647771832,0,0,0,0,0,0,0,0.0483232084183371,0.21548726515515,0,0,0,0,0,0,0,0,0,0,0,0.0253095429272459,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0.0559372844560661,0,0,0,0,0.0336357132734771,0,0,0,0,0,0.0312667830963401,0,0,0,0,0.212215438461613,0,-3.46944695195361e-18,0,0.0496113519192589,0,0,0,-0.281749902249467,0.108190610412187,0,0.0931968026768122,0.142818200803562,0.140903288440367,0,0,0,0,0,0.147245983545329,0,0,0,0,0,0,0,0,0.00946096754996085,0,0,0,0.0309114544583171
X601336.CH.EQUITY,0,0,0,0,0,0.244332402369602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0331853143397666,0,0,0,0,0,0,0,0,0.144280642305068,0,0,0,0.053120107873017,0,0.0919218716000801,0,0,-1.73472347597681e-18,0.339454711540348,0,0,0,0,0,0,-0.24284063503608,0,-0.0229124465900621
X267.HK.EQUITY,0.351391402564553,0,0,0,0,0,0,0.239005190186893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.206656998575515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123127454630124,0,0.0106118217067536,0,0,0,0
X002736.CH.EQUITY,0.0133554818207389,0,0,0,0,0.184598290632549,0,0,0,0,0,0,0,0,0,0,0.0970708476019135,0,0,-0.0465999442512144,0,0,0,0,0,0,0,0,-0.0438533114059336,0,0,0,0.106303781512849,0,0,0,0,0,0,0.445336307147605,0,0,0,0,0,0,0,0,0,0,0,0,0.0170460989739328
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.10106458888948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198921093626826,0,0,0,0,0,0.100389290716564,0,-0.1057726466861,0,0.25188336982857,0,0.338159514556466,0.182036191658404,0,0,0.0943185306547201,0,0,0,0,0,0,0,0,0.186819999856859,0,0,0,0,0
X12.HK.EQUITY,0,0,-0.0322486723824881,0,0,0,0,0.0779361088536277,-0.127678960152651,-0.0456163507677945,0,0,0,0,-0.00879562719981433,0,0,0.0229993103199492,0,0,0,0,-0.177222464459783,0,0,0,0.144263328434821,0.0187456915066156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445641088803851,0,0,0,0,-0.0987827244180695,0,0,0.183330832868553,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316615159495961,0,0,0.126090744926638,0,0,0,0,0,0,0,0,0.0433435189466027,0,0,0.174217682595018,0,0.598018839075746,0,0,0,0.0203017405046373,-0.371674783762843,0,0.137139998175165,0,0.115593634495933,0,0,0,0,0,0.104882468745803,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.206266244967283,0,0,0.11834296264815,0,0.0861792806686788,0,0.105101420858025,0,0,-0.123976784748662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370742998032344,0,0,0,0,-0.0666946936843381,0,0,0,0.730110584646761,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0.148422881605422,0,0,0,-0.0756018058064096,0,0,0,0,0.0330598092409738,0.0268482362929878,0.27480818260586,0,0,0,0,0.177500024578306,0,0,0.0880223521106829,0,0,0,0,0.183838370760782,0,0,0,0,0,0.0327522962104776,0,0,0,0,0,0,0,0,0,0,0,-0.135801650780798,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.144881699962117,0,0,0,0,0.0199964697822504,0,0,0,0.102402210252601,0,0,0,0,0.0118953109671257,0,0,0,0.522529554311753,0,0,0,0,0,0,0,-0.119266988924559,0,0,0,0,-0.163600634705691,0,0,0,0,0.385765584374197,-0.178496413188032,0,0,0,-0.214685986657271
X000776.CH.EQUITY,0,0,0,0,0,0.0320753897732943,0,0,-0.0397437377376036,0,0.0658469264677824,0.0603613269999598,0,0,0,0,0,0,0.0508525547623441,0,0,0,0,0,0.109384792828831,0,0,0,0,0,0,0,0.0331474928016614,0,0.269453632167001,0,0,0,0,0.399183321755004,0,-0.0270888998620876,0,0.0171227603958755,0,0,0,0.145815421752817,0,0,-0.0580246513972383,0,0.0173694849568387
X823.HK.EQUITY,0,0,0,0.121782662453453,0.161781031997269,0,0,0,8.67361737988404e-19,0.0417903144121477,0,0,-0.0459693590044365,0,0,0,0,0,0,0.451098425181242,0,0,0,0,0,0,-0.115577346561048,0,0,0,0.106313993310804,-0.23187006139905,0,0,0,0,0,0.169529818549538,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.395485614907228,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.106995521552735,0,0,0,0,0.124660436571271,0,0,0,-0.0343974395029821,0,0.22793665386441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130902500336909,0.00602837623176594,0,0,0,0,0.255914763950999,0.110622995769658,-0.0178467500921471,0,-0.0395622022512745,0.107099323309184,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0941729715658662,0,0,0,-0.147927365463768,0,0,0,0,0,0,0,0,0,0,0.174835781926083,0.118175932897888,0,0,0,0,0,0,0.124788762002597,0,0,0.591692083789116,0,0,0,0,0,0,0.0480422812424551,0,0,0
X600015.CH.EQUITY,0.0631665539076621,0,0,0,0,0,0.075553651785535,0.02141096679543,0,0,0,0.116628493088196,0,0,0,0,0,0,0.0328544731857053,0.015788047076473,0.086968664653669,0,0,0,0,0.223954490364745,0,0,0,0,0,0,0,0,0,0,0,0.0234755465732923,0,0,0.0208723808442704,0,0,0,-1.38777878078145e-17,0.109969035599808,0.0942899307558118,0.243361412748464,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0.0711079444752031,0.264196038048695,0,1.38777878078145e-17,0.0761949014785073,0,-0.0538312915289013,0,0,0,0,0,0.0896762528724828,-0.422912901140493,0,0,0,0,0,0,0,0.3552693122708,0,0,0,0,0,0,0.106511460428074,0,0,0,0,0,0,0,0,0,0,0.0894813456810116,0.211896701618281,0,0,0.0248375778943707,0,0,0,0,0,0
CN2YR,0,0,0.0915761950367769,0,0.00829015491904135,0,0,0,0,-0.138404597443319,0,0,0,0,0,-0.184096529502604,0,0,0,0,0,0,0.194659720800086,0,0,0,0,0.140929027618072,0,0,-0.0593274598872824,0.0617407872348582,0,0,0.0462755967187538,0,0,0,0,0.136947191946493,0,0,-0.0185309421342538,0,0.121597320694516,0,0,0,-0.078798680500728,0,0,0,-0.550665028010289
CN210SLOPE,0,0,0,0,0,-0.300222126165131,0,0,0,-0.193003226271029,0,0,0,0,0,0,0,0,0,0,0,-0.154891852852162,0,0,0.234983888127222,0,0,0,0,0,0.0601166330304862,0,0,0,0,0.082451799202724,0,0,0.431759079363018,0,0,0,0,0,-0.479748975776898,0.0642309119512787,0,0,0,0,0,-0.164275721599614,0
