,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0382617390049925,0,0,0,0,0,0,0,0,0,0,-0.159830192746618,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.0750870781367026,-0.358316815713992,0,0,0,0,0.645812489231021,0.0934610446369675,-0.275666250743703,0.236844881329772,0,0,0,0,0,0,0,0,0.237038363875117
X601318.CH.EQUITY,0,0,0,0,0,0,0.105588466171451,0,0.213346577104317,0.040786576994984,0,0,0,0.061109549773757,0,0,0,0,0.140640168410966,0,0,0,0,0,0.0527320967514821,0,0,0,0,0.0254988177513474,0,0,0,0,0,0,0,0.246649737815723,0,0,0.0957273899611663,-0.0455148421489216,0,0,0,0,0,0,0,0,0,-0.0225995160306854
X601939.CH.EQUITY,0.283713043874585,0,0,0,0,0,0,0,0.0524593689529684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398322826869115,0,0,0,0,0.117597650738078,0,0.0209462901214389,0,0,0,-0.0837916451135312,0,0,0,0.387059960338308,0,-0.0206592230268045,0,0,0.110998162967298,0,0,0,0,6.93889390390723e-18,0,0,0
X601288.CH.EQUITY,0,0.0334621351886868,0,0,0,0.233695384515956,0,0,0,0.000913109850219756,0,0.0158286564951798,0.0916055021084724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255120258509937,0,0,0,0,0,0,0,0,0,0.199497398976956,0,0,0,0,0,0,0,0,0,0.122482398026839,0,0,0,0.133302750857604
X5.HK.EQUITY,-0.115455863817057,-0.00939637793494635,0,0,0,0,0,0.0428081321652128,0,0,0.0842786544661795,-0.0333743043299665,0,0,0.254013588460066,0,0.130157550751441,0,0.0394823348973711,0,0,0.276371576082755,0,0.387856300200606,0,0,0,0,0,-0.372409673803372,0,0,0,0,0,0,0,0,0,0,0.234991116535719,-0.0806517202342914,0,0,0,0,-0.117984739619917,-0.254231079405656,0,0,0,0.0939176774602664
X601988.CH.EQUITY,0.277238633501947,0,0,0.57202066132898,0,0,0,0,0,0,0.100349370951087,0,0.102390430779236,0,-0.0750334626563688,0,0,0,0,0,0,0,0.00397496098408693,0,0,0,0.0834522271667099,0,0,0.0337428574042941,0,0,0,0,0,0,0,0,0.0139190438423191,0,0,0,0,0,0,0,0,0,0,0,0.045640968682078,0
X600036.CH.EQUITY,0,0.341340884776928,-0.0739054164879731,0,0,0,0,0,0,0.549488307054824,0,0,0,0,-0.000468059537466894,0,0,0,0,0.0927627130617953,0,0,0,0,0,0.100359680146921,0,0.0339872422468509,0,0.385522605777646,0,0,0,0,-0.423052846897279,0,0,0,0,0,0.11016671519456,0,0.063361318306075,0,0,0,0,0,-0.0871950494508821,0,0,-0.102253116668296
X1299.HK.EQUITY,0,0,0.017278250428268,0,0,0,0,0,0,0,-0.106520610447652,0,0,0,0.0701007644514298,0,0.31705943467903,0,-0.0356455799874711,0.0635474793480859,0,0.255310172527258,0,0,0,0.237974008685624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0356157548069961,-0.192679812142118
X601628.CH.EQUITY,0,0.110451562323047,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.250665941271297,0,0,0,0.0118131615066024,0,0,0,0,0,0,0.14233402688521,0,0,0,0,-0.0406347728563608,0,0,0,0,0,0,0.071087166709676,0.239485603452139,0,0,0,0,0,0,0,0,0,0,0.0610336208639005,0,-0.008694173863791,0
X601328.CH.EQUITY,0,0,0.0628813153536937,0.155680452943764,0,0,0.294487475601776,0,0,0,0,0.0795886617566788,0,0,0,0,0,0.0727342273695001,0,0,0,0,0.0228152470992223,0,0,0,0.226778534863688,0,0,0,0,0,-0.12867210862995,0,0,0,0,0,0,0,0,0,0,0.110725837160966,0,0,0,0,0,0,-0.341677709968063,0
X601166.CH.EQUITY,0,0,0,0,0,0.30170382448885,0,0,0.118189799413509,0,0,0,0,0.320265292143774,0,0,0,0,0,0,0,0,0,0,0,0,0.105289192930437,0,0,0,0,0,0.108985639826926,0,0,0,0,0,0.197003011973495,0,0,0,0,-0.0681422505499403,0,0,0,-0.0698702608655601,0,0,-0.187795699802359,0.0732519425140086
X600000.CH.EQUITY,0,0,0,0,0,0,0.45221185865655,0,0,0.0606859121627047,0,0,0,0.361260906808074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225755746468959,0,0,0,0,0,0,0,-0.284456155481044,0,0,0,0,0,0.240887241267729,0,0,0,0,0,0,0.0794394044886732,-3.46944695195361e-18
X601319.CH.EQUITY,0,0,0,0,0.0432328251129463,0,0,0,0.0923709219864897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235455842384864,0,0,0,0,0,-0.0269760218907328,0,0,0,0.0214813284787662,0,0,0,0,0,0.153665762821945,0,0,0.305468352687651,0,0,0,-0.00717560332198098,0,0,0.110215181823794,-0.0699639685244734,0
X601601.CH.EQUITY,0,0.382574163335616,0,0,0,-0.227139544819948,0,0,0.290663794460944,0,0.0193818237977106,0,0,0,0.180658945185946,0,0,-0.0760882534575589,0.0589798389800816,0,0,0,0,0,0,0.0515879116825419,0,0,0,0,0,0,-0.000462550133195258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213623809005684,0,0
