,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.470496073909249,0,0,0.39810376164968,0,0,0,0,0,0,0,0,0,-0.0567919424042771,-0.0047384594766261,0,0,-0.0758939040608321,0,0.0421966705697993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228577631317568,0,0,0,0,0,0,0,0,0,-0.0886117851188762,0,0,-0.188588493871608,0,-0.0310413900672768,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.263742021723175,0.143385741600729,0,0,0,0,0.188081900269701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345218119143086,-0.0370272681267688,0.0468273829341961,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.14943013202477,0,0,0,0,0,0,0,0,0.0996446884306503,0,0,0,0,0,0,0,0,0,0,0.122316235863501,0,0,0,0,0.407570023175409,0,0,0,0,0,0,0,0,0.0996022724601787,0,0,0,0.011079462203829,0,0,0,0,0.0186294170551491,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0362335952468723,0,0,0,0.180518879340683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11701702694822,0,0,0,0,0.202607686522133,0,-0.0310141070340507,0,0,0,0,0,0.00107835717763738,0,0,0,0.126221940388332,0,0.0759906344674208,0,0,0,0.220157214778652,0,0,0,0.0204287766166287,0,0,0,0.103468823915799
X5.HK.EQUITY,0,-0.0886814572406346,0,0,0,0,0,0,0,0,0,0,0,0,0.180655580741465,0,0,0.0249121719661988,0.154488897346483,0,0,0,0.585161164876917,0,0,0,-0.098219980381695,0,-0.207315975018201,0,0,0,0,0,0,0,0,0,0,0,0,0.0469177548964686,0,0,0,0,0,-0.200351194034569,0,-0.131780149332282,0,0.00541145744459709
X601988.CH.EQUITY,0.0473785561450837,0,0,0.231027117023613,0,0,0,0,0,0.263497561286234,0.193069483425299,0,0,0,-0.0552884666969618,0,0,0,0,0,0,0,0,0,0,0,0,0.0500451462573188,0,0,0,0,0,0,0,0,0,0,0,0.0869966348235846,0,0,0,0.0195108520130923,0,0,0,0.100692199137423,0,-0.0190963585675308,0.142593677543042,0.0256187989740176
X600036.CH.EQUITY,0,0.333973722494734,0,0,0.0332398973215256,0,0,0,0,0,0,0.114598874707955,0,0,0,0,6.93889390390723e-18,0,0,0.0207267724775112,0,0,0,0,0,0,0,0,0,0,0,0.150504085399457,0,0.132855329028962,-0.164750862034419,0.0585680083460284,0,0,0,0.189441284187358,0,0,0,0,0,0,0,0,0,-0.15695273140646,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0603812817814147,0,0,-0.0382635426773134,0.104870597285309,0.0245360415139806,0,0.379394705985958,0,0.236858390475574,0.29978973016429,0,0,0.075957456072225,0,0,0.0389137504700435,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.145148673593154,0,0,0,0,0,0,0,0,0,0,0,-0.170261863395141,-0.0830324752745117
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0299897720231166,0,0.0906072666243696,0,0,0,0.269167174301356,0,0,0,0,0,0.0783898405768366,0.0933384519450927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171892168948454,0,0.220714130922767,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0229720480930314,0.0989540230621604,0,0,0.346472706165467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153406927890906,0,0,0.0443244316533948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416297106392898,0,0.0974794348652268,0.0385935971392624,0,0.139816384004879,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.335500505300252,0.171871918613962,0,0.212559571001658,0,0,0,0,0,0,0,0.135070323478511,0,0,0,0,0,0,0,0,0,0,0.106398165857379,0,0,0,0,0,0.222310687232454,0,0,0,0,0,0,0,0,-0.105425443310058,0,0,0,0,0,0,0,0,0.118639489885178
X600000.CH.EQUITY,0.0401493865725844,0.138017163244024,0,0,0,0,0.172718092022682,0,0,0,0,0,0,0,-0.0553250132016503,0,0,0.00230846725143307,0,-0.0719056000945587,-8.67361737988404e-19,0.301827708823285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225269983916023,0.0252316828224105,0,0,0.12688142363487,0,0.223698676831611,-0.00238895675743889,0,0,0,0,0,0.0643349345962039,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.238322398912642,0,0,0,0,0,0,0,0,0,0.0825719654806108,0,0,0.187680031146911,0,0.105101593110972,0,0,0.0317412693225402,0,0,0,0.0695658320910631,0,0,0,0.256327926652496,0,0,0,0,0,0,0,0,0,0.101172442246677,0.0743904994404984,0,0,0,0,-0.0102791192977559,0
X000001.CH.EQUITY,0,0.108287710734373,0,0,0,0,0,0,0,0,0,0,0.131837360053916,0,-0.0741991442615837,0,0,0,-0.14077310318645,0,0,0,0,0,0,0,0,-0.0556054191607715,0,0,0,0,0.226616538993712,0.170670961116026,0,0,0,0,0.381649333875558,0,0,-0.0113972212670682,0,0,0,0,0,0,-0.0258449163430415,0,-0.161048133992259,-0.0369408068886018
X000002.CH.EQUITY,0,0,-0.0984029676363394,0,0.125463410165156,0,0,0,0,0,0,0,0,0.300922038030212,0,0,0.229531924729663,0,0,0,0,0,0,0,0,0,0,0.202594231144216,0.243190650856064,0,0,0,0,0.1621380293669,0.161924874449957,0,0,0,0.00726974957090914,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.398405676563018,0,0,0.0690464467496161,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.1531972698641,0,0,0,0,0,0,0,0,0,0,0,0,0.0394366922809798,0,0,0,0,0,0.0998634176696276,0,0,0.270035345334896,0,0,0,0,0,0,0,0,0,0,0.293293663272787,0,0,0,0,0,0,0.0458000445627279,0,0.101564622414719,0,0.0108901675517491
X601601.CH.EQUITY,-0.0196610076851624,0,0,0,0,-0.0429844453732287,0,0,0.076400195660536,0,0.105949288648384,0,0,0.360383310903347,0.25597689065023,0,0,0,0,0,0,0,0,0,0,0.126128721811767,0,0,0,0,0,0.0915288471377207,0,0,0.0474481943929283,0,0,0,0,0,0,-0.0493681178406627,0,0,0,-0.0951265948481486,0,0,0,0,0.2346174220067,0
X11.HK.EQUITY,0.298587960867006,0,0,0,0.141558270691012,0,0,0.213470087265534,0,0,0,0,0,0,0,0,0,0,0,-0.0550457912637998,0.0905132082875734,0,0.426113813269212,0,0,-0.170613404147532,-0.104793617889569,0,0,0,0,0.0954098655664096,0,0,0,0.0553615352723939,0,0,-0.0333483734341992,0,0,-0.104522948906336,0,0,0,0,0,-0.120624316949459,0,0.113661177725348,-0.014926528420933,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00154256858250908,0,0,0,0,0,0,0,0,0.0918298094076744,0,0.299725946207277,0,0.0270530977648901,0,0,0,0,0,0,0,0,0,0,0,0,0.114816013889118,0,0,-0.0581807867545692,0,0.114776072554286,0,0,0,0,0.147986444449423,0,0,0.0818128187535775
X388.HK.EQUITY,0,0,0.041155608704321,0,0,0,0,0.449942362189252,0,0,0,0,0,0,-0.00332449756984832,0,0.0322224733062205,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0252555556738885,0,0,0,-0.0504728750862423,0,0,-0.401878913957996,0,0,0.135060432111985,0,0,0,0,0,0.500932594461077,0,0,0,0,0
X267.HK.EQUITY,0,0,0.181226705932345,0,0.375387212770204,0,0,0,0,0,0.0169480772841433,0,0,0,0,0.0210760411430195,0,0,0,0,0,0,0,0.0677132658648086,0,0,0,0,0,0.0644954671366639,0,0.175872747168208,0,0,0.102341397550897,0,0,0,0,0.0716781841143087,0,0,-0.164978655535655,0,0,0,0,0.0863939647789018,0,0,0.0623989429757453,0
